year,repo,issues_opened,issues_closed,prs_opened,prs_closed,commits,unique_authors
2014,ApteES,5,1,0,0,3,1
2014,COLOGNE,64,19,0,0,13,2
2014,CORRECTIONS,61,38,0,0,41,2
2014,DCS,4,0,0,0,4,1
2014,GRA,1,0,0,0,0,0
2014,MCI,1,0,0,0,0,0
2014,MW72,2,1,0,0,1,1
2014,MWS,19,4,0,0,9,2
2014,PWG,11,1,0,0,4,2
2014,PWK,9,1,0,0,1,1
2014,SCH,4,0,0,0,11,2
2014,SKD,5,0,0,0,23,1
2014,VCP,4,0,0,0,10,2
2014,WIL,0,0,0,0,5,1
2015,ArabicInSanskrit,9,6,0,0,0,0
2015,COLOGNE,20,9,0,0,3,2
2015,CORRECTIONS,156,114,0,0,242,3
2015,GRA,0,0,0,0,1,1
2015,GreekInSanskrit,18,11,0,0,2,2
2015,MWS,12,6,0,0,9,2
2015,PWG,7,6,0,0,2,1
2015,PWK,38,17,0,0,67,2
2015,VCP,2,0,0,0,0,0
2015,WIL,3,0,0,0,14,1
2015,Wil-YAT,1,0,0,0,6,1
2015,hwnorm1,3,0,0,0,45,1
2015,sanskrit-lexicon.github.io,0,0,0,0,17,1
2016,ApteES,2,1,0,0,3,1
2016,ArabicInSanskrit,2,2,0,0,0,0
2016,BHS,0,0,0,0,3,1
2016,COLOGNE,9,2,0,0,2,1
2016,CORRECTIONS,112,104,0,0,189,3
2016,GreekInSanskrit,1,1,0,0,0,0
2016,MW72,1,1,0,0,4,1
2016,MWS,3,4,0,0,4,1
2016,PWG,3,1,0,0,15,2
2016,PWK,20,20,0,0,43,3
2016,VCP,1,0,0,0,9,1
2016,VEI,0,0,0,0,6,2
2016,WIL,2,2,0,0,7,1
2016,alternateheadwords,16,2,0,0,66,2
2016,hwnorm1,3,0,0,0,44,3
2016,sanskrit-lexicon.github.io,0,0,0,0,2,1
2017,ACC,18,8,0,0,1,1
2017,ApteES,0,0,0,0,1,1
2017,ArabicInSanskrit,2,1,0,0,0,0
2017,COLOGNE,105,52,0,0,29,4
2017,CORRECTIONS,85,57,0,0,84,3
2017,GreekInSanskrit,7,4,0,0,0,0
2017,MW72,1,0,0,0,0,0
2017,MWS,23,5,0,0,4,1
2017,PWG,6,2,0,0,17,1
2017,SCH,1,0,0,0,3,1
2017,SKD,1,0,0,0,0,0
2017,Wil-YAT,4,1,0,0,0,0
2017,alternateheadwords,7,0,0,0,34,2
2017,cologne-stardict,2,0,0,0,75,1
2017,hwnorm1,6,0,0,0,28,1
2018,COLOGNE,45,24,0,0,0,0
2018,CORRECTIONS,5,4,0,0,22,1
2018,GRA,1,0,0,0,1,1
2018,GreekInSanskrit,1,0,0,0,0,0
2018,MWS,4,2,0,0,4,1
2018,MWinflect,40,0,0,0,61,1
2018,PWG,0,0,0,0,2,1
2018,PWK,0,0,0,0,2,1
2018,WIL,1,0,0,0,2,1
2018,csl-apidev,0,0,0,0,34,1
2018,csl-doc,1,0,0,0,15,1
2018,csl-homepage,0,0,0,0,3,1
