dict_a,dict_b,intersection,union,jaccard,a_in_b,b_in_a,size_a,size_b
ABCH,ACC,626,43534,0.0144,0.0540,0.0192,11584,32576
ABCH,ACPH,303,12734,0.0238,0.0262,0.2085,11584,1453
ABCH,ACSJ,133,12085,0.0110,0.0115,0.2098,11584,634
ABCH,AP,5130,95121,0.0539,0.4429,0.0579,11584,88667
ABCH,AP90,3308,42553,0.0777,0.2856,0.0965,11584,34277
ABCH,ARMH,5065,13192,0.3839,0.4372,0.7590,11584,6673
ABCH,BEN,4951,23669,0.2092,0.4274,0.2906,11584,17036
ABCH,BHS,1408,27953,0.0504,0.1215,0.0792,11584,17777
ABCH,BOP,3686,16403,0.2247,0.3182,0.4334,11584,8505
ABCH,BUR,5205,25525,0.2039,0.4493,0.2719,11584,19146
ABCH,CAE,5991,44077,0.1359,0.5172,0.1557,11584,38484
ABCH,CCS,5373,34962,0.1537,0.4638,0.1869,11584,28751
ABCH,FRI,2536,16823,0.1507,0.2189,0.3262,11584,7775
ABCH,GRA,1693,20999,0.0806,0.1461,0.1524,11584,11108
ABCH,GST,556,17789,0.0313,0.0480,0.0822,11584,6761
ABCH,IEG,1200,17959,0.0668,0.1036,0.1584,11584,7575
ABCH,INM,1768,19270,0.0917,0.1526,0.1870,11584,9454
ABCH,KRM,247,13035,0.0189,0.0213,0.1455,11584,1698
ABCH,LAN,1788,14522,0.1231,0.1544,0.3783,11584,4726
ABCH,LRV,8163,51680,0.1580,0.7047,0.1691,11584,48259
ABCH,MCI,559,13350,0.0419,0.0483,0.2404,11584,2325
ABCH,MD,4676,27011,0.1731,0.4037,0.2326,11584,20103
ABCH,MW,10711,194957,0.0549,0.9246,0.0552,11584,194084
ABCH,MW72,6737,56006,0.1203,0.5816,0.1317,11584,51159
ABCH,PD,445,116098,0.0038,0.0384,0.0042,11584,104959
ABCH,PE,1397,16810,0.0831,0.1206,0.2109,11584,6623
ABCH,PGN,80,11974,0.0067,0.0069,0.1702,11584,470
ABCH,PUI,2086,21228,0.0983,0.1801,0.1778,11584,11730
ABCH,PW,9462,153471,0.0617,0.8168,0.0625,11584,151349
ABCH,PWG,9316,108351,0.0860,0.8042,0.0878,11584,106083
ABCH,PWKVN,1079,25500,0.0423,0.0931,0.0720,11584,14995
ABCH,SCH,2601,37438,0.0695,0.2245,0.0914,11584,28455
ABCH,SHS,8895,49419,0.1800,0.7679,0.1903,11584,46730
ABCH,SKD,2064,50337,0.0410,0.1782,0.0506,11584,40817
ABCH,SNP,209,11823,0.0177,0.0180,0.4665,11584,448
ABCH,STC,4726,30844,0.1532,0.4080,0.1970,11584,23986
ABCH,VCP,8739,51481,0.1698,0.7544,0.1797,11584,48636
ABCH,VEI,1106,14182,0.0780,0.0955,0.2986,11584,3704
ABCH,WIL,8897,46626,0.1908,0.7680,0.2025,11584,43939
ABCH,YAT,8889,47415,0.1875,0.7674,0.1988,11584,44720
ACC,ACPH,78,33951,0.0023,0.0024,0.0537,32576,1453
ACC,ACSJ,29,33181,0.0009,0.0009,0.0457,32576,634
ACC,AP,717,120526,0.0059,0.0220,0.0081,32576,88667
ACC,AP90,341,66512,0.0051,0.0105,0.0099,32576,34277
ACC,ARMH,455,38794,0.0117,0.0140,0.0682,32576,6673
ACC,BEN,652,48960,0.0133,0.0200,0.0383,32576,17036
ACC,BHS,402,49951,0.0080,0.0123,0.0226,32576,17777
ACC,BOP,450,40631,0.0111,0.0138,0.0529,32576,8505
ACC,BUR,537,51185,0.0105,0.0165,0.0280,32576,19146
ACC,CAE,1448,69612,0.0208,0.0444,0.0376,32576,38484
ACC,CCS,1246,60081,0.0207,0.0382,0.0433,32576,28751
ACC,FRI,482,39869,0.0121,0.0148,0.0620,32576,7775
ACC,GRA,223,43461,0.0051,0.0068,0.0201,32576,11108
ACC,GST,84,39253,0.0021,0.0026,0.0124,32576,6761
ACC,IEG,325,39826,0.0082,0.0100,0.0429,32576,7575
ACC,INM,648,41382,0.0157,0.0199,0.0685,32576,9454
ACC,KRM,23,34251,0.0007,0.0007,0.0135,32576,1698
ACC,LAN,287,37015,0.0078,0.0088,0.0607,32576,4726
ACC,LRV,1234,79601,0.0155,0.0379,0.0256,32576,48259
ACC,MCI,188,34713,0.0054,0.0058,0.0809,32576,2325
ACC,MD,796,51883,0.0153,0.0244,0.0396,32576,20103
ACC,MW,17060,209600,0.0814,0.5237,0.0879,32576,194084
ACC,MW72,944,82791,0.0114,0.0290,0.0185,32576,51159
ACC,PD,212,137323,0.0015,0.0065,0.0020,32576,104959
ACC,PE,649,38550,0.0168,0.0199,0.0980,32576,6623
ACC,PGN,65,32981,0.0020,0.0020,0.1383,32576,470
ACC,PUI,736,43570,0.0169,0.0226,0.0627,32576,11730
ACC,PW,9368,174557,0.0537,0.2876,0.0619,32576,151349
ACC,PWG,4929,133730,0.0369,0.1513,0.0465,32576,106083
ACC,PWKVN,817,46754,0.0175,0.0251,0.0545,32576,14995
ACC,SCH,865,60166,0.0144,0.0266,0.0304,32576,28455
ACC,SHS,1179,78127,0.0151,0.0362,0.0252,32576,46730
ACC,SKD,176,73217,0.0024,0.0054,0.0043,32576,40817
ACC,SNP,25,32999,0.0008,0.0008,0.0558,32576,448
ACC,STC,691,55871,0.0124,0.0212,0.0288,32576,23986
ACC,VCP,1494,79718,0.0187,0.0459,0.0307,32576,48636
ACC,VEI,242,36038,0.0067,0.0074,0.0653,32576,3704
ACC,WIL,1112,75403,0.0147,0.0341,0.0253,32576,43939
ACC,YAT,1116,76180,0.0146,0.0343,0.0250,32576,44720
ACPH,ACSJ,27,2060,0.0131,0.0186,0.0426,1453,634
ACPH,AP,552,89568,0.0062,0.3799,0.0062,1453,88667
ACPH,AP90,310,35420,0.0088,0.2134,0.0090,1453,34277
ACPH,ARMH,256,7870,0.0325,0.1762,0.0384,1453,6673
ACPH,BEN,375,18114,0.0207,0.2581,0.0220,1453,17036
ACPH,BHS,157,19073,0.0082,0.1081,0.0088,1453,17777
ACPH,BOP,273,9685,0.0282,0.1879,0.0321,1453,8505
ACPH,BUR,403,20196,0.0200,0.2774,0.0210,1453,19146
ACPH,CAE,505,39432,0.0128,0.3476,0.0131,1453,38484
ACPH,CCS,459,29745,0.0154,0.3159,0.0160,1453,28751
ACPH,FRI,247,8981,0.0275,0.1700,0.0318,1453,7775
ACPH,GRA,202,12359,0.0163,0.1390,0.0182,1453,11108
ACPH,GST,31,8183,0.0038,0.0213,0.0046,1453,6761
ACPH,IEG,124,8904,0.0139,0.0853,0.0164,1453,7575
ACPH,INM,252,10655,0.0237,0.1734,0.0267,1453,9454
ACPH,KRM,32,3119,0.0103,0.0220,0.0188,1453,1698
ACPH,LAN,181,5998,0.0302,0.1246,0.0383,1453,4726
ACPH,LRV,731,48981,0.0149,0.5031,0.0151,1453,48259
ACPH,MCI,59,3719,0.0159,0.0406,0.0254,1453,2325
ACPH,MD,374,21182,0.0177,0.2574,0.0186,1453,20103
ACPH,MW,1188,194349,0.0061,0.8176,0.0061,1453,194084
ACPH,MW72,540,52072,0.0104,0.3716,0.0106,1453,51159
ACPH,PD,29,106383,0.0003,0.0200,0.0003,1453,104959
ACPH,PE,174,7902,0.0220,0.1198,0.0263,1453,6623
ACPH,PGN,10,1913,0.0052,0.0069,0.0213,1453,470
ACPH,PUI,231,12952,0.0178,0.1590,0.0197,1453,11730
ACPH,PW,1020,151782,0.0067,0.7020,0.0067,1453,151349
ACPH,PWG,1022,106514,0.0096,0.7034,0.0096,1453,106083
ACPH,PWKVN,99,16349,0.0061,0.0681,0.0066,1453,14995
ACPH,SCH,232,29676,0.0078,0.1597,0.0082,1453,28455
ACPH,SHS,712,47471,0.0150,0.4900,0.0152,1453,46730
ACPH,SKD,198,42072,0.0047,0.1363,0.0049,1453,40817
ACPH,SNP,19,1882,0.0101,0.0131,0.0424,1453,448
ACPH,STC,372,25067,0.0148,0.2560,0.0155,1453,23986
ACPH,VCP,708,49381,0.0143,0.4873,0.0146,1453,48636
ACPH,VEI,89,5068,0.0176,0.0613,0.0240,1453,3704
ACPH,WIL,684,44708,0.0153,0.4708,0.0156,1453,43939
ACPH,YAT,685,45488,0.0151,0.4714,0.0153,1453,44720
ACSJ,AP,258,89043,0.0029,0.4069,0.0029,634,88667
ACSJ,AP90,175,34736,0.0050,0.2760,0.0051,634,34277
ACSJ,ARMH,159,7148,0.0222,0.2508,0.0238,634,6673
ACSJ,BEN,227,17443,0.0130,0.3580,0.0133,634,17036
ACSJ,BHS,82,18329,0.0045,0.1293,0.0046,634,17777
ACSJ,BOP,143,8996,0.0159,0.2256,0.0168,634,8505
ACSJ,BUR,228,19552,0.0117,0.3596,0.0119,634,19146
ACSJ,CAE,272,38846,0.0070,0.4290,0.0071,634,38484
ACSJ,CCS,232,29153,0.0080,0.3659,0.0081,634,28751
ACSJ,FRI,85,8324,0.0102,0.1341,0.0109,634,7775
ACSJ,GRA,67,11675,0.0057,0.1057,0.0060,634,11108
ACSJ,GST,30,7365,0.0041,0.0473,0.0044,634,6761
ACSJ,IEG,52,8157,0.0064,0.0820,0.0069,634,7575
ACSJ,INM,82,10006,0.0082,0.1293,0.0087,634,9454
