code,total,coverage_pct,ranges,covered_letters
ABCH,11584,39,"a,i,u,k,g,c,j,t,d,n-p,b,m-v,s-h",a|i|u|k|g|c|j|t|d|n|p|b|m|y|r|l|v|s|h
ACC,32576,51,"a,i,u,f,e,o,k,g,c,j,w,q,t,d,n-p,b,m-v,z-h",a|i|u|f|e|o|k|g|c|j|w|q|t|d|n|p|b|m|y|r|l|v|z|s|h
ACPH,1453,10,"k,p,m,v,s",k|p|m|v|s
ACSJ,634,0,(none),
AP,88667,53,"a,i,u,f,x,e,o,k,g,c,j,w,q,t,d,n-p,b,m-v,z-h",a|i|u|f|x|e|o|k|g|c|j|w|q|t|d|n|p|b|m|y|r|l|v|z|s|h
AP90,34277,51,"a,i,u,f,x,e,o,k,g,c,j,w,q,t,d,n-p,b,m-v,s-h",a|i|u|f|x|e|o|k|g|c|j|w|q|t|d|n|p|b|m|y|r|l|v|s|h
ARMH,6673,33,"a,u,k,g,c,j,t,d,n-p,b,m,r,v,s-h",a|u|k|g|c|j|t|d|n|p|b|m|r|v|s|h
BEN,17036,47,"a,i,u,e,o,k,g,c,j,w,q,t,d,n-p,b,m-v,s-h",a|i|u|e|o|k|g|c|j|w|q|t|d|n|p|b|m|y|r|l|v|s|h
BHS,17777,43,"a,i,u,e,o,k,g,c,j,t,d,n-p,b,m-v,s-h",a|i|u|e|o|k|g|c|j|t|d|n|p|b|m|y|r|l|v|s|h
BOP,8505,39,"a,i,u,k,g,c,j,t,d,n-p,b,m-v,s-h",a|i|u|k|g|c|j|t|d|n|p|b|m|y|r|l|v|s|h
BUR,19146,49,"a,i,u,x,e,o,k,g,c,j,w,q,t,d,n-p,b,m-v,s-h",a|i|u|x|e|o|k|g|c|j|w|q|t|d|n|p|b|m|y|r|l|v|s|h
CAE,38484,51,"a,i,u,f,e,o,k,g,c,j,w,q,t,d,n-p,b,m-v,z-h",a|i|u|f|e|o|k|g|c|j|w|q|t|d|n|p|b|m|y|r|l|v|z|s|h
CCS,28751,53,"a,i,u,f,x,e,o,k,g,c,j,w,q,t,d,n-p,b,m-v,z-h",a|i|u|f|x|e|o|k|g|c|j|w|q|t|d|n|p|b|m|y|r|l|v|z|s|h
FRI,7775,37,"a,u,k,g,c,j,t,d,n-p,b,m-v,s-h",a|u|k|g|c|j|t|d|n|p|b|m|y|r|l|v|s|h
GRA,11108,39,"a,i,u,f,k,g,c,j,t,d,n-p,b,m-r,v,s-h",a|i|u|f|k|g|c|j|t|d|n|p|b|m|y|r|v|s|h
GST,6761,2,a,a
IEG,7575,35,"a,u,k,g,c,j,w,t,d,n-p,b,m,r,v,s-h",a|u|k|g|c|j|w|t|d|n|p|b|m|r|v|s|h
INM,9454,37,"a,u,k,g,c,j,t,d,n-p,b,m-v,s-h",a|u|k|g|c|j|t|d|n|p|b|m|y|r|l|v|s|h
KRM,1698,18,"k,t,d,p,m,r,v,z-s",k|t|d|p|m|r|v|z|s
LAN,4726,33,"a,u,k,g,c,j,t,d,n-p,b,m-r,v,s",a|u|k|g|c|j|t|d|n|p|b|m|y|r|v|s
LRV,48259,51,"a,i,u,f,e,o,k,g,c,j,w,q,t,d,n-p,b,m-v,z-h",a|i|u|f|e|o|k|g|c|j|w|q|t|d|n|p|b|m|y|r|l|v|z|s|h
MCI,2325,16,"a,k,d,p,b,m,v,s",a|k|d|p|b|m|v|s
MD,20103,51,"a,i,u,f,x,e,o,k,g,c,j,w,q,t,d,n-p,b,m-v,s-h",a|i|u|f|x|e|o|k|g|c|j|w|q|t|d|n|p|b|m|y|r|l|v|s|h
MW,194084,53,"a,i,u,f,x,e,o,k,g,c,j,w,q,t,d,n-p,b,m-v,z-h",a|i|u|f|x|e|o|k|g|c|j|w|q|t|d|n|p|b|m|y|r|l|v|z|s|h
MW72,51159,53,"a,i,u,f,x,e,o,k,g,c,j,w,q,t,d,n-p,b,m-v,z-h",a|i|u|f|x|e|o|k|g|c|j|w|q|t|d|n|p|b|m|y|r|l|v|z|s|h
PD,104959,2,a,a
PE,6623,33,"a,u,k,g,c,j,t,d,n-p,b,m,r,v,s-h",a|u|k|g|c|j|t|d|n|p|b|m|r|v|s|h
PGN,470,0,(none),
PUI,11730,43,"a,i,u,f,x,k,g,c,j,t,d,n-p,b,m-v,s-h",a|i|u|f|x|k|g|c|j|t|d|n|p|b|m|y|r|l|v|s|h
PW,151349,53,"a,i,u,f,x,e,o,k,g,c,j,w,q,t,d,n-p,b,m-v,z-h",a|i|u|f|x|e|o|k|g|c|j|w|q|t|d|n|p|b|m|y|r|l|v|z|s|h
PWG,106083,53,"a,i,u,f,x,e,o,k,g,c,j,w,q,t,d,n-p,b,m-v,z-h",a|i|u|f|x|e|o|k|g|c|j|w|q|t|d|n|p|b|m|y|r|l|v|z|s|h
PWKVN,14995,41,"a,i,u,f,e,o,k,g,c,j,t,d,n-p,b,m-r,v,s",a|i|u|f|e|o|k|g|c|j|t|d|n|p|b|m|y|r|v|s
SCH,28455,49,"a,i,u,f,e,o,k,g,c,j,w,q,t,d,n-p,b,m-v,s-h",a|i|u|f|e|o|k|g|c|j|w|q|t|d|n|p|b|m|y|r|l|v|s|h
SHS,46730,53,"a,i,u,f,x,e,o,k,g,c,j,w,q,t,d,n-p,b,m-v,z-h",a|i|u|f|x|e|o|k|g|c|j|w|q|t|d|n|p|b|m|y|r|l|v|z|s|h
SKD,40817,53,"a,i,u,f,x,e,o,k,g,c,j,w,q,t,d,n-p,b,m-v,z-h",a|i|u|f|x|e|o|k|g|c|j|w|q|t|d|n|p|b|m|y|r|l|v|z|s|h
SNP,448,0,(none),
STC,23986,43,"a,i,u,o,k,g,c,j,q,t,d,n-p,b,m-v,s-h",a|i|u|o|k|g|c|j|q|t|d|n|p|b|m|y|r|l|v|s|h
VCP,48636,53,"a,i,u,f,x,e,o,k,g,c,j,w,q,t,d,n-p,b,m-v,z-h",a|i|u|f|x|e|o|k|g|c|j|w|q|t|d|n|p|b|m|y|r|l|v|z|s|h
VEI,3704,24,"a,k,g,t,d,n-p,b,m,r,v,s",a|k|g|t|d|n|p|b|m|r|v|s
WIL,43939,53,"a,i,u,f,x,e,o,k,g,c,j,w,q,t,d,n-p,b,m-v,z-h",a|i|u|f|x|e|o|k|g|c|j|w|q|t|d|n|p|b|m|y|r|l|v|z|s|h
YAT,44720,53,"a,i,u,f,x,e,o,k,g,c,j,w,q,t,d,n-p,b,m-v,z-h",a|i|u|f|x|e|o|k|g|c|j|w|q|t|d|n|p|b|m|y|r|l|v|z|s|h
