root	finite_tokens	distinct_cells	cells
abhibandh	1	1	Pres.Ind.Act.3.Plur:1
abhibhuj	1	1	Pres.Ind.Act.3.Plur:1
abhibhā	3	2	Pres.Ind.Act.3.Sing:2;Pres.Ind.Act.3.Plur:1
abhibhāṣ	250	13	Impf.Ind.Act.3.Sing:177;Pres.Opt.Act.3.Sing:23;Pres.Ind.Act.3.Sing:15;Pres.Ind.Act.2.Sing:13;Impf.Ind.Act.3.Plur:5;Pres.Ind.Act.3.Plur:5;Impf.Ind.Act.3.Dual:3;Pres.Ind.Act.1.Sing:3;Pres.Imp.Act.2.Sing:2;Pres.Ind.Act.2.Plur:1;Fut.Ind.Act.3.Sing:1;Pres.Ind.Act.2.Dual:1;Impf.Ind.Act.2.Sing:1
abhibhū	144	24	Pres.Ind.Act.3.Sing:28;Pres.Ind.Pass.3.Sing:27;Fut.Ind.Act.3.Sing:16;Pres.Opt.Act.3.Sing:13;Pres.Ind.Act.3.Plur:12;Impf.Ind.Act.3.Plur:8;Impf.Ind.Act.3.Sing:7;Fut.Ind.Act.1.Plur:4;Fut.Ind.Act.2.Sing:4;Pres.Opt.Act.1.Plur:4;Past.Ind.Act.3.Sing:3;Impf.Ind.Act.2.Sing:2;Impf.Ind.Pass.3.Sing:2;Past.Prec.Act.1.Sing:2;Pres.Imp.Act.3.Plur:2;Fut.Ind.Act.3.Plur:2;Pres.Opt.Act.1.Sing:1;Past.Ind.Act.1.Sing:1;Fut.Ind.Act.1.Sing:1;Pres.Ind.Pass.3.Plur:1;Pres.Opt.Pass.3.Sing:1;Pres.Imp.Act.1.Plur:1;Impf.Ind.Act.1.Sing:1;Past.Ind.Act.3.Plur:1
abhibādh	1	1	Pres.Ind.Act.3.Sing:1
abhicakṣ	17	4	Pres.Ind.Act.3.Sing:9;Pres.Ind.Act.3.Plur:6;Impf.Ind.Act.3.Plur:1;Impf.Ind.Act.3.Sing:1
abhicar	60	9	Pres.Opt.Act.3.Sing:31;Pres.Ind.Act.3.Sing:15;Pres.Ind.Act.3.Plur:4;Past.Ind.Act.3.Plur:3;Pres.Opt.Act.3.Plur:2;Impf.Ind.Act.3.Sing:2;Pres.Ind.Act.1.Sing:1;Pres.Opt.Act.3.Dual:1;Past.Ind.Act.3.Sing:1
abhicchāday	7	4	Pres.Ind.Act.3.Sing:3;Past.Ind.Act.3.Plur:2;Pres.Opt.Act.3.Sing:1;Pres.Ind.Act.3.Plur:1
abhici	1	1	Pres.Opt.Act.3.Plur:1
abhicintay	9	4	Impf.Ind.Act.3.Sing:6;Impf.Ind.Act.3.Plur:1;Pres.Opt.Act.3.Sing:1;Pres.Ind.Act.1.Sing:1
abhicoday	16	4	Impf.Ind.Act.3.Sing:12;Impf.Ind.Act.3.Plur:2;Pres.Imp.Act.2.Sing:1;Pres.Opt.Act.3.Sing:1
abhicumb	1	1	Impf.Ind.Act.3.Sing:1
abhicākaś	7	3	Pres.Ind.Act.3.Sing:3;Pres.Ind.Act.1.Sing:2;Pres.Imp.Act.2.Sing:2
abhidah	4	2	Pres.Opt.Act.3.Sing:3;Pres.Ind.Pass.1.Sing:1
abhidarśay	2	2	Pres.Ind.Act.3.Sing:1;Pres.Opt.Act.3.Sing:1
abhidharṣay	2	1	Impf.Ind.Act.3.Plur:2
abhidheyīkṛ	1	1	Pres.Ind.Act.3.Plur:1
abhidhi	2	2	Impf.Ind.Act.3.Plur:1;Pres.Ind.Act.3.Sing:1
abhidhits	1	1	Pres.Ind.Act.3.Sing:1
abhidhyai	41	9	Pres.Opt.Act.3.Sing:13;Impf.Ind.Act.3.Sing:12;Past.Ind.Act.3.Sing:5;Impf.Ind.Act.3.Plur:4;Pres.Ind.Act.3.Plur:3;Past.Ind.Act.3.Plur:1;Fut.Ind.Act.2.Sing:1;Pres.Ind.Act.1.Sing:1;Pres.Ind.Act.3.Sing:1
abhidhā	514	26	Pres.Ind.Pass.3.Sing:237;Past.Ind.Act.3.Sing:118;Pres.Ind.Act.3.Sing:29;Fut.Ind.Act.1.Sing:24;Fut.Ind.Act.3.Sing:21;Pres.Ind.Pass.3.Plur:10;Pres.Imp.Act.2.Sing:9;Pres.Ind.Act.3.Plur:9;Impf.Ind.Act.3.Sing:8;Past.Ind.Pass.3.Sing:5;Pres.Opt.Act.3.Sing:5;Past.Ind.Act.1.Sing:5;Pres.Imp.Pass.3.Sing:5;Pres.Ind.Act.1.Sing:4;Fut.Ind.Act.3.Plur:4;Pres.Ind.Pass.2.Sing:4;Pres.Ind.Act.2.Sing:3;Fut.Ind.Act.1.Plur:2;Impf.Ind.Pass.3.Sing:2;Past.Ind.Act.3.Plur:2;Pres.Ind.Act.1.Plur:2;Pres.Ind.Pass.3.Dual:2;Impf.Ind.Pass.1.Sing:1;Pres.Imp.Act.3.Sing:1;Fut.Ind.Act.2.Sing:1;Pres.Imp.Pass.3.Plur:1
abhidhāpay	1	1	Pres.Opt.Act.3.Sing:1
abhidhāray	1	1	Pres.Opt.Act.3.Sing:1
abhidhāv	239	13	Impf.Ind.Act.3.Sing:113;Impf.Ind.Act.3.Plur:66;Impf.Ind.Act.3.Dual:18;Pres.Ind.Act.3.Sing:12;Pres.Ind.Act.3.Plur:11;Pres.Imp.Act.2.Sing:7;Pres.Imp.Act.2.Plur:3;Pres.Opt.Act.3.Sing:2;Impf.Ind.Act.1.Sing:2;Pres.Ind.Act.2.Sing:2;Pres.Ind.Act.1.Sing:1;Pres.Imp.Act.3.Plur:1;Pres.Imp.Act.3.Sing:1
abhidhū	1	1	Pres.Ind.Act.3.Sing:1
abhidhṛṣ	3	3	Pres.Ind.Act.1.Sing:1;Pres.Ind.Act.3.Plur:1;Past.Ind.Act.3.Plur:1
abhidiś	1	1	Impf.Ind.Act.3.Sing:1
abhidru	364	14	Impf.Ind.Act.3.Sing:112;Past.Ind.Act.3.Sing:105;Impf.Ind.Act.3.Plur:81;Past.Ind.Act.3.Plur:22;Pres.Imp.Act.2.Plur:15;Pres.Ind.Act.3.Plur:7;Pres.Imp.Act.2.Sing:7;Pres.Ind.Act.3.Sing:5;Pres.Opt.Act.3.Sing:3;Past.Ind.Act.3.Dual:2;Pres.Imp.Act.3.Plur:2;Pres.Opt.Act.3.Plur:1;Pres.Imp.Act.3.Sing:1;Impf.Ind.Act.3.Dual:1
abhidruh	27	6	Pres.Ind.Act.3.Sing:10;Past.Ind.Act.1.Sing:9;Pres.Ind.Act.3.Plur:3;Pres.Opt.Act.3.Sing:3;Fut.Ind.Act.3.Sing:1;Impf.Ind.Act.3.Sing:1
abhidudrukṣ	2	1	Pres.Opt.Act.3.Sing:2
abhiduh	2	1	Pres.Ind.Act.3.Plur:2
abhidyotay	1	1	Pres.Ind.Act.3.Sing:1
abhidā	3	3	Pres.Ind.Pass.3.Sing:1;Past.Ind.Act.3.Sing:1;Fut.Ind.Act.1.Sing:1
abhidāhay	1	1	Pres.Opt.Act.3.Sing:1
abhidāpay	1	1	Impf.Ind.Act.3.Sing:1
abhidās	85	4	Pres.Ind.Act.3.Sing:56;Pres.Sub.Act.3.Sing:16;Pres.Ind.Act.3.Plur:8;Pres.Jus.Act.3.Sing:5
abhidīkṣ	7	3	Pres.Ind.Act.3.Sing:3;Pres.Ind.Act.3.Plur:3;Pres.Opt.Act.3.Sing:1
abhidīpay	1	1	Pres.Ind.Act.3.Sing:1
abhidūṣay	1	1	Pres.Opt.Act.3.Sing:1
abhidṛś	8	4	Impf.Ind.Pass.3.Sing:3;Pres.Ind.Act.3.Sing:2;Pres.Ind.Pass.3.Sing:2;Past.Ind.Act.3.Plur:1
abhigad	1	1	Past.Ind.Act.3.Sing:1
abhigam	305	34	Impf.Ind.Act.3.Sing:81;Past.Ind.Act.3.Plur:33;Past.Ind.Act.3.Sing:30;Pres.Ind.Act.3.Sing:22;Pres.Opt.Act.3.Sing:19;Impf.Ind.Act.3.Plur:18;Past.Ind.Act.3.Dual:14;Pres.Ind.Act.3.Plur:14;Pres.Imp.Act.2.Sing:12;Pres.Ind.Pass.3.Sing:6;Pres.Opt.Act.2.Sing:6;Pres.Imp.Act.2.Plur:6;Fut.Ind.Act.3.Sing:5;Impf.Ind.Act.1.Sing:3;Pres.Ind.Act.1.Sing:3;Impf.Ind.Act.3.Dual:3;Pres.Imp.Act.3.Sing:3;Fut.Ind.Act.1.Sing:3;Past.Ind.Act.2.Sing:3;Pres.Ind.Act.1.Plur:3;Impf.Ind.Act.1.Plur:2;Pres.Imp.Act.3.Plur:2;Pres.Imp.Act.1.Dual:2;Pres.Opt.Act.1.Sing:2;Pres.Sub.Act.3.Sing:1;Impf.Ind.Act.2.Sing:1;Pres.Ind.Act.1.Dual:1;Pres.Opt.Act.3.Plur:1;Pres.Ind.Act.2.Sing:1;Fut.Ind.Act.3.Plur:1;Pres.Opt.Act.1.Plur:1;Fut.Ind.Act.3.Dual:1;Past.Ind.Act.1.Sing:1;Pres.Opt.Pass.3.Sing:1
abhigamay	1	1	Pres.Ind.Act.3.Plur:1
abhigarj	1	1	Pres.Ind.Act.3.Plur:1
abhighrā	23	4	Pres.Ind.Act.3.Sing:10;Pres.Ind.Act.1.Sing:8;Pres.Opt.Act.3.Sing:3;Impf.Ind.Act.3.Sing:2
abhighāray	140	7	Pres.Ind.Act.3.Sing:120;Pres.Opt.Act.3.Sing:13;Pres.Ind.Act.1.Sing:3;Pres.Imp.Act.2.Sing:1;Impf.Ind.Act.3.Plur:1;Pres.Ind.Act.3.Plur:1;Pres.Imp.Act.1.Sing:1
abhighātay	3	2	Pres.Opt.Act.3.Sing:2;Impf.Ind.Act.3.Sing:1
abhighṛ	2	2	Pres.Ind.Act.3.Sing:1;Pres.Ind.Act.1.Sing:1
abhigopāy	7	2	Pres.Ind.Act.3.Sing:6;Pres.Opt.Act.3.Sing:1
abhigrah	27	6	Pres.Ind.Act.3.Sing:19;Impf.Ind.Act.3.Sing:3;Past.Ind.Act.3.Sing:2;Pres.Ind.Act.3.Plur:1;Pres.Ind.Act.3.Dual:1;Pres.Ind.Act.1.Sing:1
abhigras	1	1	Pres.Ind.Act.3.Sing:1
abhigup	1	1	Past.Ind.Act.3.Dual:1
