login,repo,family,commits
gasyoun,ACC,Specialized,7
drdhaval2785,ACC,Specialized,1
drdhaval2785,alternateheadwords,Tooling,93
funderburkjim,alternateheadwords,Tooling,18
gasyoun,alternateheadwords,Tooling,6
drdhaval2785,AMAR,Sanskrit-Sanskrit,5
gasyoun,AMAR,Sanskrit-Sanskrit,1
drdhaval2785,AP,Sanskrit-English,77
funderburkjim,AP,Sanskrit-English,49
gasyoun,AP,Sanskrit-English,6
funderburkjim,AP90,Sanskrit-English,36
gasyoun,AP90,Sanskrit-English,8
Andhrabharati,AP90,Sanskrit-English,6
funderburkjim,ApteES,English-Sanskrit,21
gasyoun,ApteES,English-Sanskrit,7
funderburkjim,ArabicInSanskrit,Tooling,3
gasyoun,ArabicInSanskrit,Tooling,1
funderburkjim,avlinks,Tooling,7
gasyoun,avlinks,Tooling,6
funderburkjim,BEN,Sanskrit-English,20
gasyoun,BEN,Sanskrit-English,7
drdhaval2785,BEN,Sanskrit-English,7
AnnaRybakovaT,BEN,Sanskrit-English,1
funderburkjim,BHS,Specialized,22
gasyoun,BHS,Specialized,7
drdhaval2785,BHS,Specialized,3
funderburkjim,BOP,Sanskrit-Latin,13
drdhaval2785,BOP,Sanskrit-Latin,9
AnnaRybakovaT,BOP,Sanskrit-Latin,2
gasyoun,BOP,Sanskrit-Latin,1
drdhaval2785,BOR,English-Sanskrit,12
gasyoun,BOR,English-Sanskrit,1
funderburkjim,BUR,Sanskrit-French,19
gasyoun,BUR,Sanskrit-French,7
AnnaRybakovaT,BUR,Sanskrit-French,3
funderburkjim,CAE,Sanskrit-English,11
AnnaRybakovaT,CAE,Sanskrit-English,7
gasyoun,CAE,Sanskrit-English,7
sanskritisampada,CAE,Sanskrit-English,1
gasyoun,CCS,Sanskrit-German,7
funderburkjim,CCS,Sanskrit-German,3
drdhaval2785,cologne-hugo,Tooling,1
gasyoun,cologne-hugo,Tooling,1
drdhaval2785,cologne-stardict,Tooling,512
gasyoun,cologne-stardict,Tooling,6
drdhaval2785,COLOGNE,Tooling,108
funderburkjim,COLOGNE,Tooling,70
gasyoun,COLOGNE,Tooling,19
DmitriSKT,COLOGNE,Tooling,3
funderburkjim,CORRECTIONS,Meta,482
drdhaval2785,CORRECTIONS,Meta,182
gasyoun,CORRECTIONS,Meta,20
AnnaRybakovaT,CORRECTIONS,Meta,6
funderburkjim,csl-apidev,Tooling,410
drdhaval2785,csl-apidev,Tooling,48
actions-user,csl-apidev,Tooling,9
gasyoun,csl-apidev,Tooling,7
drdhaval2785,csl-app,Tooling,172
gasyoun,csl-app,Tooling,6
funderburkjim,csl-corrections,Tooling,377
drdhaval2785,csl-corrections,Tooling,282
gasyoun,csl-corrections,Tooling,12
drdhaval2785,csl-devanagari,Tooling,111
gasyoun,csl-devanagari,Tooling,6
funderburkjim,csl-doc,Tooling,27
gasyoun,csl-doc,Tooling,6
drdhaval2785,csl-doc,Tooling,6
funderburkjim,csl-homepage,Tooling,40
drdhaval2785,csl-homepage,Tooling,15
gasyoun,csl-homepage,Tooling,6
funderburkjim,csl-inflect,Tooling,59
gasyoun,csl-inflect,Tooling,6
drdhaval2785,csl-json,Tooling,92
