login,repo,family,commits
gasyoun,csl-json,Tooling,1
gasyoun,csl-kale,Tooling,6
funderburkjim,csl-kale,Tooling,3
drdhaval2785,csl-ldev,Tooling,62
gasyoun,csl-ldev,Tooling,6
vvasuki,csl-ldev,Tooling,1
sumanthegde,csl-ldev,Tooling,1
drdhaval2785,csl-lnum,Tooling,51
gasyoun,csl-lnum,Tooling,6
vvasuki,csl-lnum,Tooling,1
funderburkjim,csl-lslink,Tooling,10
gasyoun,csl-lslink,Tooling,6
drdhaval2785,csl-lslink,Tooling,1
drdhaval2785,csl-newsletter,Tooling,32
gasyoun,csl-newsletter,Tooling,6
funderburkjim,csl-newsletter,Tooling,5
gasyoun,csl-observatory,Tooling,19
funderburkjim,csl-orig,Tooling,1223
drdhaval2785,csl-orig,Tooling,648
aumsanskrit,csl-orig,Tooling,17
gasyoun,csl-orig,Tooling,11
AnnaRybakovaT,csl-orig,Tooling,11
shenyileirob,csl-orig,Tooling,8
YevgenJohn,csl-orig,Tooling,1
adminlip,csl-orig,Tooling,1
funderburkjim,csl-pywork,Tooling,317
drdhaval2785,csl-pywork,Tooling,108
gasyoun,csl-pywork,Tooling,37
YevgenJohn,csl-pywork,Tooling,1
drdhaval2785,csl-sqlite,Tooling,2
gasyoun,csl-sqlite,Tooling,1
funderburkjim,csl-websanlexicon,Tooling,359
drdhaval2785,csl-websanlexicon,Tooling,36
gasyoun,csl-websanlexicon,Tooling,22
gasyoun,csl-westergaard,Tooling,6
funderburkjim,csl-westergaard,Tooling,2
funderburkjim,csl-whitroot,Tooling,4
gasyoun,csl-whitroot,Tooling,1
gasyoun,DCS,Meta,11
gasyoun,FRI,Specialized,5
funderburkjim,FRI,Specialized,5
funderburkjim,GRA,Sanskrit-German,46
gasyoun,GRA,Sanskrit-German,11
gasyoun,GreekInSanskrit,Tooling,7
funderburkjim,GreekInSanskrit,Tooling,1
funderburkjim,hwnorm1,Tooling,89
drdhaval2785,hwnorm1,Tooling,67
actions-user,hwnorm1,Tooling,14
gasyoun,hwnorm1,Tooling,14
funderburkjim,hwnorm2,Tooling,15
actions-user,hwnorm2,Tooling,13
drdhaval2785,hwnorm2,Tooling,6
gasyoun,hwnorm2,Tooling,6
funderburkjim,INM,Specialized,7
gasyoun,INM,Specialized,1
gasyoun,KNA,Sanskrit-Russian,2
gasyoun,KOW,Sanskrit-Russian,2
gasyoun,KRM,Specialized,7
funderburkjim,KRM,Specialized,4
drdhaval2785,literarysource,Tooling,25
gasyoun,literarysource,Tooling,6
drdhaval2785,LRV,Sanskrit-English,119
gasyoun,LRV,Sanskrit-English,2
funderburkjim,LRV,Sanskrit-English,2
gasyoun,MCI,Specialized,7
AnnaRybakovaT,MD,Sanskrit-English,36
funderburkjim,MD,Sanskrit-English,31
gasyoun,MD,Sanskrit-English,8
Andhrabharati,mw-dev,Tooling,18
funderburkjim,mw-dev,Tooling,17
gasyoun,mw-dev,Tooling,6
drdhaval2785,mw-dev,Tooling,3
funderburkjim,MW72,Sanskrit-English,5
gasyoun,MW72,Sanskrit-English,1
funderburkjim,MWinflect,Tooling,82
gasyoun,MWinflect,Tooling,6
funderburkjim,MWS,Unknown,224
drdhaval2785,MWS,Unknown,43
Andhrabharati,MWS,Unknown,39
gasyoun,MWS,Unknown,25
AnnaRybakovaT,MWS,Unknown,3
drdhaval2785,PUI,Specialized,72
gasyoun,PUI,Specialized,1
funderburkjim,PWG,Sanskrit-German,284
drdhaval2785,PWG,Sanskrit-German,53
gasyoun,PWG,Sanskrit-German,40
funderburkjim,PWK,Unknown,201
drdhaval2785,PWK,Unknown,44
AnnaRybakovaT,PWK,Unknown,9
gasyoun,PWK,Unknown,9
funderburkjim,rvlinks,Tooling,9
gasyoun,rvlinks,Tooling,8
Haqob,rvlinks,Tooling,2
funderburkjim,sanskrit-fonts,Tooling,2
gasyoun,sanskrit-fonts,Tooling,1
drdhaval2785,sanskrit-lexicon.github.io,Tooling,21
funderburkjim,sanskrit-lexicon.github.io,Tooling,17
gasyoun,sanskrit-lexicon.github.io,Tooling,1
gasyoun,santamlegacy,Tooling,1
funderburkjim,SCH,Sanskrit-German,17
gasyoun,SCH,Sanskrit-German,12
funderburkjim,SHS,Sanskrit-English,2
gasyoun,SHS,Sanskrit-English,1
funderburkjim,SKD,Sanskrit-Sanskrit,48
gasyoun,SKD,Sanskrit-Sanskrit,7
AnnaRybakovaT,SKD,Sanskrit-Sanskrit,1
gasyoun,STC,Sanskrit-French,7
funderburkjim,STC,Sanskrit-French,2
funderburkjim,temp_corrections_acc,Unknown,19
gasyoun,temp_corrections_acc,Unknown,1
funderburkjim,temp_corrections_ae,Unknown,12
gasyoun,temp_corrections_ae,Unknown,1
funderburkjim,temp_corrections_ap90,Unknown,14
AnnaRybakovaT,temp_corrections_ap90,Unknown,3
gasyoun,temp_corrections_ap90,Unknown,1
funderburkjim,temp_corrections_mw,Unknown,6
gasyoun,temp_corrections_mw,Unknown,1
funderburkjim,test_cologne_push,Unknown,2
gasyoun,test_cologne_push,Unknown,1
drdhaval2785,VCP,Sanskrit-Sanskrit,66
funderburkjim,VCP,Sanskrit-Sanskrit,35
gasyoun,VCP,Sanskrit-Sanskrit,14
gasyoun,VEI,Specialized,7
drdhaval2785,VEI,Specialized,5
funderburkjim,VEI,Specialized,1
funderburkjim,Wil-YAT,Unknown,6
gasyoun,Wil-YAT,Unknown,1
funderburkjim,WIL,Sanskrit-English,35
gasyoun,WIL,Sanskrit-English,7
