dict,ABCH,ACC,ACPH,ACSJ,AP,AP90,ARMH,BEN,BHS,BOP,BUR,CAE,CCS,FRI,GRA,GST,IEG,INM,KRM,LAN,LRV,MCI,MD,MW,MW72,PD,PE,PGN,PUI,PW,PWG,PWKVN,SCH,SHS,SKD,SNP,STC,VCP,VEI,WIL,YAT
GRA,0.9194,0.9949,0.9837,0.9943,0.9613,0.9318,0.9193,0.8882,0.9788,0.8791,0.9044,0.8416,0.8329,0.8797,0.0000,0.9627,0.9703,0.9533,0.9815,0.8484,0.9473,0.9823,0.8485,0.9501,0.8999,0.9952,0.9529,0.9969,0.9504,0.9369,0.9172,0.9652,0.9666,0.9478,0.9861,0.9964,0.9159,0.9285,0.8869,0.9491,0.9449
GST,0.9687,0.9979,0.9962,0.9959,0.9705,0.9561,0.9755,0.9675,0.9891,0.9706,0.9670,0.9649,0.9689,0.9733,0.9627,0.0000,0.9910,0.9888,0.9983,0.9766,0.9589,0.9954,0.9506,0.9706,0.9371,0.9609,0.9906,0.9999,0.9892,0.9709,0.9632,0.9630,0.9729,0.9559,0.9956,0.9985,0.9536,0.9483,0.9933,0.9534,0.9626
IEG,0.9332,0.9918,0.9861,0.9936,0.9879,0.9802,0.9302,0.9427,0.9731,0.9296,0.9540,0.9598,0.9537,0.9388,0.9703,0.9910,0.0000,0.9676,0.9859,0.9414,0.9648,0.9851,0.9480,0.9856,0.9687,0.9985,0.9679,0.9940,0.9615,0.9836,0.9786,0.9801,0.9742,0.9640,0.9908,0.9959,0.9547,0.9646,0.9676,0.9631,0.9639
INM,0.9083,0.9843,0.9763,0.9918,0.9768,0.9720,0.9131,0.9174,0.9634,0.9099,0.9366,0.9261,0.9215,0.9239,0.9533,0.9888,0.9676,0.0000,0.9917,0.9349,0.9437,0.8508,0.9256,0.9655,0.9534,0.9977,0.7485,0.9921,0.8676,0.9619,0.9494,0.9784,0.9718,0.9449,0.9872,0.9936,0.9254,0.9307,0.9473,0.9436,0.9439
KRM,0.9811,0.9993,0.9897,0.9922,0.9970,0.9932,0.9761,0.9775,0.9928,0.9664,0.9777,0.9894,0.9860,0.9750,0.9815,0.9983,0.9859,0.9917,0.0000,0.9639,0.9912,0.9937,0.9805,0.9967,0.9887,0.9998,0.9892,0.9972,0.9886,0.9961,0.9946,0.9933,0.9937,0.9843,0.9788,0.9981,0.9856,0.9806,0.9798,0.9788,0.9876
LAN,0.8769,0.9922,0.9698,0.9870,0.9733,0.9494,0.8596,0.8555,0.9688,0.7729,0.8860,0.8981,0.8781,0.7766,0.8484,0.9766,0.9414,0.9349,0.9639,0.0000,0.9401,0.9684,0.8571,0.9774,0.9398,0.9977,0.9371,0.9911,0.9355,0.9730,0.9633,0.9627,0.9639,0.9400,0.9855,0.9922,0.8908,0.9455,0.9097,0.9397,0.9360
LRV,0.8420,0.9845,0.9851,0.9916,0.8457,0.8434,0.8993,0.8090,0.9583,0.8806,0.8351,0.7888,0.8047,0.9180,0.9473,0.9589,0.9648,0.9437,0.9912,0.9401,0.0000,0.9823,0.8383,0.8247,0.7902,0.9879,0.9591,0.9979,0.9418,0.8252,0.7748,0.9587,0.9260,0.6772,0.9493,0.9952,0.8428,0.7184,0.9718,0.7091,0.7010
MCI,0.9581,0.9946,0.9841,0.9891,0.9937,0.9897,0.9555,0.9653,0.9845,0.9618,0.9745,0.9777,0.9741,0.9665,0.9823,0.9954,0.9851,0.8508,0.9937,0.9684,0.9823,0.0000,0.9705,0.9913,0.9849,0.9994,0.8653,0.9870,0.9402,0.9899,0.9863,0.9910,0.9885,0.9835,0.9948,0.9898,0.9716,0.9790,0.9551,0.9831,0.9833
MD,0.8269,0.9847,0.9823,0.9896,0.9177,0.8723,0.8546,0.7295,0.9512,0.8021,0.8035,0.7044,0.6771,0.8431,0.8485,0.9506,0.9480,0.9256,0.9805,0.8571,0.8383,0.9705,0.0000,0.9047,0.7889,0.9858,0.9345,0.9962,0.9192,0.8839,0.8632,0.9256,0.9134,0.8388,0.9728,0.9910,0.7241,0.8405,0.9289,0.8407,0.8372
MW,0.9451,0.9186,0.9939,0.9972,0.8441,0.9187,0.9682,0.9182,0.9681,0.9589,0.9302,0.8225,0.8686,0.9679,0.9501,0.9706,0.9856,0.9655,0.9967,0.9774,0.8247,0.9913,0.9047,0.0000,0.7700,0.9752,0.9756,0.9990,0.9685,0.4040,0.5386,0.9510,0.9302,0.8063,0.9608,0.9979,0.8927,0.8082,0.9837,0.8186,0.8153
