login,name,orcid,affiliation,n_repos_authored,n_repos_contributed,status
actions-user,"","","",0,3,needs_name_and_orcid
adminlip,"","","",0,1,needs_name_and_orcid
Andhrabharati,"","","",0,3,needs_name_and_orcid
AnnaRybakovaT,"","","",0,10,needs_name_and_orcid
aumsanskrit,"","","",0,1,needs_name_and_orcid
DmitriSKT,"","","",0,1,needs_name_and_orcid
drdhaval2785,"","","",0,35,needs_name_and_orcid
funderburkjim,"","","",0,47,needs_name_and_orcid
gasyoun,"","","",0,62,needs_name_and_orcid
Haqob,"","","",0,1,needs_name_and_orcid
maltenth,"","","",0,1,needs_name_and_orcid
sanskritisampada,"","","",0,1,needs_name_and_orcid
shenyileirob,"","","",0,1,needs_name_and_orcid
sumanthegde,"","","",0,1,needs_name_and_orcid
vlastavesely,"","","",0,1,needs_name_and_orcid
vvasuki,"","","",0,2,needs_name_and_orcid
YevgenJohn,"","","",0,2,needs_name_and_orcid
