text	upos	count	pct_of_text
Abhidharmakośa	ADJ	132	12.099
Abhidharmakośa	ADP	1	0.092
Abhidharmakośa	ADV	74	6.783
Abhidharmakośa	CONJ	50	4.583
Abhidharmakośa	INTJ	1	0.092
Abhidharmakośa	NOUN	511	46.838
Abhidharmakośa	NUM	98	8.983
Abhidharmakośa	PART	75	6.874
Abhidharmakośa	PRON	70	6.416
Abhidharmakośa	SCONJ	3	0.275
Abhidharmakośa	VERB	76	6.966
Abhidharmakośabhāṣya	ADJ	7	5.932
Abhidharmakośabhāṣya	ADV	12	10.169
Abhidharmakośabhāṣya	CONJ	5	4.237
Abhidharmakośabhāṣya	NOUN	40	33.898
Abhidharmakośabhāṣya	PART	24	20.339
Abhidharmakośabhāṣya	PRON	7	5.932
Abhidharmakośabhāṣya	SCONJ	1	0.847
Abhidharmakośabhāṣya	VERB	22	18.644
Abhidhānacintāmaṇi	ADJ	371	8.298
Abhidhānacintāmaṇi	ADP	4	0.089
Abhidhānacintāmaṇi	ADV	139	3.109
Abhidhānacintāmaṇi	CONJ	140	3.131
Abhidhānacintāmaṇi	NOUN	3213	71.863
Abhidhānacintāmaṇi	NUM	91	2.035
Abhidhānacintāmaṇi	PART	212	4.742
Abhidhānacintāmaṇi	PRON	147	3.288
Abhidhānacintāmaṇi	SCONJ	2	0.045
Abhidhānacintāmaṇi	VERB	152	3.4
Abhinavacintāmaṇi	ADJ	378	14.516
Abhinavacintāmaṇi	ADP	4	0.154
Abhinavacintāmaṇi	ADV	131	5.031
Abhinavacintāmaṇi	CONJ	108	4.147
Abhinavacintāmaṇi	NOUN	1375	52.803
Abhinavacintāmaṇi	NUM	72	2.765
Abhinavacintāmaṇi	PART	89	3.418
Abhinavacintāmaṇi	PRON	94	3.61
Abhinavacintāmaṇi	SCONJ	11	0.422
Abhinavacintāmaṇi	VERB	342	13.134
Acintyastava	ADJ	102	11.209
Acintyastava	ADV	60	6.593
Acintyastava	CONJ	41	4.505
Acintyastava	NOUN	283	31.099
Acintyastava	NUM	3	0.33
Acintyastava	PART	126	13.846
Acintyastava	PRON	119	13.077
Acintyastava	SCONJ	6	0.659
Acintyastava	VERB	170	18.681
Agastīyaratnaparīkṣā	ADJ	126	20.724
Agastīyaratnaparīkṣā	ADP	2	0.329
Agastīyaratnaparīkṣā	ADV	33	5.428
Agastīyaratnaparīkṣā	CONJ	51	8.388
Agastīyaratnaparīkṣā	NOUN	254	41.776
Agastīyaratnaparīkṣā	NUM	8	1.316
Agastīyaratnaparīkṣā	PART	38	6.25
Agastīyaratnaparīkṣā	PRON	19	3.125
Agastīyaratnaparīkṣā	SCONJ	4	0.658
