total	abbrev	bib_code	gloss
60	NUMBER		ls starts with number
4	UNKNOWN		ls is unknown
67138	MBH.	1.210	MAHĀBHĀRATA, ed. Calc. (GILD. Bibl. 93).
56037	ṚV.	1.263	ṚGVEDA. Es wird nach Maṇḍala, Sūkta und 
37762	R.	1.247	RĀMĀYAṆA. Ohne eine nähere Angabe ist be
25299	P.	1.230	PĀṆINI'S acht Bücher grammatischer Regel
25005	KATHĀS.	1.156	KATHĀSARITSĀGARA, ed. BROCKHAUS (GILD. B
22563	M.	1.190	MANU'S Gesetzbuch in der Ausg. von LOISE
22119	BHĀG. P.	1.036	BHĀGAVATAPURĀṆA, nach Anführungen im VP.
20121	ŚKDR.	1.078	ŚABDAKALPADRUMA (GILD. Bibl. 371).
16204	AV.	1.026	ATHARVAVEDASAM̃HITĀ, herausg. von R. ROT
16151	AK.	1.010	AMARAKOṢA nach der Ausgabe von COLEBROOK
16148	H.	1.116	HEMACANDRA'S ABHIDHĀNACINTĀMAṆI, ein sys
15702	HARIV.	1.122	HARIVAṂŚA im 4ten Bande des MBH.&#13;&#1
15431	ŚAT. BR.	1.074	The ŚATAPATHABRĀHMAṆA in the Mādhyandina
14738	Verz. d. Oxf. H.	c.006	AUFRECHT, Verzeichniss der Oxforder Hand
12990	MED.	1.211	MEDINĪKOṢA, ed. Calc. (GILD. Bibl. 258).
12442	SUŚR.	1.282	SUŚRUTA, ed. Calc. (GILD. Bibl. 367); ci
10494	Spr.	4.016	Indische Sprüche. Sanskrit und deutsch h
9781	H. an.	1.119	HEMACANDRA'S ANEKĀRTHASAM̃GRAHA, ed. Cal
9174	VARĀH. BṚH. S.	1.307	VARĀHAMIHIRA'S BṚHATSAM̃HITĀ.
8752	RAGH.	1.251	RAGHUVAṂŚA, ed. STENZLER (GILD. Bibl. 13
8426	TRIK.	1.293	TRIKĀṆḌAŚEṢA, ed. Calc. (GILD. Bibl. 258
8244	Spr. (II)	c.2117	Indische Sprüche. Sanskrit und Deutsch. 
