total	abbrev	bib_code	gloss
1	NUMBER		ls starts with number
3254	UNKNOWN		ls is unknown
67253	MBH.	1.210	MAHĀBHĀRATA, ed. Calc. (GILD. Bibl. 93). Von S. 521 des Wörter-&#13;&#10;buchs s
56183	ṚV.	1.263	ṚGVEDA. Es wird nach Maṇḍala, Sūkta und Ṛc citirt. ROSEN&#13;&#10;zu ṚV. verweis
39395	R.	1.247	RĀMĀYAṆA. Ohne eine nähere Angabe ist bei den zwei ersten&#13;&#10;Büchern die A
30710	BHĀG. P.	1.036	BHĀGAVATAPURĀṆA, nach Anführungen im VP. und ŚKDR.&#13;&#10;Von ऊ an sind die 9 
25068	KATHĀS.	1.156	KATHĀSARITSĀGARA, ed. BROCKHAUS (GILD. Bibl. 237).
23172	P.	1.230	PĀṆINI'S acht Bücher grammatischer Regeln (GILD. Bibl. 244).
22595	M.	1.190	MANU'S Gesetzbuch in der Ausg. von LOISELEUR DESLONGCHAMPS&#13;&#10;(GILD. Bibl.
20941	ŚAT. BR.	1.074	The ŚATAPATHABRĀHMAṆA in the Mādhyandina-Śākhā,&#13;&#10;with extracts made from
20305	SUŚR.	1.282	SUŚRUTA, ed. Calc. (GILD. Bibl. 367); citirt nach Band, Seite&#13;&#10;und Zeile
20131	ŚKDR.	1.078	ŚABDAKALPADRUMA (GILD. Bibl. 371).
18536	Verz. d. Oxf. H.	c.006	AUFRECHT, Verzeichniss der Oxforder Handschriften, 1864 
16681	H.	1.116	HEMACANDRA'S ABHIDHĀNACINTĀMAṆI, ein systematisch angeordnetes&#13;&#10;synonymi
16243	AV.	1.026	ATHARVAVEDASAM̃HITĀ, herausg. von R. ROTH und W. D. WHITNEY.&#13;&#10;Berlin bei
16166	AK.	1.010	AMARAKOṢA nach der Ausgabe von COLEBROOKE und LOISELEUR&#13;&#10;DESLONGCHAMPS (
15688	HARIV.	1.122	HARIVAṂŚA im 4ten Bande des MBH.&#13;&#10; Aus diesem Werke habenwir die Nomina 
14312	VARĀH. BṚH. S.	1.307	VARĀHAMIHIRA'S BṚHATSAM̃HITĀ.
13177	MED.	1.211	MEDINĪKOṢA, ed. Calc. (GILD. Bibl. 258). Die Wörter sind zu-&#13;&#10;nächst nac
12850	Spr.	4.016	Indische Sprüche. Sanskrit und deutsch herausgegeben von Otto BÖHTLINGK. St. Pet
11856	H. an.	1.119	HEMACANDRA'S ANEKĀRTHASAM̃GRAHA, ed. Calc. (GILD. Bibl. 259).
10308	RĀJA-TAR.	1.249	RĀJATARAṄGIṆĪ, ed. TROYER (GILD. Bibl. 148) für die 6&#13;&#10;ersten Taram̃ga's
9742	RAGH.	1.251	RAGHUVAṂŚA, ed. STENZLER (GILD. Bibl. 134).
9141	PAÑCAT.	1.232	PAÑCATANTRA. Pantschatantrum sive quinquepartitum de&#13;&#10;moribus exponens, 
8866	TRIK.	1.293	TRIKĀṆḌAŚEṢA, ed. Calc. (GILD. Bibl. 258).
8819	Spr. (II)	c.2117	Indische Sprüche. Sanskrit und Deutsch. Herausgegeben von Otto Böhtlingk. Zweite
8667	KĀTY. ŚR.	1.159	KĀTYĀYANA'S ŚRAUTASŪTRĀṆI. 26 Adhyāya. Hdschr.
7686	Ind. St.	1.135	WEBER'S Indische Studien.
7133	R. GORR.	c.2073	Rāmāyaṇa, Gorresio edition, 1843--1867 
6982	VS.	1.328	VĀJASANEYISAM̃HITĀ. The VĀYASANEYI-SANHITĀ in the MĀDHYANDINA&#13;&#10;-- and th
6792	RĀJAN.	1.248	RĀJANIRGHAṆṬA, ein medicinisches Wörterbuch; nach An-&#13;&#10;führungen im ŚKDR
6588	ŚĀK.	1.063	ŚĀKUNTALA, das Drama in der Ausgabe von BÖHTLINGK (GILD.&#13;&#10;Bibl. 191). Ei
6487	MĀRK. P.	2.028	MĀRKĀṆḌEYAPURĀṆA in der Bibliotheca indica.
6258	TS.	1.294	TAITTIRĪYASAM̃HITĀ. 7 Kāṇḍa, eingetheilt in Praśna, Anuvāka&#13;&#10;und Kaṇḍikā
5951	VOP.	1.326	VOPADEVA'S Grammatik, nach BÖHTLINGK'S Ausgabe&#13;&#10;(GILD. Bibl. 249, {%a.%}
5475	HALĀY.	1.118	HALĀYUDHA, ein Lexicograph; nach Anführungen im ŚKDR.
5217	AIT. BR.	1.008	AITAREYABRĀHMAṆA. Citirt nach den 8 Pañcikā (einer&#13;&#10;äusseren Abtheilung,
4675	Verz. d. B. H.	1.314	WEBER'S Verzeichniss der Berliner Sanskrit-Hand- schriften. Bildet den ersten Ba
4630	SĀH. D.	1.267	SĀHITYADARPAṆA, auf den 10 ersten Bogen nach der Ausgabe&#13;&#10;von 1828 (GILD
4171	SARVADARŚANAS.	c.011	? 
4128	VP.	1.327	VIṢṆUPURĀṆA. Es wird die WILSON'sche Uebersetzung
4038	YĀJÑ.	1.138	YĀJÑAVALKYA'S Gesetzbuch. Sanskrit und Deutsch herausge-&#13;&#10;geben von Dr. 
3891	HIT.	1.127	HITOPADEŚA, ed. SCHLEGEL und LASSEN (GILD. Bibl. 225). Eine&#13;&#10;darauf folg
3712	NIR.	1.227	YĀSKA'S NIRUKTA sammt den NIGHAṆṬAVA'S herausgegeben und&#13;&#10;erklärt von RU
3339	KAUŚ.	1.161	KAUŚIKA'S SŪTRA zum ATHARVAVEDA. 14 Adhyāya. Die Kaṇ-&#13;&#10;ḍikā sind durchge
3338	TBR.	2.043	TAITTIRĪYABRĀHMAṆA.
3128	ŚABDAR.	1.061	ŚABDARATNĀVALĪ, ein Wörterbuch; nach Anführungen im&#13;&#10;ŚKDR.
2834	PRAB.	1.239	PRABODHACANDRODAYA, ed. BROCKHAUS (GILD.&#13;&#10;Bibl. 216).
2819	N.	1.219	NALOPĀKHYĀNA in BÖHTLINGK'S Chrestomathie (GILD. Bibl. 49). Die&#13;&#10;BOPP'sc
2783	BHAṬṬ.	1.041	BHAṬṬIKĀVYA, ed. Calc. (GILD. Bibl. 137).
