dict,dim_id,dim_name,options_available
CAE,20,Cross-reference syntax,explicit|k1|italic|absent
CAE,21,Loanword marker,tagged|untagged
CAE,23,Vedic-only marker,flagged|unflagged
MD,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
MD,2,Duplication after r,opt1|opt2
MD,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
MD,4,Inflected vs uninflected headword form,inflected|uninflected
MD,5,Anusvāra of verbs,present|absent
MD,6,ṛkārānta words,opt1|opt2|opt3
MD,7,vas/yas suffixes,opt1|opt2|opt3|opt4
MD,8,Sandhi handling at compound boundary,preserved|split|both
MD,15,Citation format style,abbreviated|full|sanskrit
MD,16,Mahābhārata edition reference,pune|critical
MD,18,Verb-class marker style,roman|arabic|sanskrit
MD,19,Etymology presence,none|partial|full
MD,20,Cross-reference syntax,explicit|k1|italic|absent
MD,21,Loanword marker,tagged|untagged
MD,23,Vedic-only marker,flagged|unflagged
MW,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
MW,2,Duplication after r,opt1|opt2
MW,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
MW,4,Inflected vs uninflected headword form,inflected|uninflected
MW,5,Anusvāra of verbs,present|absent
MW,6,ṛkārānta words,opt1|opt2|opt3
MW,7,vas/yas suffixes,opt1|opt2|opt3|opt4
MW,8,Sandhi handling at compound boundary,preserved|split|both
MW,15,Citation format style,abbreviated|full|sanskrit
MW,16,Mahābhārata edition reference,pune|critical
MW,18,Verb-class marker style,roman|arabic|sanskrit
MW,19,Etymology presence,none|partial|full
MW,20,Cross-reference syntax,explicit|k1|italic|absent
MW,21,Loanword marker,tagged|untagged
MW,23,Vedic-only marker,flagged|unflagged
SHS,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
SHS,2,Duplication after r,opt1|opt2
SHS,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
SHS,4,Inflected vs uninflected headword form,inflected|uninflected
SHS,5,Anusvāra of verbs,present|absent
SHS,6,ṛkārānta words,opt1|opt2|opt3
SHS,7,vas/yas suffixes,opt1|opt2|opt3|opt4
SHS,8,Sandhi handling at compound boundary,preserved|split|both
SHS,15,Citation format style,abbreviated|full|sanskrit
SHS,16,Mahābhārata edition reference,pune|critical
SHS,18,Verb-class marker style,roman|arabic|sanskrit
SHS,19,Etymology presence,none|partial|full
SHS,20,Cross-reference syntax,explicit|k1|italic|absent
SHS,21,Loanword marker,tagged|untagged
SHS,23,Vedic-only marker,flagged|unflagged
AP,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
AP,2,Duplication after r,opt1|opt2
AP,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
AP,4,Inflected vs uninflected headword form,inflected|uninflected
AP,5,Anusvāra of verbs,present|absent
AP,6,ṛkārānta words,opt1|opt2|opt3
AP,7,vas/yas suffixes,opt1|opt2|opt3|opt4
AP,8,Sandhi handling at compound boundary,preserved|split|both
AP,15,Citation format style,abbreviated|full|sanskrit
AP,16,Mahābhārata edition reference,pune|critical
AP,18,Verb-class marker style,roman|arabic|sanskrit
AP,19,Etymology presence,none|partial|full
AP,20,Cross-reference syntax,explicit|k1|italic|absent
AP,21,Loanword marker,tagged|untagged
AP,23,Vedic-only marker,flagged|unflagged
BOR,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
BOR,2,Duplication after r,opt1|opt2
BOR,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
BOR,4,Inflected vs uninflected headword form,inflected|uninflected
BOR,5,Anusvāra of verbs,present|absent
BOR,6,ṛkārānta words,opt1|opt2|opt3
BOR,7,vas/yas suffixes,opt1|opt2|opt3|opt4
BOR,8,Sandhi handling at compound boundary,preserved|split|both
BOR,15,Citation format style,abbreviated|full|sanskrit
BOR,16,Mahābhārata edition reference,pune|critical
BOR,18,Verb-class marker style,roman|arabic|sanskrit
BOR,19,Etymology presence,none|partial|full
BOR,20,Cross-reference syntax,explicit|k1|italic|absent
BOR,21,Loanword marker,tagged|untagged
BOR,23,Vedic-only marker,flagged|unflagged
AE,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6
AE,2,Duplication after r,opt1|opt2
AE,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5
AE,4,Inflected vs uninflected headword form,inflected|uninflected
AE,5,Anusvāra of verbs,present|absent
AE,6,ṛkārānta words,opt1|opt2|opt3
AE,7,vas/yas suffixes,opt1|opt2|opt3|opt4
AE,8,Sandhi handling at compound boundary,preserved|split|both
AE,15,Citation format style,abbreviated|full|sanskrit
AE,16,Mahābhārata edition reference,pune|critical
AE,18,Verb-class marker style,roman|arabic|sanskrit
