dict_a,dict_b,n_exclusive_lemmas,examples
PUI,SKD,44,anyAdfk apaH aSvayuk AtmA ugraDanvA
IEG,PD,41,aMSagaRa aMSapati akaradAyin akfti akzatatftIyA
LRV,SKD,41,adaH antaHsatvA ASitA ESI gORI
PD,STC,40,aGrAtf acCe atitaram atidAruRam atidurvahatva
MD,PD,37,akzatakeSara agaRayat aN ajalpat aRikartf
INM,PD,36,akroDadrohamoha akzahfdayaprApti agastyaSizya agnikanyApura aNgaputra
ARMH,MW,36,avarRavAda kuYcitANguli kuYjarakara kzudrataRqula kzudvat
BOP,BUR,34,aYC atisarja ahosvit Agrya ACurita
LRV,SCH,34,ananyA amarzitA avanIcara avanIruha avicAritA
AP,STC,33,antarayati apalIna apasfzwa apasmfta aByavapad
BHS,FRI,32,antarAt AkArayati izyate kalpayati kArayati
BUR,MW,32,arDe Awaruza AmIvA iLaspati ekASrama
AP,PWG,31,aDogaRwA apyaYc aBisravanta ayakzmakaraRa arimardan
BHS,PUI,31,AvIci AveSaka ilAdevI kAli kAsI
MW,PE,31,kalahA jawApAWa tejasvatI DarmavatI paYcavaktrA
PW,SKD,29,aMSI fRI kaNgukA kazAyI krayI
BHS,LRV,29,apratimA aByantarA amitA avanatA upanetrI
PUI,PW,28,arhata azwatAla fkzarajasa ftuDvaja kaRvAyana
LRV,PWG,27,aBiDAnakoza arvAcI ahikoza ahicCatraka AkiMcana
BHS,IEG,26,aNgamaRi aDikArika ARatti upakara uzRiza
MW,VEI,26,AjakeSin ArtaBAgIputra AlambIputra ASrezA AhanasyA
MW72,VCP,25,atisanDeya aBisanDAya araNkft araNkfti araNgama
MW72,SHS,25,ahananIya AkANkzaRIya Akuzwa udBAsayat wANkAra
MW72,PW,24,apAvfttaka ayocCizwa kisarika jaraRIya taRqin
GST,PW,23,apatyasidDikft apatrigartam aparaparvata aparasamam aparigaRita
FRI,STC,22,aByarTayate ASayati Ipsati GAtayati tizWant
ACPH,MW,22,AkAragUhana kakudAvarta kuleSvarI dakziRASArati dOnduBI
VCP,YAT,21,akarttf aNgamarddaka ativarttin atisarvva ananyapUrvvA
LRV,YAT,21,agnibARa aPalAkAMkzin alagardDa alpAkAMkzin azwAMga
AP,MW72,21,atisanDA aBivAdanam aBiSAntv amataparArTatA ayAtapUrva
BEN,PW,21,aBisaMDita unnatimant upacAyitva OtkaRWyavant karakAsAr
BUR,MW72,21,alarzi avASya avinaSyat asaMsidDa asavas
BUR,YAT,21,EkeNguda kAc kudr kub kfb
LAN,MD,20,akasmAdAgantu aNKaya arTaya izwalABa kaTaya
AP,YAT,20,akftEnas apaTyASin apfTagDI amftaBU aruRekzaRa
GRA,PWG,20,anniy aBinaBya amitray arDi arvAka
BEN,PWG,20,anvayavant apnasvant AlaNGana AstaraRavant uccAritra
AP,PE,20,apAntaratamA aBayam avasAnam azwavasu Asuram
ABCH,SKD,20,kavI ganDamAtA jaran jalOkasaH trikAlavit
PD,YAT,19,akftanizkfti akftAhAra aklinnahfdaya aKilaDIguRa agADaDizaRa
