a,b,content_similarity,convention_similarity,gap
WIL,YAT,0.8488,0.3901,0.4587
SHS,YAT,0.7769,0.4766,0.3003
MW,PW,0.596,0.3455,0.2505
PWG,VCP,0.2885,0.194,0.0945
MW,PWG,0.4614,0.3708,0.0906
SHS,WIL,0.8574,0.7781,0.0793
PWG,YAT,0.2361,0.1746,0.0615
LRV,PWG,0.2252,0.1764,0.0488
FRI,STC,0.1538,0.1137,0.0401
MW72,PWG,0.2863,0.2474,0.0389
AP,LRV,0.1543,0.1226,0.0317
MW,VCP,0.1918,0.1614,0.0304
MW72,STC,0.2719,0.252,0.0199
PWG,SHS,0.2442,0.2279,0.0163
LRV,SHS,0.3228,0.3095,0.0133
MW72,PW,0.2102,0.2038,0.0064
LRV,WIL,0.2909,0.2869,0.004
LRV,VCP,0.2816,0.2783,0.0033
CCS,GRA,0.1671,0.1647,0.0024
SHS,VCP,0.3828,0.3899,-0.0071
MW,SKD,0.0392,0.052,-0.0128
AP,STC,0.0978,0.1185,-0.0207
BHS,VCP,0.0408,0.0625,-0.0217
BHS,SKD,0.0105,0.0369,-0.0264
CAE,GRA,0.1584,0.1849,-0.0265
FRI,YAT,0.0849,0.1122,-0.0273
AP90,PUI,0.03,0.0591,-0.0291
LRV,MW72,0.2098,0.2392,-0.0294
BEN,YAT,0.2097,0.2425,-0.0328
PWG,WIL,0.2311,0.2658,-0.0347
CAE,CCS,0.6716,0.7074,-0.0358
GRA,PWG,0.0828,0.1186,-0.0358
BOP,STC,0.1719,0.2105,-0.0386
BHS,PUI,0.0389,0.0787,-0.0398
VCP,WIL,0.3943,0.4344,-0.0401
BEN,STC,0.2685,0.3094,-0.0409
PW,WIL,0.1771,0.2248,-0.0477
BEN,VCP,0.1656,0.2171,-0.0515
LRV,PW,0.1748,0.2281,-0.0533
CCS,FRI,0.1529,0.2077,-0.0548
BUR,LRV,0.1649,0.2198,-0.0549
BEN,PUI,0.0821,0.1377,-0.0556
CAE,MW,0.1775,0.2342,-0.0567
PW,VCP,0.2141,0.2709,-0.0568
CAE,LRV,0.2112,0.2688,-0.0576
MW72,VCP,0.2482,0.306,-0.0578
BUR,STC,0.1766,0.2361,-0.0595
AP,YAT,0.1342,0.1982,-0.064
AP,PW,0.1247,0.1908,-0.0661
LRV,VEI,0.0282,0.0969,-0.0687
AP90,STC,0.1525,0.2217,-0.0692
CAE,MW72,0.2282,0.2987,-0.0705
AP,SKD,0.1708,0.2427,-0.0719
BOP,LRV,0.1194,0.1915,-0.0721
AP90,PWG,0.0949,0.175,-0.0801
AP90,MW72,0.2127,0.2975,-0.0848
MW,SHS,0.1937,0.2826,-0.0889
FRI,SCH,0.0461,0.1368,-0.0907
AP,CAE,0.1143,0.2051,-0.0908
AP90,BEN,0.1318,0.2243,-0.0925
GRA,SKD,0.0139,0.1095,-0.0956
PWG,SKD,0.039,0.1354,-0.0964
BHS,KRM,0.0072,0.1043,-0.0971
CAE,YAT,0.2055,0.3026,-0.0971
AP90,CCS,0.1109,0.2089,-0.098
PWG,STC,0.132,0.2319,-0.0999
BEN,WIL,0.1933,0.2938,-0.1005
MW72,YAT,0.2719,0.3738,-0.1019
GST,LRV,0.0411,0.1432,-0.1021
KRM,MW,0.0033,0.1071,-0.1038
AP90,CAE,0.1196,0.2241,-0.1045
AP90,SKD,0.1276,0.2331,-0.1055
VCP,YAT,0.3696,0.4779,-0.1083
BEN,SKD,0.028,0.1373,-0.1093
BOP,SKD,0.0271,0.1369,-0.1098
ACC,FRI,0.0121,0.1231,-0.111
AP90,MW,0.0813,0.1932,-0.1119
ACC,MW,0.0814,0.1964,-0.115
BOP,CAE,0.1408,0.2569,-0.1161
STC,WIL,0.1563,0.2727,-0.1164
PW,YAT,0.1806,0.2974,-0.1168
CAE,WIL,0.2029,0.3198,-0.1169
PW,PWG,0.6295,0.7466,-0.1171
GST,STC,0.0464,0.1649,-0.1185
AP90,BUR,0.1174,0.2366,-0.1192
FRI,PUI,0.0757,0.1989,-0.1232
MD,PWG,0.1368,0.2604,-0.1236
AP90,VCP,0.124,0.2481,-0.1241
BHS,MD,0.0488,0.174,-0.1252
BHS,YAT,0.0416,0.1681,-0.1265
AP,CCS,0.0929,0.2197,-0.1268
FRI,PWG,0.049,0.1759,-0.1269
MW,WIL,0.1814,0.3096,-0.1282
SKD,VEI,0.0078,0.136,-0.1282
FRI,MD,0.1569,0.2907,-0.1338
MW72,SKD,0.032,0.1665,-0.1345
BUR,YAT,0.2405,0.3767,-0.1362
AP,PWG,0.1384,0.2747,-0.1363
BEN,KRM,0.0225,0.1608,-0.1383
BOP,CCS,0.1705,0.3088,-0.1383
BUR,PUI,0.0699,0.2095,-0.1396
CCS,MW72,0.2117,0.3514,-0.1397
BUR,SKD,0.0364,0.1774,-0.141
CAE,STC,0.2404,0.3821,-0.1417
GRA,WIL,0.0509,0.1946,-0.1437
GRA,PUI,0.0496,0.1944,-0.1448
CCS,MW,0.1314,0.277,-0.1456
GRA,LRV,0.0527,0.2,-0.1473
LRV,YAT,0.299,0.4487,-0.1497
AP90,BOP,0.1023,0.2524,-0.1501
AP,VCP,0.1298,0.2802,-0.1504
AP90,YAT,0.1316,0.2821,-0.1505
MW72,PUI,0.0493,0.1999,-0.1506
GRA,VCP,0.0715,0.2227,-0.1512
AP90,GRA,0.0682,0.2197,-0.1515
PUI,WIL,0.0584,0.2115,-0.1531
AP,PUI,0.0257,0.1796,-0.1539
GRA,SCH,0.0334,0.1874,-0.154
ACC,PWG,0.0369,0.1933,-0.1564
PW,SKD,0.0303,0.1869,-0.1566
BOP,SCH,0.056,0.2135,-0.1575
SHS,SKD,0.0636,0.2216,-0.158
AP90,PW,0.0722,0.2308,-0.1586
BUR,VCP,0.1776,0.337,-0.1594
BUR,WIL,0.2241,0.3842,-0.1601
PW,SHS,0.1877,0.348,-0.1603
BOP,PUI,0.0877,0.2482,-0.1605
AP,MCI,0.0063,0.1684,-0.1621
BEN,LRV,0.191,0.3548,-0.1638
GRA,KRM,0.0185,0.1831,-0.1646
AP90,KRM,0.0068,0.1739,-0.1671
MW,SCH,0.0698,0.2378,-0.168
BUR,CCS,0.167,0.3352,-0.1682
GRA,GST,0.0373,0.2078,-0.1705
BUR,PW,0.0796,0.2508,-0.1712
SHS,STC,0.1594,0.3336,-0.1742
BUR,SCH,0.0654,0.2407,-0.1753
LRV,MW,0.1753,0.3514,-0.1761
AP,INM,0.0232,0.1995,-0.1763
BHS,SCH,0.0503,0.2266,-0.1763
AP90,SCH,0.0456,0.2223,-0.1767
CAE,PUI,0.0704,0.2473,-0.1769
MD,MW,0.0953,0.2726,-0.1773
AP,MW,0.1559,0.3352,-0.1793
BOP,VCP,0.1037,0.2838,-0.1801
AP90,MCI,0.0103,0.1906,-0.1803
BEN,GST,0.0325,0.2131,-0.1806
CCS,VEI,0.0628,0.2445,-0.1817
VCP,VEI,0.036,0.219,-0.183
MW72,SCH,0.0744,0.2575,-0.1831
BHS,INM,0.0366,0.22,-0.1834
BEN,MD,0.2705,0.455,-0.1845
CCS,WIL,0.1872,0.3731,-0.1859
FRI,VCP,0.0743,0.2607,-0.1864
MW72,SHS,0.2848,0.4716,-0.1868
ACC,AP,0.0059,0.1938,-0.1879
LRV,PUI,0.0582,0.2464,-0.1882
BHS,MW72,0.0461,0.2351,-0.189
FRI,GRA,0.1203,0.3096,-0.1893
BUR,KRM,0.0223,0.2132,-0.1909
KRM,MW72,0.0113,0.2024,-0.1911
AP,KRM,0.003,0.1944,-0.1914
CCS,LRV,0.1953,0.3883,-0.193
VEI,WIL,0.0295,0.2225,-0.193
AP,SCH,0.0404,0.2344,-0.194
MW,PUI,0.0315,0.2256,-0.1941
FRI,MCI,0.0335,0.2285,-0.195
LRV,SKD,0.0507,0.2461,-0.1954
AP90,MD,0.1277,0.3245,-0.1968
AP,GRA,0.0387,0.2365,-0.1978
PUI,SHS,0.0569,0.2568,-0.1999
BEN,MCI,0.0347,0.2351,-0.2004
LRV,MD,0.1617,0.3627,-0.201
CCS,MD,0.3229,0.5248,-0.2019
SCH,WIL,0.0761,0.2794,-0.2033
AP,MD,0.0823,0.2878,-0.2055
BOP,PW,0.0461,0.2532,-0.2071
STC,VCP,0.1506,0.3584,-0.2078
ACC,BHS,0.008,0.2166,-0.2086
VEI,YAT,0.0289,0.2377,-0.2088
MW72,WIL,0.2727,0.4826,-0.2099
INM,SKD,0.0128,0.2241,-0.2113
BEN,FRI,0.1613,0.3735,-0.2122
FRI,SKD,0.0175,0.2318,-0.2143
BEN,PWG,0.1408,0.3571,-0.2163
GST,SKD,0.0044,0.2213,-0.2169
BOP,YAT,0.1371,0.3545,-0.2174
MCI,SKD,0.0052,0.2229,-0.2177
BUR,PWG,0.1113,0.3295,-0.2182
SKD,STC,0.0222,0.2407,-0.2185
CCS,YAT,0.1899,0.4085,-0.2186
MD,STC,0.2759,0.4953,-0.2194
STC,VEI,0.0522,0.2744,-0.2222
AP90,LRV,0.1566,0.3799,-0.2233
BOP,KRM,0.0336,0.2569,-0.2233
AP90,FRI,0.0766,0.3017,-0.2251
AP90,VEI,0.018,0.2442,-0.2262
GRA,PW,0.0631,0.2893,-0.2262
KRM,VEI,0.0202,0.2475,-0.2273
BOP,PWG,0.0648,0.2924,-0.2276
BUR,CAE,0.1498,0.3776,-0.2278
ACC,GST,0.0021,0.2303,-0.2282
