convention,option,definition,member_dicts,source
31,31.1,-at (mahat),AP AP90 BHS BOP BUR GRA INM LRV MD MW MW72 PUI PW SHS SKD VCP WIL YAT,computed (probe-lemma)
31,31.2,-ant (mahant),BEN CAE CCS FRI PW PWG SCH STC,computed (probe-lemma)
31,31.3,-ān (mahān),PUI SKD,computed (probe-lemma)
31,31.4,-ānt (mahānt),STC,computed (probe-lemma)
32,32.1,-as (manas),AP AP90 BEN BHS BOP BUR CAE CCS FRI GRA INM LRV MD MW MW72 PUI PW PWG SCH SHS STC VCP VEI WIL YAT,computed (probe-lemma)
32,32.2,-aH (manaH visarga),AP AP90 BHS MW SKD STC,computed (probe-lemma)
32,32.3,-a (stem),,computed (probe-lemma)
33,33.1,-ar/-r (antar),AP AP90 BEN BOP BUR CAE CCS FRI GRA GST INM LRV MD MW MW72 PW PWG SHS SKD STC VCP VEI WIL YAT,computed (probe-lemma)
33,33.2,-aH (antaH visarga),AP FRI MW MW72 SKD STC,computed (probe-lemma)
