dict,dim_id,dim_name,options_available,source_available,exemplar_1,exemplar_2,exemplar_3,annotator_value,annotator_label_if_new,annotator_confidence,annotator_notes
VEI,6,ṛkārānta words,opt1|opt2|opt3,yes,anukzattf,astf,AsTAtf,,,,
VEI,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,apAcyas,ayas,udIcyas,,,,
VEI,8,Sandhi handling at compound boundary,preserved|split|both,yes,,,,,,,
VEI,16,Mahābhārata edition reference,pune|critical,yes,"as a famous river in the Mahābhārata.<sup>5</sup> <F>1) iii. 23, 4","n Pāṇini, iv. 2, 60, and Mahābhāṣya (ed. Kielhorn), 2, 284.</F> <F",s Khāṇḍava forest of the Mahābhārata. The name occurs also in the,,,,
PUI,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMkuSA,aMkuSeSvaram,aMkola,,,,
PUI,2,Duplication after r,opt1|opt2,yes,akarRa,akarmaka,akArAdikzakArAntavarRamUrti,,,,
PUI,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,agnimat,aMSumat,aMSumat,,,,
PUI,4,Inflected vs uninflected headword form,inflected|uninflected,yes,aMkuSA,aMkuSeSvaram,aMkola,,,,
PUI,5,Anusvāra of verbs,present|absent,yes,,,,,,,
PUI,6,ṛkārānta words,opt1|opt2|opt3,yes,unnetf,,,,,,
PUI,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,ugraSravas,uruSravas,,,,,
PUI,8,Sandhi handling at compound boundary,preserved|split|both,yes,,,,,,,
PUI,16,Mahābhārata edition reference,pune|critical,yes,"ows through Devabhrājam, Mahābhrājam, Vaibhrājam enters Sitodā, th","— (Mt.) a hill north of Mahābhadra lake. <div n=""P""/>Vā. 36. 31.","V)¦ — a Mt. north of the Mahābhadra lake. <div n=""P""/>Vā. 36. 31.",,,,
BHS,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMSa,aMSaDAtrI,aMSika,,,,
BHS,2,Duplication after r,opt1|opt2,yes,akardama,akAryopaka,akAladarSana,,,,
BHS,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,azwavat,uktamuzwivat,,,,,
BHS,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,aMSa,aMSaDAtrI,,,,
BHS,5,Anusvāra of verbs,present|absent,yes,,,,,,,
BHS,6,ṛkārānta words,opt1|opt2|opt3,yes,,,,,,,
BHS,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,,,,,,,
BHS,8,Sandhi handling at compound boundary,preserved|split|both,yes,"a-, an-",aMSa-DAtrI,-aMSika,,,,
BHS,16,Mahābhārata edition reference,pune|critical,yes,".</ab> of a teacher, <ls>Mbh.</ls> <ab>crit. ed.</ab> 〔1.158.27","ri, 3, end; twice in <ls>Mbh.</ls> In one of these, 〔i.8437〕 <e",n <lang>Skt.</lang> (<ls>Mbh.</ls> <ed>Crit. ed.</ed> 〔1.134.24,,,,
FRI,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMk,aMSa,aMSumant,,,,
FRI,2,Duplication after r,opt1|opt2,yes,akartavya,akArya,akIrti,,,,
FRI,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,aBItavat,Izat,udvat,,,,
FRI,4,Inflected vs uninflected headword form,inflected|uninflected,yes,a,a,a,,,,
FRI,5,Anusvāra of verbs,present|absent,yes,,,,,,,
FRI,6,ṛkārānta words,opt1|opt2|opt3,yes,f,kf,gf,,,,
FRI,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,ayas,avas,aByas,,,,
FRI,8,Sandhi handling at compound boundary,preserved|split|both,yes,itara—itara,,,,,,
FRI,16,Mahābhārata edition reference,pune|critical,yes,"ng n=""czech"">první kniha Mahābhāraty</lang> <div n=""1""/>2 <lang n=",,,,,,
ACC,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMSadaSA,aMSuDara,aMSumatkASyapIya,,,,
ACC,2,Duplication after r,opt1|opt2,yes,akzoByatIrTa,aKaRqArTanirUpaRa,agastyArGaviDi,,,,
ACC,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,AcAryapaYcASat,AryApaYcASat,kastUritilakapaYcASat,,,,
ACC,4,Inflected vs uninflected headword form,inflected|uninflected,yes,aMSadaSA,aMSuDara,aMSumatkASyapIya,,,,
ACC,5,Anusvāra of verbs,present|absent,yes,,,,,,,
ACC,6,ṛkārānta words,opt1|opt2|opt3,yes,avantiBartf,,,,,,
ACC,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,,,,,,,
ACC,8,Sandhi handling at compound boundary,preserved|split|both,yes,,,,,,,
ACC,16,Mahābhārata edition reference,pune|critical,yes,"{#ananta Bawwa#}¦ <HI1>Mahābhāṣyapradīpavivaraṇa, gr. NW. 66.",f the five jewels of the Mahābhārata. Mack. 58. Pet. 721. Oxf. 4^b,<HI1>Notes on Kaiyaṭa's Mahābhāṣyapradīpa. Hall p. 68.,,,,
KRM,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,aMsa,puMsa,SaMsu,,,,
KRM,2,Duplication after r,opt1|opt2,yes,arka,arca,arca,,,,
KRM,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,,,,,,,
KRM,4,Inflected vs uninflected headword form,inflected|uninflected,yes,aka,aki,akzU,,,,
KRM,5,Anusvāra of verbs,present|absent,yes,,,,,,,
KRM,6,ṛkārānta words,opt1|opt2|opt3,yes,f,f,f,,,,
KRM,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,,,,,,,
KRM,8,Sandhi handling at compound boundary,preserved|split|both,yes,,,,,,,
KRM,16,Mahābhārata edition reference,pune|critical,yes,,,,,,,
MCI,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,yes,DanaMjaya,puzpadaMzwra,pUrRadaMzwra,,,,
MCI,2,Duplication after r,opt1|opt2,yes,akarkara,arbuda,alarka,,,,
MCI,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,yes,Bavizyat,SAkalAvat,,,,,
MCI,4,Inflected vs uninflected headword form,inflected|uninflected,yes,akarkara,akUpAra,agratejas,,,,
MCI,5,Anusvāra of verbs,present|absent,yes,,,,,,,
MCI,6,ṛkārānta words,opt1|opt2|opt3,yes,kOravyaduhitf,piRqaBettf,,,,,
MCI,7,vas/yas suffixes,opt1|opt2|opt3|opt4,yes,uccEHSravas,pfTuSravas,,,,,
MCI,8,Sandhi handling at compound boundary,preserved|split|both,yes,,,,,,,
MCI,16,Mahābhārata edition reference,pune|critical,yes,"t, born in the family of Mahābhadra (9. 19. 3), compared with Airā",Veda; the Bhārata or the Mahābhārata so called because it was comp,and the [Page182-b+ 40] Mahābhārata at the hands of Vaiśāṃpāyana,,,,
KNA,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,no,,,,,,,
KNA,2,Duplication after r,opt1|opt2,no,,,,,,,
KNA,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,no,,,,,,,
KNA,4,Inflected vs uninflected headword form,inflected|uninflected,no,,,,,,,
KNA,5,Anusvāra of verbs,present|absent,no,,,,,,,
KNA,6,ṛkārānta words,opt1|opt2|opt3,no,,,,,,,
KNA,7,vas/yas suffixes,opt1|opt2|opt3|opt4,no,,,,,,,
KNA,8,Sandhi handling at compound boundary,preserved|split|both,no,,,,,,,
KNA,16,Mahābhārata edition reference,pune|critical,no,,,,,,,
KOW,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,no,,,,,,,
KOW,2,Duplication after r,opt1|opt2,no,,,,,,,
KOW,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,no,,,,,,,
KOW,4,Inflected vs uninflected headword form,inflected|uninflected,no,,,,,,,
KOW,5,Anusvāra of verbs,present|absent,no,,,,,,,
KOW,6,ṛkārānta words,opt1|opt2|opt3,no,,,,,,,
KOW,7,vas/yas suffixes,opt1|opt2|opt3|opt4,no,,,,,,,
KOW,8,Sandhi handling at compound boundary,preserved|split|both,no,,,,,,,
KOW,16,Mahābhārata edition reference,pune|critical,no,,,,,,,
AMAR,1,Anusvāra before consonants,opt1|opt2|opt3|opt4|opt5|opt6,no,,,,,,,
AMAR,2,Duplication after r,opt1|opt2,no,,,,,,,
AMAR,3,Words ending with -at,opt1|opt2|opt3|opt4|opt5,no,,,,,,,
AMAR,4,Inflected vs uninflected headword form,inflected|uninflected,no,,,,,,,
AMAR,5,Anusvāra of verbs,present|absent,no,,,,,,,
AMAR,6,ṛkārānta words,opt1|opt2|opt3,no,,,,,,,
AMAR,7,vas/yas suffixes,opt1|opt2|opt3|opt4,no,,,,,,,
AMAR,8,Sandhi handling at compound boundary,preserved|split|both,no,,,,,,,
AMAR,16,Mahābhārata edition reference,pune|critical,no,,,,,,,
