source,inheritor,source_size,inheritor_size,intersection,containment,lift,pmi,rare_cont_2,src_rare_2,rare_cont_3,src_rare_3,rare_cont_5,src_rare_5,excl_pair,source_year,inheritor_year,temporal_plausible,both_in_L0
AP,LRV,88667,48259,18308,0.2065,2.01,1.007,0.0067,45732,0.0216,53567,0.0494,61655,305,1957,1889,False,True
YAT,AP,44720,88667,15784,0.353,1.87,0.903,0.0096,2085,0.0213,4420,0.0695,10319,20,1846,1957,True,True
LRV,PW,48259,151349,29702,0.6155,1.911,0.934,0.0014,11043,0.0209,12895,0.1938,18338,16,1889,1879,False,True
PW,CAE,151349,38484,34146,0.2256,2.754,1.462,0.0044,29633,0.0208,60099,0.0814,98183,129,1879,1891,True,True
YAT,MW72,44720,51159,20499,0.4584,4.21,2.074,0.0211,2085,0.0204,4420,0.1082,10319,44,1846,1872,True,True
PE,MCI,6623,2325,1062,0.1604,32.404,5.018,0.0074,1621,0.0202,1878,0.0342,2664,12,1975,1993,True,False
ACPH,SKD,1453,40817,198,0.1363,1.569,0.649,0.0119,253,0.0201,298,0.0328,549,3,1896,1886,False,False
LAN,STC,4726,23986,2826,0.598,11.713,3.55,0.0282,248,0.0201,348,0.03,600,7,1884,1932,True,False
AP,PW,88667,151349,26612,0.3001,0.932,-0.102,0.0011,45732,0.0198,53567,0.0799,61655,49,1957,1879,False,True
PW,PD,151349,104959,7223,0.0477,0.214,-2.227,0.02,29633,0.0196,60099,0.0353,98183,594,1879,1976,True,False
ARMH,SCH,6673,28455,1894,0.2838,4.687,2.229,0.0177,282,0.0195,359,0.0526,589,5,1861,1928,True,False
CAE,MW72,38484,51159,16656,0.4328,3.975,1.991,0.0021,1894,0.0195,3803,0.0341,11180,4,1891,1872,False,True
SKD,VCP,40817,48636,6941,0.1701,1.643,0.716,0.0095,26383,0.0193,31649,0.0609,34309,251,1886,1873,False,True
VCP,PD,48636,104959,2278,0.0468,0.21,-2.254,0.0138,5955,0.0188,7491,0.0172,15836,82,1873,1976,True,False
INM,VCP,9454,48636,3763,0.398,3.845,1.943,0.007,2564,0.0187,2934,0.0473,4268,18,1904,1873,False,True
KRM,WIL,1698,43939,946,0.5571,5.957,2.575,0.003,660,0.0186,700,0.3019,1007,2,1965,1832,False,True
MW72,GST,51159,6761,3429,0.067,4.658,2.22,0.0099,5555,0.0184,8434,0.0253,18251,55,1872,1856,False,True
MCI,PD,2325,104959,67,0.0288,0.129,-2.955,0.0188,532,0.0183,602,0.0248,805,10,1993,1976,False,False
MD,STC,20103,23986,9534,0.4743,9.29,3.216,0.0059,843,0.0179,1784,0.0872,4325,5,1893,1932,True,True
SCH,STC,28455,23986,4761,0.1673,3.277,1.713,0.0173,9208,0.0178,11872,0.0388,19371,159,1928,1932,True,True
PGN,ACC,470,32576,65,0.1383,1.995,0.996,0.0109,275,0.0177,282,0.0495,323,3,1978,1962,False,False
PW,AP,151349,88667,26612,0.1758,0.932,-0.102,0.0017,29633,0.0176,60099,0.0502,98183,49,1879,1957,True,True
GRA,VCP,11108,48636,3987,0.3589,3.467,1.794,0.0066,1212,0.0172,1569,0.0398,3668,8,1873,1873,True,True
LAN,MW72,4726,51159,3175,0.6718,6.17,2.625,0.004,248,0.0172,348,0.0667,600,1,1884,1872,False,False
ACPH,MW72,1453,51159,540,0.3716,3.413,1.771,0.0,253,0.0168,298,0.0583,549,0,1896,1872,False,False
SHS,AP,46730,88667,16314,0.3491,1.85,0.887,0.0051,1554,0.0168,4282,0.0743,10895,8,1900,1957,True,True
INM,PD,9454,104959,262,0.0277,0.124,-3.011,0.014,2564,0.0167,2934,0.0183,4268,36,1904,1976,True,False
VCP,MW72,48636,51159,19841,0.4079,3.747,1.906,0.0042,5955,0.0167,7491,0.0746,15836,25,1873,1872,False,True
PUI,LRV,11730,48259,3298,0.2812,2.737,1.453,0.0103,5324,0.0166,5714,0.0247,6812,55,1951,1889,False,True
YAT,LRV,44720,48259,21399,0.4785,4.659,2.22,0.0101,2085,0.0165,4420,0.0706,10319,21,1846,1889,True,True
BEN,LRV,17036,48259,10470,0.6146,5.983,2.581,0.0074,407,0.0164,731,0.0453,1966,3,1866,1889,True,True
BEN,PD,17036,104959,587,0.0345,0.154,-2.697,0.0147,407,0.0164,731,0.0193,1966,6,1866,1976,True,False
CCS,PD,28751,104959,1100,0.0383,0.171,-2.546,0.0109,640,0.0164,1648,0.0197,6086,7,1887,1976,True,False
IEG,PW,7575,151349,2566,0.3387,1.052,0.073,0.0017,4612,0.0162,4758,0.0702,5126,8,1966,1879,False,False
CAE,STC,38484,23986,12108,0.3146,6.163,2.624,0.0048,1894,0.016,3803,0.0442,11180,9,1891,1932,True,True
PE,VCP,6623,48636,2849,0.4302,4.156,2.055,0.0062,1621,0.016,1878,0.033,2664,10,1975,1873,False,False
PWG,VCP,106083,48636,34638,0.3265,3.154,1.657,0.0202,7136,0.0159,27672,0.1056,55798,144,1855,1873,True,True
IEG,SCH,7575,28455,905,0.1195,1.973,0.98,0.0134,4612,0.0158,4758,0.0277,5126,62,1966,1928,False,False
PE,AP,6623,88667,1485,0.2242,1.188,0.249,0.0123,1621,0.0154,1878,0.03,2664,20,1975,1957,False,False
GST,VCP,6761,48636,2725,0.403,3.894,1.961,0.0108,740,0.0151,1196,0.0452,2211,8,1856,1873,True,True
MW,PD,194084,104959,7235,0.0373,0.167,-2.583,0.0092,61214,0.0151,93230,0.0233,135524,565,1899,1976,True,False
BEN,CAE,17036,38484,10753,0.6312,7.706,2.946,0.0049,407,0.015,731,0.1226,1966,2,1866,1891,True,True
FRI,PWG,7775,106083,5315,0.6836,3.028,1.598,0.007,1151,0.015,1336,0.128,1805,8,1956,1855,False,True
PUI,SKD,11730,40817,1040,0.0887,1.021,0.029,0.0083,5324,0.0149,5714,0.0261,6812,44,1951,1886,False,True
STC,CAE,23986,38484,12108,0.5048,6.163,2.624,0.0041,2221,0.0149,4088,0.0629,7858,9,1932,1891,False,True
MW72,VCP,51159,48636,19841,0.3878,3.747,1.906,0.0045,5555,0.0148,8434,0.0648,18251,25,1872,1873,True,True
MW72,MD,51159,20103,12423,0.2428,5.675,2.505,0.0018,5555,0.0147,8434,0.0318,18251,10,1872,1893,True,True
LAN,GRA,4726,11108,2084,0.441,18.652,4.221,0.0081,248,0.0144,348,0.0617,600,2,1884,1873,False,False
LAN,LRV,4726,48259,2994,0.6335,6.168,2.625,0.004,248,0.0144,348,0.045,600,1,1884,1889,True,False
PD,MW,104959,194084,7235,0.0689,0.167,-2.583,0.0059,95979,0.0144,97444,0.0314,100551,565,1976,1899,False,False
PUI,PD,11730,104959,291,0.0248,0.111,-3.171,0.0137,5324,0.0144,5714,0.0141,6812,73,1951,1976,True,False
BOP,CAE,8505,38484,5799,0.6818,8.324,3.057,0.0085,236,0.0143,349,0.0573,593,2,1847,1891,True,True
BOP,PD,8505,104959,364,0.0428,0.192,-2.384,0.0,236,0.0143,349,0.0236,593,0,1847,1976,True,False
BOP,STC,8505,23986,4767,0.5605,10.979,3.457,0.0085,236,0.0143,349,0.0202,593,2,1847,1932,True,True
PGN,PW,470,151349,175,0.3723,1.156,0.209,0.0,275,0.0142,282,0.13,323,0,1978,1879,False,False
ABCH,PD,11584,104959,445,0.0384,0.172,-2.54,0.0117,514,0.014,645,0.011,1270,6,1896,1976,True,False
ARMH,MW72,6673,51159,4347,0.6514,5.983,2.581,0.0035,282,0.0139,359,0.0374,589,1,1861,1872,True,False
PWG,CCS,106083,28751,23856,0.2249,3.675,1.878,0.0013,7136,0.0136,27672,0.0486,55798,9,1855,1887,True,True
YAT,PW,44720,151349,29998,0.6708,2.082,1.058,0.001,2085,0.0136,4420,0.0496,10319,2,1846,1879,True,True
FRI,CCS,7775,28751,4843,0.6229,10.179,3.348,0.0043,1151,0.0135,1336,0.0765,1805,5,1956,1887,False,True
FRI,PD,7775,104959,390,0.0502,0.225,-2.155,0.0096,1151,0.0135,1336,0.0227,1805,11,1956,1976,True,False
GRA,AP,11108,88667,3716,0.3345,1.773,0.826,0.0008,1212,0.0134,1569,0.0433,3668,1,1873,1957,True,True
MCI,PUI,2325,11730,793,0.3411,13.662,3.772,0.0075,532,0.0133,602,0.0261,805,4,1993,1951,False,True
VCP,YAT,48636,44720,25194,0.518,5.442,2.444,0.0035,5955,0.0132,7491,0.0974,15836,21,1873,1846,False,True
YAT,BUR,44720,19146,12380,0.2768,6.794,2.764,0.0101,2085,0.0131,4420,0.021,10319,21,1846,1866,True,True
BUR,MW72,19146,51159,11989,0.6262,5.751,2.524,0.0046,4550,0.0129,4718,0.0411,5153,21,1866,1872,True,True
PE,LRV,6623,48259,2159,0.326,3.174,1.666,0.0062,1621,0.0128,1878,0.024,2664,10,1975,1889,False,False
PE,PD,6623,104959,173,0.0261,0.117,-3.096,0.0086,1621,0.0128,1878,0.0154,2664,14,1975,1976,True,False
FRI,SCH,7775,28455,1596,0.2053,3.389,1.761,0.0087,1151,0.0127,1336,0.0233,1805,10,1956,1928,False,True
ACSJ,CAE,634,38484,272,0.429,5.238,2.389,0.0147,68,0.0125,80,0.0231,130,1,1896,1891,False,False
ACSJ,MW72,634,51159,351,0.5536,5.085,2.346,0.0,68,0.0125,80,0.0308,130,0,1896,1872,False,False
ACSJ,PD,634,104959,31,0.0489,0.219,-2.192,0.0147,68,0.0125,80,0.0385,130,1,1896,1976,True,False
ACSJ,PUI,634,11730,92,0.1451,5.812,2.539,0.0147,68,0.0125,80,0.0385,130,1,1896,1951,True,False
ACSJ,VCP,634,48636,396,0.6246,6.034,2.593,0.0147,68,0.0125,80,0.0615,130,1,1896,1873,False,False
ABCH,SCH,11584,28455,2601,0.2245,3.707,1.89,0.0097,514,0.0124,645,0.0181,1270,5,1896,1928,True,False
BUR,BOP,19146,8505,5723,0.2989,16.513,4.046,0.0075,4550,0.0123,4718,0.0225,5153,34,1866,1847,False,True
BUR,YAT,19146,44720,12380,0.6466,6.794,2.764,0.0046,4550,0.0123,4718,0.0421,5153,21,1866,1846,False,True
INM,LRV,9454,48259,3077,0.3255,3.169,1.664,0.0023,2564,0.0123,2934,0.0326,4268,6,1904,1889,False,True
INM,PWG,9454,106083,5562,0.5883,2.606,1.382,0.0023,2564,0.0123,2934,0.2294,4268,6,1904,1855,False,True
PD,PW,104959,151349,7223,0.0688,0.214,-2.227,0.0062,95979,0.0121,97444,0.0344,100551,594,1976,1879,False,False
VEI,GRA,3704,11108,1505,0.4063,17.186,4.103,0.0061,492,0.012,585,0.0676,1095,3,1912,1873,False,True
PWG,PD,106083,104959,4093,0.0386,0.173,-2.534,0.0137,7136,0.0117,27672,0.0192,55798,98,1855,1976,True,False
MCI,PWG,2325,106083,1470,0.6323,2.8,1.486,0.0019,532,0.0116,602,0.1565,805,1,1993,1855,False,True
BOP,CCS,8505,28751,5426,0.638,10.426,3.382,0.0,236,0.0115,349,0.0337,593,0,1847,1887,True,True
BOP,SKD,8505,40817,1300,0.1529,1.759,0.815,0.0042,236,0.0115,349,0.0422,593,1,1847,1886,True,True
BOP,VCP,8505,48636,5367,0.631,6.096,2.608,0.0169,236,0.0115,349,0.0337,593,4,1847,1873,True,True
MW,MD,194084,20103,18637,0.096,2.244,1.166,0.0053,61214,0.0115,93230,0.0237,135524,326,1899,1893,False,True
PW,CCS,151349,28751,27176,0.1796,2.934,1.553,0.0022,29633,0.0115,60099,0.0499,98183,65,1879,1887,True,True
YAT,PD,44720,104959,1558,0.0348,0.156,-2.681,0.0091,2085,0.0115,4420,0.0114,10319,19,1846,1976,True,False
BHS,PWG,17777,106083,4780,0.2689,1.191,0.252,0.0015,10915,0.0114,11581,0.0925,13701,16,1953,1855,False,True
FRI,CAE,7775,38484,5064,0.6513,7.952,2.991,0.0026,1151,0.0112,1336,0.0598,1805,3,1956,1891,False,True
ARMH,PUI,6673,11730,1525,0.2285,9.154,3.194,0.0035,282,0.0111,359,0.0272,589,1,1861,1951,True,False
PW,GRA,151349,11108,9645,0.0637,2.696,1.431,0.0168,29633,0.0111,60099,0.0261,98183,499,1879,1873,False,True
PW,MD,151349,20103,17835,0.1178,2.754,1.462,0.0029,29633,0.011,60099,0.0286,98183,85,1879,1893,True,True
ACC,PWG,32576,106083,4929,0.1513,0.67,-0.577,0.0008,23340,0.0109,27163,0.1021,30608,19,1962,1855,False,True
CCS,FRI,28751,7775,4843,0.1684,10.179,3.348,0.0078,640,0.0109,1648,0.0227,6086,5,1887,1956,True,True
MW,VCP,194084,48636,39061,0.2013,1.944,0.959,0.0054,61214,0.0108,93230,0.0532,135524,332,1899,1873,False,True
MW72,YAT,51159,44720,20499,0.4007,4.21,2.074,0.0079,5555,0.0107,8434,0.0612,18251,44,1872,1846,False,True
PWG,ACC,106083,32576,4929,0.0465,0.67,-0.577,0.0027,7136,0.0107,27672,0.056,55798,19,1855,1962,True,True
LRV,PWG,48259,106083,28371,0.5879,2.604,1.381,0.0024,11043,0.0106,12895,0.1618,18338,27,1889,1855,False,True
PGN,IEG,470,7575,48,0.1021,6.335,2.663,0.0109,275,0.0106,282,0.0093,323,3,1978,1966,False,False
CAE,LAN,38484,4726,3997,0.1039,10.326,3.368,0.0026,1894,0.0105,3803,0.0133,11180,5,1891,1884,False,False
LRV,SKD,48259,40817,4301,0.0891,1.026,0.037,0.0037,11043,0.0105,12895,0.033,18338,41,1889,1886,False,True
MW,SKD,194084,40817,8853,0.0456,0.525,-0.929,0.0066,61214,0.0103,93230,0.0196,135524,403,1899,1886,False,True
VEI,MW72,3704,51159,2180,0.5886,5.405,2.434,0.002,492,0.0103,585,0.126,1095,1,1912,1872,False,True
MW72,BEN,51159,17036,12880,0.2518,6.944,2.796,0.0032,5555,0.0102,8434,0.0241,18251,18,1872,1866,False,True
ACPH,BHS,1453,17777,157,0.1081,2.856,1.514,0.004,253,0.0101,298,0.0091,549,1,1896,1953,True,False
ACPH,PUI,1453,11730,231,0.159,6.368,2.671,0.004,253,0.0101,298,0.0128,549,1,1896,1951,True,False
ACPH,SCH,1453,28455,232,0.1597,2.636,1.399,0.0119,253,0.0101,298,0.0273,549,3,1896,1928,True,False
IEG,PD,7575,104959,173,0.0228,0.102,-3.29,0.0089,4612,0.0101,4758,0.0119,5126,41,1966,1976,True,False
PE,ACC,6623,32576,649,0.098,1.413,0.499,0.0049,1621,0.0101,1878,0.0206,2664,8,1975,1962,False,False
PWKVN,PD,14995,104959,2381,0.1588,0.711,-0.492,0.0,463,0.0101,2971,0.1381,9703,0,n/a,1976,True,False
KRM,PD,1698,104959,23,0.0135,0.061,-4.044,0.0091,660,0.01,700,0.007,1007,6,1965,1976,True,False
KRM,SHS,1698,46730,750,0.4417,4.441,2.151,0.0045,660,0.01,700,0.1579,1007,3,1965,1900,False,True
MCI,VCP,2325,48636,1048,0.4508,4.354,2.122,0.0056,532,0.01,602,0.0224,805,3,1993,1873,False,True
VCP,AP90,48636,34277,9145,0.188,2.577,1.366,0.0003,5955,0.0099,7491,0.0165,15836,2,1873,1890,True,True
SHS,SKD,46730,40817,5236,0.112,1.29,0.367,0.0058,1554,0.0098,4282,0.061,10895,9,1900,1886,False,True
BEN,STC,17036,23986,8683,0.5097,9.984,3.32,0.0049,407,0.0096,731,0.0448,1966,2,1866,1932,True,True
BEN,YAT,17036,44720,10706,0.6284,6.603,2.723,0.0,407,0.0096,731,0.0448,1966,0,1866,1846,False,True
INM,AP,9454,88667,2226,0.2355,1.248,0.319,0.0027,2564,0.0095,2934,0.0333,4268,7,1904,1957,True,True
MD,BEN,20103,17036,7908,0.3934,10.849,3.439,0.0024,843,0.0095,1784,0.0303,4325,2,1893,1866,False,True
BHS,SCH,17777,28455,2213,0.1245,2.056,1.039,0.0077,10915,0.0092,11581,0.0623,13701,84,1953,1928,False,True
CAE,GRA,38484,11108,6780,0.1762,7.452,2.898,0.0016,1894,0.0092,3803,0.0504,11180,3,1891,1873,False,True
INM,PUI,9454,11730,2477,0.262,10.495,3.392,0.0047,2564,0.0092,2934,0.0274,4268,12,1904,1951,True,True
PW,STC,151349,23986,17635,0.1165,2.282,1.191,0.0021,29633,0.009,60099,0.0293,98183,62,1879,1932,True,True
SCH,BHS,28455,17777,2213,0.0778,2.056,1.039,0.0091,9208,0.0089,11872,0.0441,19371,84,1928,1953,True,True
MW72,CAE,51159,38484,16656,0.3256,3.975,1.991,0.0007,5555,0.0088,8434,0.0209,18251,4,1872,1891,True,True
BOP,GRA,8505,11108,2115,0.2487,10.519,3.395,0.0,236,0.0086,349,0.0084,593,0,1847,1873,True,True
KRM,MW,1698,194084,649,0.3822,0.925,-0.112,0.0045,660,0.0086,700,0.0169,1007,3,1965,1899,False,True
LAN,CCS,4726,28751,3637,0.7696,12.576,3.653,0.0,248,0.0086,348,0.1067,600,0,1884,1887,True,False
LAN,INM,4726,9454,867,0.1835,9.117,3.189,0.0,248,0.0086,348,0.01,600,0,1884,1904,True,False
MW,BHS,194084,17777,6541,0.0337,0.891,-0.167,0.0047,61214,0.0085,93230,0.0189,135524,289,1899,1953,True,True
PE,PWG,6623,106083,4052,0.6118,2.71,1.438,0.0037,1621,0.0085,1878,0.2005,2664,6,1975,1855,False,False
SCH,AP,28455,88667,4547,0.1598,0.847,-0.24,0.0064,9208,0.0085,11872,0.0246,19371,59,1928,1957,True,True
VEI,CAE,3704,38484,2138,0.5772,7.047,2.817,0.0,492,0.0085,585,0.0557,1095,0,1912,1891,False,True
VEI,VCP,3704,48636,1819,0.4911,4.744,2.246,0.0041,492,0.0085,585,0.032,1095,2,1912,1873,False,True
AP90,STC,34277,23986,7708,0.2249,4.405,2.139,0.0,11434,0.0084,16351,0.0523,18547,0,1890,1932,True,True
ARMH,AP90,6673,34277,2184,0.3273,4.486,2.166,0.0,282,0.0084,359,0.0136,589,0,1861,1890,True,False
ARMH,GST,6673,6761,321,0.0481,3.343,1.741,0.0,282,0.0084,359,0.0051,589,0,1861,1856,False,False
MCI,BHS,2325,17777,307,0.132,3.49,1.803,0.0056,532,0.0083,602,0.0137,805,3,1993,1953,False,True
BEN,VCP,17036,48636,9330,0.5477,5.291,2.403,0.0074,407,0.0082,731,0.0264,1966,3,1866,1873,True,True
LRV,PD,48259,104959,1826,0.0378,0.169,-2.562,0.0052,11043,0.0082,12895,0.0158,18338,57,1889,1976,True,False
WIL,BUR,43939,19146,11550,0.2629,6.451,2.689,0.007,995,0.0082,3650,0.0173,9924,7,1832,1866,True,True
PW,BHS,151349,17777,6089,0.0402,1.063,0.089,0.0021,29633,0.0081,60099,0.0246,98183,62,1879,1953,True,True
STC,FRI,23986,7775,4233,0.1765,10.665,3.415,0.0099,2221,0.0081,4088,0.0183,7858,22,1932,1956,True,True
STC,MD,23986,20103,9534,0.3975,9.29,3.216,0.0023,2221,0.0078,4088,0.048,7858,5,1932,1893,False,True
PWG,CAE,106083,38484,29052,0.2739,3.344,1.741,0.0007,7136,0.0077,27672,0.0806,55798,5,1855,1891,True,True
YAT,SKD,44720,40817,4931,0.1103,1.269,0.344,0.0067,2085,0.0077,4420,0.047,10319,14,1846,1886,True,True
FRI,SKD,7775,40817,837,0.1077,1.239,0.309,0.0043,1151,0.0075,1336,0.0105,1805,5,1956,1886,False,True
GST,SHS,6761,46730,2259,0.3341,3.359,1.748,0.0,740,0.0075,1196,0.0412,2211,0,1856,1900,True,True
GST,WIL,6761,43939,2259,0.3341,3.573,1.837,0.0014,740,0.0075,1196,0.0416,2211,1,1856,1832,False,True
INM,SCH,9454,28455,1039,0.1099,1.815,0.86,0.0074,2564,0.0075,2934,0.0162,4268,19,1904,1928,True,True
IEG,BHS,7575,17777,665,0.0878,2.32,1.214,0.0056,4612,0.0074,4758,0.0148,5126,26,1966,1953,False,False
LRV,PUI,48259,11730,3298,0.0683,2.737,1.453,0.005,11043,0.0074,12895,0.0092,18338,55,1889,1951,True,True
MW72,AP90,51159,34277,14985,0.2929,4.015,2.005,0.0002,5555,0.0074,8434,0.0771,18251,1,1872,1890,True,True
AP,VCP,88667,48636,15773,0.1779,1.718,0.781,0.003,45732,0.0073,53567,0.0201,61655,137,1957,1873,False,True
VCP,INM,48636,9454,3763,0.0774,3.845,1.943,0.003,5955,0.0073,7491,0.0128,15836,18,1873,1904,True,True
MW72,BUR,51159,19146,11989,0.2343,5.751,2.524,0.0038,5555,0.0072,8434,0.0116,18251,21,1872,1866,False,True
PUI,BHS,11730,17777,1106,0.0943,2.492,1.317,0.0058,5324,0.0072,5714,0.0112,6812,31,1951,1953,True,True
KRM,PW,1698,151349,589,0.3469,1.077,0.107,0.003,660,0.0071,700,0.0149,1007,2,1965,1879,False,True
PGN,BHS,470,17777,73,0.1553,4.105,2.037,0.0073,275,0.0071,282,0.0093,323,2,1978,1953,False,False
PW,VCP,151349,48636,35265,0.233,2.251,1.171,0.0016,29633,0.0071,60099,0.0614,98183,48,1879,1873,False,True
MW72,GRA,51159,11108,5666,0.1108,4.685,2.228,0.0014,5555,0.007,8434,0.0203,18251,8,1872,1873,True,True
AP,PUI,88667,11730,2520,0.0284,1.138,0.187,0.0071,45732,0.0069,53567,0.0076,61655,324,1957,1951,False,True
AP90,MW,34277,194084,17175,0.5011,1.213,0.279,0.0001,11434,0.0069,16351,0.1021,18547,1,1890,1899,True,True
PE,BHS,6623,17777,822,0.1241,3.28,1.714,0.0043,1621,0.0069,1878,0.0135,2664,7,1975,1953,False,False
VEI,STC,3704,23986,1374,0.371,7.266,2.861,0.002,492,0.0068,585,0.0137,1095,1,1912,1932,True,True
ACPH,PE,1453,6623,174,0.1198,8.495,3.087,0.004,253,0.0067,298,0.0055,549,1,1896,1975,True,False
ACPH,STC,1453,23986,372,0.256,5.015,2.326,0.004,253,0.0067,298,0.0055,549,1,1896,1932,True,False
ACPH,VCP,1453,48636,708,0.4873,4.707,2.235,0.004,253,0.0067,298,0.0364,549,1,1896,1873,False,False
CCS,BHS,28751,17777,2163,0.0752,1.988,0.992,0.0063,640,0.0067,1648,0.0049,6086,4,1887,1953,True,True
GST,AP90,6761,34277,1725,0.2551,3.497,1.806,0.0,740,0.0067,1196,0.0308,2211,0,1856,1890,True,True
PUI,PWG,11730,106083,5090,0.4339,1.922,0.943,0.0011,5324,0.0067,5714,0.1189,6812,6,1951,1855,False,True
CAE,LRV,38484,48259,15128,0.3931,3.827,1.936,0.0026,1894,0.0066,3803,0.0365,11180,5,1891,1889,False,True
MW72,LRV,51159,48259,17241,0.337,3.281,1.714,0.0022,5555,0.0066,8434,0.0235,18251,12,1872,1889,True,True
STC,BUR,23986,19146,6475,0.2699,6.625,2.728,0.0086,2221,0.0066,4088,0.0073,7858,19,1932,1866,False,True
BUR,WIL,19146,43939,11550,0.6033,6.451,2.689,0.0015,4550,0.0064,4718,0.0334,5153,7,1866,1832,False,True
SCH,IEG,28455,7575,905,0.0318,1.973,0.98,0.0067,9208,0.0063,11872,0.0073,19371,62,1928,1966,True,False
SCH,LRV,28455,48259,5285,0.1857,1.808,0.855,0.0037,9208,0.0063,11872,0.0105,19371,34,1928,1889,False,True
ABCH,SHS,11584,46730,8895,0.7679,7.72,2.949,0.0,514,0.0062,645,0.0583,1270,0,1896,1900,True,False
ACC,PWKVN,32576,14995,817,0.0251,0.786,-0.348,0.0,23340,0.0061,27163,0.0194,30608,0,1962,n/a,True,False
BUR,PW,19146,151349,12569,0.6565,2.038,1.027,0.0022,4550,0.0061,4718,0.0297,5153,10,1866,1879,True,True
CCS,AP,28751,88667,9980,0.3471,1.839,0.879,0.0016,640,0.0061,1648,0.0396,6086,1,1887,1957,True,True
CCS,VCP,28751,48636,11944,0.4154,4.013,2.005,0.0109,640,0.0061,1648,0.0051,6086,7,1887,1873,False,True
VCP,SCH,48636,28455,5375,0.1105,1.825,0.868,0.0027,5955,0.0061,7491,0.0117,15836,16,1873,1928,True,True
PWG,BEN,106083,17036,15194,0.1432,3.95,1.982,0.0028,7136,0.006,27672,0.0187,55798,20,1855,1866,True,True
PD,BHS,104959,17777,881,0.0084,0.222,-2.172,0.0056,95979,0.0059,97444,0.0063,100551,538,1976,1953,False,False
PE,SCH,6623,28455,848,0.128,2.114,1.08,0.0049,1621,0.0059,1878,0.0113,2664,8,1975,1928,False,False
PWG,AP,106083,88667,23682,0.2232,1.183,0.242,0.0043,7136,0.0059,27672,0.0555,55798,31,1855,1957,True,True
STC,BHS,23986,17777,1970,0.0821,2.171,1.118,0.0036,2221,0.0059,4088,0.0076,7858,8,1932,1953,True,True
LRV,SCH,48259,28455,5285,0.1095,1.808,0.855,0.0031,11043,0.0058,12895,0.0111,18338,34,1889,1928,True,True
BOP,BHS,8505,17777,1126,0.1324,3.499,1.807,0.0042,236,0.0057,349,0.0084,593,1,1847,1953,True,True
BOP,GST,8505,6761,436,0.0513,3.563,1.833,0.0,236,0.0057,349,0.0084,593,0,1847,1856,True,True
BOP,INM,8505,9454,1484,0.1745,8.672,3.116,0.0,236,0.0057,349,0.0135,593,0,1847,1904,True,True
BOP,LRV,8505,48259,6054,0.7118,6.93,2.793,0.0,236,0.0057,349,0.0489,593,0,1847,1889,True,True
BOP,MD,8505,20103,4726,0.5557,12.987,3.699,0.0042,236,0.0057,349,0.0169,593,1,1847,1893,True,True
BOP,PE,8505,6623,1092,0.1284,9.109,3.187,0.0085,236,0.0057,349,0.0067,593,2,1847,1975,True,False
BOP,PUI,8505,11730,1631,0.1918,7.681,2.941,0.0042,236,0.0057,349,0.0067,593,1,1847,1951,True,True
BOP,SHS,8505,46730,6094,0.7165,7.204,2.849,0.0,236,0.0057,349,0.0624,593,0,1847,1900,True,True
BOP,WIL,8505,43939,5633,0.6623,7.082,2.824,0.0,236,0.0057,349,0.0573,593,0,1847,1832,False,True
BUR,STC,19146,23986,6475,0.3382,6.625,2.728,0.0042,4550,0.0057,4718,0.0111,5153,19,1866,1932,True,True
IEG,AP,7575,88667,1150,0.1518,0.804,-0.314,0.0028,4612,0.0057,4758,0.0129,5126,13,1966,1957,False,False
LAN,BEN,4726,17036,2748,0.5815,16.036,4.003,0.0,248,0.0057,348,0.0333,600,0,1884,1866,False,False
LRV,YAT,48259,44720,21399,0.4434,4.659,2.22,0.0019,11043,0.0057,12895,0.0398,18338,21,1889,1846,False,True
MW,SCH,194084,28455,14522,0.0748,1.235,0.305,0.0034,61214,0.0057,93230,0.0434,135524,207,1899,1928,True,True
ARMH,IEG,6673,7575,930,0.1394,8.644,3.112,0.0035,282,0.0056,359,0.0051,589,1,1861,1966,True,False
ARMH,STC,6673,23986,3483,0.522,10.224,3.354,0.0,282,0.0056,359,0.017,589,0,1861,1932,True,False
MD,LRV,20103,48259,9518,0.4735,4.61,2.205,0.0,843,0.0056,1784,0.0257,4325,0,1893,1889,False,True
BEN,SHS,17036,46730,10574,0.6207,6.241,2.642,0.0,407,0.0055,731,0.0432,1966,0,1866,1900,True,True
AP,PD,88667,104959,2876,0.0324,0.145,-2.784,0.0038,45732,0.0054,53567,0.0109,61655,172,1957,1976,True,False
PUI,VCP,11730,48636,3765,0.321,3.101,1.633,0.003,5324,0.0054,5714,0.0269,6812,16,1951,1873,False,True
SHS,BUR,46730,19146,11902,0.2547,6.25,2.644,0.0026,1554,0.0054,4282,0.015,10895,4,1900,1866,False,True
YAT,AP90,44720,34277,9185,0.2054,2.815,1.493,0.0062,2085,0.0054,4420,0.0049,10319,13,1846,1890,True,True
PE,MW72,6623,51159,2115,0.3193,2.933,1.552,0.0025,1621,0.0053,1878,0.0139,2664,4,1975,1872,False,False
PW,MW72,151349,51159,35171,0.2324,2.134,1.094,0.0008,29633,0.0053,60099,0.0655,98183,24,1879,1872,False,True
SCH,PWG,28455,106083,7782,0.2735,1.211,0.277,0.001,9208,0.0053,11872,0.0412,19371,9,1928,1855,False,True
