source,inheritor,source_size,inheritor_size,intersection,containment,lift,pmi,rare_cont_2,src_rare_2,rare_cont_3,src_rare_3,rare_cont_5,src_rare_5,excl_pair,source_year,inheritor_year,temporal_plausible,both_in_L0
BEN,MW,17036,194084,15969,0.9374,2.269,1.182,0.4865,407,0.5116,731,0.6455,1966,198,1866,1899,True,True
CCS,CAE,28751,38484,27014,0.9396,11.471,3.52,0.5312,640,0.5091,1648,0.8055,6086,340,1887,1891,True,True
AP90,AP,34277,88667,26055,0.7601,4.028,2.01,0.3024,11434,0.5076,16351,0.5642,18547,3458,1890,1957,True,True
SHS,YAT,46730,44720,39984,0.8556,8.99,3.168,0.0631,1554,0.4724,4282,0.6755,10895,98,1900,1846,False,True
MW,PW,194084,151349,129002,0.6647,2.063,1.045,0.2778,61214,0.4593,93230,0.5681,135524,17007,1899,1879,False,True
YAT,SHS,44720,46730,39984,0.8941,8.99,3.168,0.047,2085,0.4577,4420,0.7132,10319,98,1846,1900,True,True
ACC,MW,32576,194084,17060,0.5237,1.268,0.342,0.3698,23340,0.4434,27163,0.4935,30608,8631,1962,1899,False,True
GRA,PW,11108,151349,9645,0.8683,2.696,1.431,0.4117,1212,0.4264,1569,0.6974,3668,499,1873,1879,True,True
CCS,PW,28751,151349,27176,0.9452,2.934,1.553,0.1016,640,0.4187,1648,0.8056,6086,65,1887,1879,False,True
SKD,AP,40817,88667,18890,0.4628,2.452,1.294,0.324,26383,0.4158,31649,0.4088,34309,8549,1886,1957,True,True
LAN,MW,4726,194084,4392,0.9293,2.25,1.17,0.2581,248,0.3937,348,0.57,600,64,1884,1899,True,False
PW,PWG,151349,106083,99454,0.6571,2.91,1.541,0.1271,29633,0.3885,60099,0.5154,98183,3767,1879,1855,False,True
SNP,MW,448,194084,411,0.9174,2.221,1.151,0.16,25,0.3784,37,0.5735,68,4,1974,1899,False,False
MD,PW,20103,151349,17835,0.8872,2.754,1.462,0.1008,843,0.3711,1784,0.6495,4325,85,1893,1879,False,True
AP90,SKD,34277,40817,8500,0.248,2.854,1.513,0.1485,11434,0.369,16351,0.3329,18547,1698,1890,1886,False,True
GST,MW,6761,194084,5742,0.8493,2.056,1.04,0.1041,740,0.3579,1196,0.5812,2211,77,1856,1899,True,True
BOP,MW,8505,194084,7995,0.94,2.276,1.186,0.2034,236,0.3524,349,0.4924,593,48,1847,1899,True,True
CAE,PW,38484,151349,34146,0.8873,2.754,1.462,0.0681,1894,0.3282,3803,0.7146,11180,129,1891,1879,False,True
GST,PD,6761,104959,4204,0.6218,2.783,1.477,0.2068,740,0.3135,1196,0.445,2211,153,1856,1976,True,False
GRA,MW,11108,194084,9752,0.8779,2.125,1.088,0.1667,1212,0.2913,1569,0.6543,3668,202,1873,1899,True,True
AP,SKD,88667,40817,18890,0.213,2.452,1.294,0.1869,45732,0.2457,53567,0.2275,61655,8549,1957,1886,False,True
CCS,MW,28751,194084,25886,0.9004,2.18,1.124,0.0297,640,0.2415,1648,0.6149,6086,19,1887,1899,True,True
