parent,child,tier,consensus_support,ci95_low,ci95_high,nn_knn_support
WIL,YAT,A,0.125,0.106,0.147,0.191
WIL,SHS,A,0.896,0.876,0.913,0.975
YAT,SHS,A,0.075,0.06,0.093,0.17
PWG,PW,A,0.38,0.35,0.41,0.761
PW,CCS,A,0.039,0.029,0.053,0.038
CCS,CAE,A,0.764,0.737,0.789,0.839
MW72,MW,A,0.248,0.222,0.276,0.138
AP90,AP,A,0.642,0.612,0.671,0.853
PWG,MW72,A,0.059,0.046,0.075,0.006
PWG,MW,A,0.079,0.064,0.097,0.124
PWG,SCH,A,0.31,0.282,0.339,0.337
BOP,MW,B,0.246,0.22,0.274,0.253
BEN,MW,B,0.327,0.299,0.357,0.256
