Complete,,,,,
1.0,RAGHUVANSA,8752.0,,SUM,107685
2.0,BRIHATSAMHITA,9174.0,,,
3a,Indische Sprüche V.1,10494.0,,,
3b,Indische Sprüche V.2,,,,
3c,Indische Sprüche V.3,,,,
5.0,SĀHITYADARPAṆA,3860.0,,,
6.0,YĀJÑAVALKYA'S Gesetzbuch,3794.0,,,
7.0,NALOPĀKHYĀNA in B. Ch.,3446.0,,,
8.0,Geschichte des VIDŪṢAKA in B. Ch.,1127.0,,,
9.0,DAŚARATHA'S Tod in B. Ch.,413.0,,,
10.0,VIŚVĀMITRA'S Kampf in B. Ch.,370.0,,,
11.0,HEMACANDRA'S ABHIDHĀNACINTĀMAṆI : Bohtlingk,16148.0,,,
12.0,die Śeṣa zu HEMACANDRA'S ABHIDHĀNACINTĀMAṆI,1301.0,,,
13.0,HEMACANDRA'S ANEKĀRTHASAM̃GRAHA 1807 Calc. ed.,9781.0,,,
14.0,MEDINĪKOṢA 1807 Calc. ed.,12990.0,,,
15.0,TRIKĀṆḌAŚEṢA 1807 Calc. ed.,8426.0,,,
16.0,HĀRĀVALĪ 1807 Calc. ed.,1865.0,,,
17.0,MĀRKĀṆḌEYAPURĀṆA,5436.0,,,
18.0,HALĀYUDHA,5159.0,,,
19.0,VOPADEVA'S Grammatik : Bohtlingk,5149.0,,,
20.0,ŚATAPATHABRĀHMAṆA,,,,
21.0,SĀHITYADARPAṆA MW,,,,
,,,,,
