id	ls_string	class_draft	kind	tooltip
c.2180	2ten VP.	book-work	guess	2ten VP. = second recension of the Vishṇupurāṇa ? [Cologne Addition]
c.2181	4te RĀJA-TAR.	book-work	guess	4te RĀJA-TAR. = fourth recension of the Rājataraṅgiṇī ? [Cologne Addition]
c.2182	AMṚTAB. UP.	book-work	unknown	AMṚTAB. UP. = ? [Cologne Addition]
c.2183	ANANTASAṂHITĀ	book-work	identity-uncertain	ANANTASAṂHITĀ = ANANTASAṂHITĀ. ? [Cologne Addition]
c.2184	AVIC.	book-work	unknown	AVIC. = ? [Cologne Addition]
c.2185	Abh. d. Königl. Ak. d. W. zu Berlin	person-western?	confident-expansion	Abh. d. Königl. Ak. d. W. zu Berlin = Abhandlungen der Königlichen Akademie der Wissenschaften zu Berlin [Cologne Addition]
c.2186	Asiatischen Museum der Kais. Akad. d. Wiss. in St. Petersburg	journal-periodical	confident-expansion	Asiatischen Museum der Kais. Akad. d. Wiss. in St. Petersburg = Asiatisches Museum der Kaiserlichen Akademie der Wissenschaften zu St. Petersburg [Cologne Addition]
c.2187	BERGSTEDT	book-work	identity-uncertain	BERGSTEDT = BERGSTEDT. ? [Cologne Addition]
c.2188	BIJĀBHIDHĀNA	book-work	identity-uncertain	BIJĀBHIDHĀNA = BIJĀBHIDHĀNA. ? [Cologne Addition]
c.2189	BRAHMAYĀMALA	book-work	identity-uncertain	BRAHMAYĀMALA = BRAHMAYĀMALA. ? [Cologne Addition]
c.2190	BUCHANANʼs Handschrr.	book-work	confident-expansion	BUCHANANʼs Handschrr. = Francis Buchanan (Hamilton), Sanskrit manuscripts [Cologne Addition]
c.2191	BUCHANANʼs Hdschrr.	book-work	confident-expansion	BUCHANANʼs Hdschrr. = Francis Buchanan (Hamilton), Sanskrit manuscripts [Cologne Addition]
c.2192	Berichte der phil.-hist. Cl. d. k. s. G. d. Ww.	person-western?	confident-expansion	Berichte der phil.-hist. Cl. d. k. s. G. d. Ww. = Berichte der philologisch-historischen Classe der Königlichen Sächsischen Gesellschaft der Wissenschaften [Cologne Addition]
c.2193	Bibl. indica	person-western?	confident-expansion	Bibl. indica = Bibliotheca Indica [Cologne Addition]
c.2194	Bomb.	person-western?	confident-expansion	Bomb. = Bombay edition [Cologne Addition]
c.2195	Bomb. Ausg.	person-western?	confident-expansion	Bomb. Ausg. = Bombay edition [Cologne Addition]
c.2196	Bomb. Ausgg.	person-western?	confident-expansion	Bomb. Ausgg. = Bombay editions [Cologne Addition]
c.2197	Bombay 1783 (1861) lithographirten	person-western?	guess	Bombay 1783 (1861) lithographirten = Bombay edition, 1783, lithographed reprint 1861 ? [Cologne Addition]
c.2198	Breslauer Programm	person-western?	unknown	Breslauer Programm = ? [Cologne Addition]
c.2199	Buddh. Trigl.	person-western?	guess	Buddh. Trigl. = Buddhist triglot edition ? [Cologne Addition]
