ls_value	case_match_to_bib_code	times_cited_in_ls_file	extends_bib_code_prefix	class
2ten VP.		1		unknown
4te RĀJA-TAR.		1		unknown
AGASTYASAṂH.		1	AGASTYASAṂH	extends-known-code
AINSL.		1	AINSL	extends-known-code
AIT. BR. Comm.		1	AIT. BR.	extends-known-code
AIT. ĀRAṆY.		1	AIT.	extends-known-code
AIT. ĀRAṆYAKA		1	AIT.	extends-known-code
AK. (COLEBR.)		1	AK.	extends-known-code
AK. (LOIS.)		1	AK.	extends-known-code
AK. COL.		1	AK.	extends-known-code
ALAṂKĀRAC. Eing.		1	ALAṂKĀRAC.	extends-known-code
AMṚTAB. UP.		1		unknown
AMṚTABINDŪP.		1	AMṚTABINDŪP	extends-known-code
ANANTASAṂHITĀ		1		unknown
ANUKR. ŚĀṬY. BR.		1	ANUKR.	extends-known-code
AUFR. De accentu comp.		1	AUFR.	extends-known-code
AUFR. HALĀY. Ind.		1	AUFR.	extends-known-code
AUFRECHT, HALĀY. Ind.		1	AUFRECHT, HALĀY.	extends-known-code
AUFRECHT, UṆĀDIS. Ind.		1	AUFRECHT	extends-known-code
AUFRECHTʼs Ausg. des HALĀY.		1	AUFRECHT	extends-known-code
AVIC.		1		unknown
Abh. d. Königl. Ak. d. W. zu Berlin		1		unknown
As. J. new s.		1	As. J. new	extends-known-code
Asiatischen Museum der Kais. Akad. d. Wiss. in St. Petersburg		1		unknown
BAER und HELMERSEN, Beitr. z. Kenntn. d. russ. Reiches		1	BAER	extends-known-code
BENF. SV.		1	BENF.	extends-known-code
BENF. Uebers.		1	BENF.	extends-known-code
BENFEY Chr.		1	BENFEY	extends-known-code
BENFEY, Glossar z. SV.		1	BENFEY	extends-known-code
BENFEY, SV. Einl.		1	BENFEY, SV.	extends-known-code
BENFEY, SV. Vorr.		1	BENFEY, SV.	extends-known-code
BENFEYʼs Dict.		1	BENFEY	extends-known-code
BENFEYʼs Uebersetzung		1	BENFEY	extends-known-code
BERGSTEDT		1		unknown
BHAG. Einl.		1	BHAG.	extends-known-code
BHAG. SCHL.		1	BHAG.	extends-known-code
BHAG. ed. SCHL.		1	BHAG.	extends-known-code
BHAR. NĀṬYAŚ.		1	BHAR.	extends-known-code
BHARATAM.		1	BHARATA	extends-known-code
BHARTṚ. (lith. Ausg.)		1	BHARTṚ.	extends-known-code
BHARTṚ. ed. BOHL.		1	BHARTṚ.	extends-known-code
BHAṬṬIK.		1	BHAṬṬIK	extends-known-code
BHĀG. P. Calc. lith. Ausg.		1	BHĀG. P.	extends-known-code
BHĀG. P. Einl.		1	BHĀG. P.	extends-known-code
BHĀG. P. I, Einl.		1	BHĀG. P.	extends-known-code
BHĀSKARAʼs SIDDHĀNTAŚIROMAṆI		1	BHĀSKARA	extends-known-code
BIJĀBHIDHĀNA		1		unknown
BOEHTL., Einl. zu P.		1	BOEHTL.	extends-known-code
BRAHMAVAIV. (ST.)		1	BRAHMAVAIV.	extends-known-code
BRAHMAVAIV. P., BRAHMAKH.		1	BRAHMAVAIV. P.	extends-known-code
BRAHMAVAIV. P., BRAHMAKHAṆḌA		1	BRAHMAVAIV. P.	extends-known-code
BRAHMAVAIV. P., GAṆAPATIKH.		1	BRAHMAVAIV. P.	extends-known-code
BRAHMAVAIV. P., GAṆAPATIKHAṆḌA		1	BRAHMAVAIV. P.	extends-known-code
BRAHMAVAIV. P., KṚṢṆAJANMAKH.		1	BRAHMAVAIV. P.	extends-known-code
BRAHMAVAIV. P., PRAKṚTIKH.		1	BRAHMAVAIV. P.	extends-known-code
BRAHMAVAIV. P., PRAKṚTIKHAṆḌA		1	BRAHMAVAIV. P.	extends-known-code
BRAHMAVAIV. P., ŚRĪKṚṢṆAJANMAKH.		1	BRAHMAVAIV. P.	extends-known-code
BRAHMAVAIV. P., ŚRĪKṚṢṆAJANMAKH., DHENUKĀSURAV.		1	BRAHMAVAIV. P.	extends-known-code
BRAHMAVAIV. P., ŚRĪKṚṢṆAJANMAKHAṆḌA		1	BRAHMAVAIV. P.	extends-known-code
BRAHMAYĀMALA		1		unknown
BUCHANANʼs Handschrr.		1		unknown
BUCHANANʼs Hdschrr.		1		unknown
BURN. BHĀG. P.		1	BURN.	extends-known-code
BURNOUF, BHĀG. P.		1	BURNOUF	extends-known-code
BURNOUF, Intr.		1	BURNOUF	extends-known-code
BURNOUF, Lot. de la b. l.		1	BURNOUF	extends-known-code
BURNOUF, YAŚNA		1	BURNOUF	extends-known-code
BURNOUFʼs Auffassung		1	BURNOUF	extends-known-code
Berichte d. k. s. Ges. d. Ww. phil.-hist. Cl.		1	Berichte d. k. s. Ges. d. Ww. phil.-hist.	extends-known-code
Berichte d. k. s. Ges. d. Ww. phil.-hist. Classe		1	Berichte d. k. s. Ges. d. Ww. phil.-hist.	extends-known-code
Berichte der phil.-hist. Cl. d. k. s. G. d. Ww.		1		unknown
Bibl. ind. ĪŚVARAKṚṢṆAʼs सांख्यकारिका		1	Bibl. ind.	extends-known-code
Bibl. indica		1		unknown
Bomb.		1		unknown
Bomb. Ausg.		1		unknown
Bomb. Ausgg.		1		unknown
Bombay 1783 (1861) lithographirten		1		unknown
Breslauer Programm		1		unknown
Buddh. Trigl.		1		unknown
Bull. de lʼAcad. Imp. des Sc.		1		unknown
Bull. de lʼAcad. Imp. des Sc. de S.-P.		1		unknown
Bull. de lʼAcad. Imp. des Sc. de St. P.		1		unknown
Bulletin de lʼAcad. Imp. des sc. de St.-Pét.		1		unknown
BÖHTLINGK in der Einl. zu seiner Ausg.		1	BÖHTLINGK	extends-known-code
BÖHTLINGKʼs Ausg. d. P.		1	BÖHTLINGK	extends-known-code
BÜHLERʼs Ausg. des PAÑCAT.		1	BÜHLER	extends-known-code
BĀDAR. Comm.		1	BĀDAR.	extends-known-code
BĪJAGAṆITA		1		unknown
BĪJĀBHIDHĀNA		1		unknown
BṚH. J.		1	BṚH.	extends-known-code
BṚHADDHARMA-P., UTTARAKH.		1	BṚHADDHARMA-P.	extends-known-code
CANDRAŚEKHARA-VĀCASPATIʼs CANDANADHENUVIDHI		1	CANDRA	extends-known-code
CARAKA, Einl.		1	CARAKA	extends-known-code
CAREY Gramm.		1	CAREY	extends-known-code
CAṆḌĪ		1		unknown
CH. BRUCE, On the Vedic conception of the Earth		1	CH. BRUCE	extends-known-code
CHANDAS.		1	CHANDAS	extends-known-code
CHĀNDOGYABHĀṢYA		1		unknown
COW.	Cow.	1		case-variant
Calc.		1		unknown
Calc. Aus.		1		unknown
Calc. Ausgg.		1		unknown
Carl Graf v. GÖRTZ, Reise um die Welt		1		unknown
Chamb.	CHAMB.	1		case-variant
Chambers		1		unknown
Chrest.		1		unknown
Compendiums des Vaiśeṣika-Systems		1		unknown
DAMPATĪŚ.		1		unknown
DATTAKA-M.		1		unknown
DEV. ed. POL.		1	DEV.	extends-known-code
DEVARĀJAY.		1	DEVARĀJAY	extends-known-code
DEVĪ-P., DEVĪNIRUKTĀDHY.		1	DEVĪ-P.	extends-known-code
DEVĪ-P., KUṆḌAPR.		1	DEVĪ-P.	extends-known-code
DHANAÑJAYA		1		unknown
DHANVANTARIʼs NIGHAṆṬU		1	DHANVANTARI	extends-known-code
DHYĀNAB. UP.		1		unknown
DHŪRTASAMĀGAMA		1		unknown
DIEZ, Etym. Wört. d. romanischen Sprachen		1	DIEZ	extends-known-code
DIEZ, Etym. Wört. der rom.		1	DIEZ	extends-known-code
DIEZ, Etym. Wört. der rom. Spr.		1	DIEZ	extends-known-code
DURGOTSAVAPRAYOGA		1		unknown
DVIVEDA		1		unknown
DVĀVIṂŚATYAVADĀNAKA		1		unknown
Die Wurzeln des Altsl.		1		unknown
Die Wurzeln des Altslovenischen		1		unknown
ERNST KUHN, KACCĀYANAPPAKARAṆAE Specimen		1	ERNST KUHN	extends-known-code
