bib_code	pwgab_id
?	c.2143
A Gloss. of jud. and rev. terms	c.2023
A. C. BURNELL	c.1361
ADHIMĀS.	c.1521
AGASTYASAṂH	c.1982
AGAYAPĀLA	c.1227
AH.	c.496
AINSL	c.103a
AINSLIE, Mat. ind.	c.2013
AIT.	c.672
ALAṂKĀRAC.	c.1468
ALBY.	c.206a
ALBYROUNY'S	c.1984
AMṚTABINDŪP	c.380
AMṚTAV. UP.	1.013
AMṚTAVINDŪP.	c.282
ANANDAL.	c.615
ANANTASAM̃HITĀ	c.342
ANEKĀRTHAKOŚA	c.1406
ANUKRAM.	1.020a
APAG. AV.	c.1800
AR. UP.	c.1683
ARHANT'S	c.1669
ARYABH.	c.660
AUFRECHT'S	c.1983
AUSH.	c.021
Abh. d. Königl. Ak. d. W. zu Berlin,	c.2123
Ak. d. Ww.	c.387
Alg.	1.080a
As. J. new	c.2024
As. Soc. of B.	c.022
As. Soc. of Beng.	c.022a
AŚNA	c.2087
AŚVAGR.	c.2098
AŚVINORUTPATTIḤ	c.1789
AṢṬĀVAKHA	c.869
B.	c.377b
B. H.	1.314c
BAER	c.1656
BALLANTYNE'S	c.1985
BENF. Vollst. Gr.	1.034a
BENFEY'S	c.1976
BENFEY, Chr.	1.033a
BENFEY, SV.	1.286a
BENFEY.	c.032
BERGHAUS	c.1540
BERGSTEDT.	c.1497
BHAGAṆ.	c.744
BHAGAṆĀDH.	c.484
BHAGAṆĀDHY.	c.1578
BHAGH.	c.693
BHAGRAHAY.	c.554
BHAGRAHAYUTI	c.1760
BHAGRAHAYUTY.	c.1997
BHAGRAHAYUTYADH.	c.1748
BHARATA'S	c.1988
BHAVA'S	c.1358
BHAVAPR.	c.699
BHAVIṢYOTT.-P.	c.389a
BHAVIṢYOTTARAP.	c.747
BHAVĀPR.	c.953
BHAṬṬIK	c.1873
BHAṬṬOPALA	c.1243
BHAṬṬOTPOLA	c.1513
BHUVANAK.	c.1700
BHĀGRAHAYUTYADHY.	c.1998
BHĀH. P.	c.1510
BHĀHMAṆ.	c.1737
BHĀK. NĀṬYAŚ.	c.1532
BHĀR.	c.2011
BHĀR. NĀṬYAŚ.	c.036
BHĀTUP.	c.562
BHĀṢAP.	c.601
BHĀṬṬ.	c.499
BHŪHIPR.	c.1122
BHŪRIPR	c.1216
BHŪRTAS.	c.644
BOEHTL.	c.377c
BOLLENSEN, Or. und Occ.	c.1359
BOPP.	c.177
BR.	c.081
BRAHMA-P. in LA.	1.047a
BRAHMAJĀMALA	c.1533
BRAHMAKH.	c.1721
BRAHMAKHAṆḌA	c.1761
BRAHMAP.	c.210
BRAHMAV.-P.	c.321b
BRAHMAVAIV-P.	c.321c
BRAHMAVAIV.-P.	c.321a
BRHASPATI	c.989
BROCKHAUS.	c.149
BRUCE	c.854
BRĀHMAN.	c.625
BRĀHMM.	c.1394
BRĀMAṆ.	c.620
BUCHANAN'S Handschrr.	c.1543
BUCHANAN'S Hdschrr.	c.1544
BURGAD.	c.1802
BURNOUF Intr.	1.056a
BURNOUF.	c.122
Beitr. z. Kenntn. d. russ. Reiches	c.1542
Berichte d. k. s. Ges. d. Ww.	2.003
Berichte d. k. s. Ges. d. Ww. phil.-hist.	c.758
Berichte der phil.-hist. Cl. d. K. S. G. d. Ww	c.1545
Berichte über die Verh. d. k. s. Ges. d. W. zu Leipzig, phil.hist.	c.1366
Bull. de l'Acad. Imp. des sc.	c.435c
Bull. de l'Acad. Imp. des sc. de St. P.	c.435
Bull. de l'Acad. des Sc. de S.-P.	c.435b
Bulletin de I'Acad. Imp. des sc. de St. - Pét.	c.435a
BÖHT.	c.1803
BÖHTL. Ausg. des P.	c.1807
BÜLLER	c.1541
BĀLA	c.1512
BĀPŪD.	c.1451a
BĀṢĀP.	c.594
BṚH. ĀR.	1.051a
BṚH. ĀR. UP. S.	1.051b
CABDAR.	c.1192
CANDRAGR.	c.1708
CANDRAGRAHAṆĀDHY.	c.1708a
CANDRAŚEKHARA-VĀCASPATI'S CANDANADHENUVIDHI	c.1991
CANOPUS	c.878
CANḌRA	c.1407
CARARA	c.868
CARET	c.1278
CATHĀS.	c.515
CAUBAP.	c.614
CAUKAP.	c.623
CAURAP	c.870
CAURAPĀṆIDATTA	c.1787
CAURĀP.	c.678
CAṆDRAGR.	c.593
CAṆḌI	c.1677
CAṬHOP.	c.663
CH.	c.2025
CH. BRUCE	c.1696
CHEDYAK.	c.1556
CHĀND. UP. S.	1.170a
CHĀNDOGYABHĀṢYA.	c.1400
CIŚ.	c.658
COL.	1.010b
COWELL, Calcutta 1864.	c.760
CUSUM.	c.613
Chr.	c.1546
Cow.	c.1581
DAM̃PATĪŚ.	c.507
DARŚANA	c.1765
DATTAC.	c.604
DEVARĀJA'S	c.1980
DEVARĀJAY	c.1842
DEVĪNIRUKTĀDHY.	c.2080
DEŚĪK.	c.1416
DHAMAṂJAYA	c.1294
DHANAM̃JAYA	c.189
DHENUKĀSURAV.	c.1994
DHYĀNAV. UP.	1.094
DHYĀNAVINDŪP.	c.308
DHĀRAṆISAṂGRAHA	c.1784
DHŪRITAS.	c.731
DHŪRTAS. in LA.	1.095a
DHŪRTASAMĀGAMA.	c.1449
DIEZ	c.1458
DRIRŪPAK.	c.2010
DURGA.	c.145
DURGAD.	1.098
DURGOTSAVAPRAYOGA.	c.1433
DVIRŪPAK	c.1177
DVĀVIṂŚATYAVADĀNAKA.	c.1473
Die Calc. Ausg.	c.1824
DṚKK.	c.1563
DṚKKARM.	c.1754
DṚṢTĀNTAŚ.	c.505
EKĀCṢARAK.	c.997
ERNST KUHN	c.1558
EURNOUF.	c.1500
F. NEVE'S Essay sur le mythe des Ribhavas. Paris 1847.	c.1597
FOUC.	c.512
FOUCAUX.	c.137
Fl. ind.	1.261a
Fl. ind. ed. CAREY.	c.762
G. WEBER,	c.397
GAIM.	c.616
GARUḌAP.	c.354b
GAUDAPĀDA'S	c.1623
GAUḌAP	c.967
GAUḌAPĀDA'S	c.1970
GAYĀMĀH.	c.1734
GAYĀPADDH.	c.1845
GAṄGĀVATARAṆA	c.1843
GAṆAPATIKH.	c.590
GAṆAPATIKHAṆḌA	c.1764
GAṆARATS.	c.1043
GAṆIT.	c.074a
GAṆITADHY.	c.1755
GAṆIṬĀDHY.	c.1647
GAṬĀDH.	c.273
GAṬĀḌH.	c.1137
GHAT.	c.503
GIT.	c.645
GOBH	c.826
GOLAB.	c.1559
GOLABANDH.	c.2101
GOLAPR.	c.1747
GOLASVAR.	c.1724
GOLD. in der Einl. zu MĀN.	3.003a
GOLĀDHY. GRAHMAṆAV.	c.2175
GORH.	c.727
GORR.	1.112
GRAHACCH.	c.662
GRAHACCHĀY.	c.629
GRAHACCHĀYĀDH.	c.748
GRAHAYUTY.	c.639
GRAHAṆAV.	c.1621
GRAHAṆĀDHY.	c.1753
GRAHMAṆAV.	c.1745
GRAHĀNAY.	c.556
GRAHĀNAYAN.	c.541
GRAHĀNAYANĀDH.	c.1749
GRAHĀNAYANĀDHY.	c.1735
GRHYASAM̃GR.	c.642
GRIMM, Gesch. der deutschen Sprache.	c.401b
GUPTASĀDHANATATTVA	c.2000
GUṆIT. SPAṢṬĀDH.	c.766
GĀNA	c.1692
GĀRUḌAP.	c.749
GṚHY.	c.050
GṚHYAS	c.861
HALĀYUDHA'S	c.1566
HANŪMANT	c.1319
HAR.	c.690
HARIHARASTOTRA	c.1841
HARIR.	c.591
HAUGHT	c.1848
HAUGTH.	c.1929
HELMERSEN	c.1608
HEMACANDRA'S	c.1971
HERM. JACOBI.	c.768
