ls_value	times_cited
2ten VP.	1
4te RĀJA-TAR.	1
AMṚTAB. UP.	1
ANANTASAṂHITĀ	1
AVIC.	1
Abh. d. Königl. Ak. d. W. zu Berlin	1
Asiatischen Museum der Kais. Akad. d. Wiss. in St. Petersburg	1
BERGSTEDT	1
BIJĀBHIDHĀNA	1
BRAHMAYĀMALA	1
BUCHANANʼs Handschrr.	1
BUCHANANʼs Hdschrr.	1
Berichte der phil.-hist. Cl. d. k. s. G. d. Ww.	1
Bibl. indica	1
Bomb.	1
Bomb. Ausg.	1
Bomb. Ausgg.	1
Bombay 1783 (1861) lithographirten	1
Breslauer Programm	1
Buddh. Trigl.	1
Bull. de lʼAcad. Imp. des Sc.	1
Bull. de lʼAcad. Imp. des Sc. de S.-P.	1
Bull. de lʼAcad. Imp. des Sc. de St. P.	1
Bulletin de lʼAcad. Imp. des sc. de St.-Pét.	1
BĪJAGAṆITA	1
BĪJĀBHIDHĀNA	1
CAṆḌĪ	1
CHĀNDOGYABHĀṢYA	1
Calc.	1
Calc. Aus.	1
Calc. Ausgg.	1
Carl Graf v. GÖRTZ, Reise um die Welt	1
Chambers	1
Chrest.	1
Compendiums des Vaiśeṣika-Systems	1
DAMPATĪŚ.	1
DATTAKA-M.	1
DHANAÑJAYA	1
DHYĀNAB. UP.	1
DHŪRTASAMĀGAMA	1
DURGOTSAVAPRAYOGA	1
DVIVEDA	1
DVĀVIṂŚATYAVADĀNAKA	1
Die Wurzeln des Altsl.	1
Die Wurzeln des Altslovenischen	1
Ebend.	1
Eingang zum ṚV. PRĀT.	1
Einl. z. ṚV.	1
Einl. zu AIT. BR.	1
Einl. zu AV. PRĀT.	1
Einl. zu BHĀG. P.	1
Einl. zu BṚH. ĀR. UP.	1
Einl. zu CAURAP.	1
Einl. zu DAŚAK.	1
Einl. zu DAŚAR.	1
Einl. zu GĪT.	1
Einl. zu JAIM.	1
Einl. zu KAUṢ. UP.	1
Einl. zu KAṆ.	1
Einl. zu MAHĀBH.	1
Einl. zu MṚCCH.	1
Einl. zu NAIGH.	1
Einl. zu NIR.	1
Einl. zu NYĀYA-S.	1
Einl. zu P.	1
Einl. zu SV.	1
Einl. zu SĀṂKHYAPR.	1
Einl. zu SŪRYAS.	1
Einl. zu TAITT. ĀR.	1
Einl. zu UṆĀDIS.	1
Einl. zu VARĀH. BṚH. S.	1
Einl. zu VP.	1
Einl. zu VS.	1
Einl. zu VĀMANA	1
Einl. zu VĀSAV.	1
Einl. zu VĀSAVAD.	1
Einl. zu YĀJÑ.	1
Einl. zu ŚĀK.	1
Einl. zu ṚV.	1
Einl. zu ṚV. PRĀT.	1
Einl. zum AIT. BR.	1
Einl. zum DHĀTUP.	1
Einl. zum NIR.	1
Einl. zum SV.	1
Einl. zum ṚV.	1
Einl. zum ṚV. PRĀT.	1
Einl. zur 1sten Ausgabe des Wörterb.	1
Einl. zur 1ten Ausg. d. Wört.	1
Einl. zur 1ten Ausg. des Wörterbuchs	1
Erklärern zu AK.	1
Erll. zu NIR.	1
Erll. zum NIR.	1
Erll. zum NIRUKTA	1
F. NEVEʼs Essay sur le mythe des Ribhavas	1
GOL. CHEDYAK.	1
GUPTASĀDHANATANTRA	1
Göttinger gelehrten Anzeigen	1
HALĀYUDHA	1
HERM. JACOBI	1
Halleʼsche Allg. Lit. Zeit.	1
Hist. de HIOUEN-THSANG	1
Hist. of MED.	1
History of the Sect of Mahārājas u. s. w.	1
IBN HAUQAL	1
Index	1
Index des KANDJUR	1
Index zu HALĀY.	1
Index zum HALĀY.	1
Index zum TRIK.	1
JAYARĀMA	1
JUMARAVYĀKARAṆA	1
JYOTIṢ.	1
KALHAṆA	1
KAMRAN.	1
KANDJUR	1
KAPIŚĀV.	1
KATAKA	1
KAVACA	1
KAVIRAH.	1
KAVITĀMṚTAK.	1
KIRĀTĀRJUNĪYA	1
Karte von BERGHAUS	1
Kow. Mong. Wört.	1
KĀRTTIKA	1
KṚṢISAṂGR.	1
Le Lotus de la bonne loi	1
Lex. pentagl.	1
MAX MÜLLERʼs Grammatik	1
Monatsb. der K. Pr. Ak. d. Ww.	1
Monatsber.	1
Monatsber. d. Berl. Ak. d. Ww.	1
Monatsber. der Berliner Ak. d. Ww.	1
Monatsberichte der Königl. Preuss. Akad. d. Wissenschaften	1
Monatsberr. d. k. pr. Ak. d. Ww. in Berlin	1
Monatsberr. d. kön. pr. Ak. d. Wiss.	1
Mélanges asiatiques	1
Mém. VI sér.	1
Mém. de lʼAcad. Imp. dés sc. de St.-Pétersb. VI série.	1
Mémoire sur lʼInde	1
MĀLAVIKĀGNIMITRA	1
MĀRKAṆḌ. P.	1
Māgadhī übersetzt worden	1
MĪMĀṂSĀD.	1
Nachschr. zu M.	1
Nachtrags zum YONIGRANTHA	1
NĀG.	1
Oxford Essays	1
PARAMAHAṂSOP.	1
PATAÑJALI	1
PHETK.	1
PHETKĀRĪYATANTRA	1
PRĀTT.	1
PURUṢAKĀRA	1
PWG	1
PWG Nachträge	1
PWG Nachträgen	1
PWG Verbesserungen und Nachträge	1
Padapāṭha zum SV.	1
Pref. zu VARĀH. BṚH. S.	1
Progr. der Univ. Breslau	1
ROS.	1
SAṂGĪTARATNĀKARA	1
SAṂGĪTAŚĀSTRA	1
SETUS.	1
SHERRING, Sacred city	1
SUPRABHĀTASTOTRA	1
SĀRASVATĪ PRAKRIYĀ	1
SŪKTIKARṆĀMṚTA	1
TARKASAṂGR.	1
TEJOB. UP.	1
TH. GOLDSTÜCKER	1
TRÜBNERʼs Record	1
Text	1
Tübinger Universitätsbibl.	1
Uebersetzung dieses Stückes	1
VEṆĪSAṂH.	1
VIMALABODHA	1
Vierschach Monatsberr. d. K. Pr. Ak. d. Ww.	1
Vol. IV der Bibl. ind.	1
Vorr. zum DHĀTUP.	1
Vorrede	1
Vorrede zu AK.	1
Vorrede zu SĀṂKHYAPRAV.	1
Vorrede zum AIT. BR.	1
Vorrede zum VP.	1
Vorworte zu SĀṂKHYAPRAV.	1
VṚTTARATNĀVALĪ	1
W. D. WHITNEY	1
Wurzeln des Altslov.	1
YĀJÑA.	1
YĀJÑAVALKYAʼs Gesetzbuch	1
YĀJÑIKAD.	1
YĀJÑIKAD. PADDH.	1
Zeitschrift für vergl. Sprachf.	1
deutschen Ausg. des ṚV.	1
ebend.	1
ebendas.	1
handschriftlich auf der Tübinger Universitäts-Bibl.	1
handschriftlich in der Kais. Bibl. zu Paris	1
handschriftlich in der Pariser Bibl.	1
ibid.	1
id.	1
lithogr. Bombay	1
lithographirte Ausgabe in Bombay	1
praef. zu den Radd.	1
ĀDYAVAHNIPURĀṆA	1
ĀP. PRAY.	1
ŚABARASVĀMIN	1
ŚABDASTOMAMAHĀNIDHI	1
ŚATAKĀVAD.	1
ŚRĪŚIVAYĀMALA	1
ŚĀKTĀNANDATARAṄGIṆĪ	1
БУСЛАЕВА, Опытъ истор. гр. русскаго языка	1
МИНАЕВЪ, Пратимокша-сутра	1
ṢAḌVIṂŚABR.	1
