dict_a,dict_b,shared_headwords,split_in_either,agree_on_count,agreement_rate,deep_split_both_3plus,deep_agree,deep_agreement_rate
CAE,CCS,27014,1113,706,0.6343,72,66,0.9167
PW,PWG,99454,3214,1885,0.5865,319,260,0.815
MW,MW72,45856,2494,978,0.3921,172,133,0.7733
CAE,PW,34147,2335,871,0.373,94,48,0.5106
CAE,PWG,29052,2009,703,0.3499,88,48,0.5455
CCS,PWG,23856,1801,466,0.2587,75,37,0.4933
CCS,PW,27176,2146,555,0.2586,82,47,0.5732
MW,PW,129003,4046,1032,0.2551,220,140,0.6364
MW72,PWG,34999,2153,524,0.2434,120,70,0.5833
MW,PWG,94777,3336,788,0.2362,193,126,0.6528
CCS,STC,10356,723,157,0.2172,21,12,0.5714
CAE,MW72,16656,1470,315,0.2143,52,27,0.5192
CAE,MW,35059,2186,454,0.2077,75,50,0.6667
CAE,STC,12108,906,185,0.2042,23,12,0.5217
MW72,PW,35171,2490,499,0.2004,122,65,0.5328
CCS,MW72,13961,1251,240,0.1918,40,19,0.475
MW72,STC,16066,1173,220,0.1876,24,13,0.5417
CCS,MW,25887,1778,324,0.1822,55,36,0.6545
INM,PE,3231,1098,179,0.163,205,64,0.3122
MW,STC,21139,1525,241,0.158,36,17,0.4722
PWG,STC,15169,1355,164,0.121,38,13,0.3421
PW,STC,17635,1614,172,0.1066,39,15,0.3846
PE,PUI,2504,1415,141,0.0996,237,45,0.1899
INM,PUI,2477,1455,128,0.088,247,49,0.1984
LRV,PW,29701,4415,351,0.0795,49,27,0.551
LRV,PWG,28370,4044,306,0.0757,41,25,0.6098
INM,LRV,3077,1232,89,0.0722,50,20,0.4
LRV,PUI,3298,1574,111,0.0705,75,22,0.2933
LRV,PE,2159,876,61,0.0696,34,14,0.4118
CAE,LRV,15128,3082,189,0.0613,16,12,0.75
LRV,MW,36141,4287,256,0.0597,42,24,0.5714
LRV,MW72,17240,3307,186,0.0562,31,17,0.5484
CCS,LRV,12584,2700,136,0.0504,15,11,0.7333
LRV,STC,9814,2326,99,0.0426,8,6,0.75
PE,PW,4199,1012,43,0.0425,5,2,0.4
PUI,PW,5427,1885,69,0.0366,30,8,0.2667
INM,PW,5903,1323,46,0.0348,12,3,0.25
CAE,PUI,3302,1357,47,0.0346,9,3,0.3333
CAE,PE,2369,718,24,0.0334,3,2,0.6667
PE,PWG,4052,933,31,0.0332,6,1,0.1667
CAE,INM,3300,988,32,0.0324,4,2,0.5
PUI,PWG,5090,1774,56,0.0316,28,6,0.2143
INM,PWG,5562,1212,37,0.0305,14,4,0.2857
CCS,PE,2118,627,19,0.0303,3,2,0.6667
CCS,PUI,2923,1213,35,0.0289,8,2,0.25
MW,PUI,6280,2017,52,0.0258,22,7,0.3182
MW72,PUI,2955,1183,26,0.022,7,3,0.4286
MW,PE,4786,1042,22,0.0211,3,1,0.3333
CCS,INM,2780,863,18,0.0209,3,1,0.3333
INM,MW72,2698,727,13,0.0179,2,1,0.5
INM,MW,6795,1353,23,0.017,11,4,0.3636
PE,STC,1829,525,8,0.0152,1,0,0.0
INM,STC,2321,678,10,0.0147,5,2,0.4
PUI,STC,2535,1090,14,0.0128,5,2,0.4
MW72,PE,2115,590,6,0.0102,0,0,0.0
