dict_a,dict_b,shared_cited_lemmas,mean_source_jaccard,shared_exact_refs,b_truncates_a,a_truncates_b,comparable_sources
PW,PWKVN,12912,0.8737,14795,5,0,14640
PWKVN,SCH,11715,0.8349,10625,13,3,12029
AP,AP90,8036,0.7648,22168,155,11,20514
PW,SCH,13933,0.6249,9964,24,3,11355
MW,PW,44243,0.1875,2426,3,11411,13906
MW,PWKVN,7810,0.1775,142,0,1749,1913
MW,PWG,79989,0.1594,3136,20,41552,44366
AP90,LRV,3213,0.1486,14,1597,0,1609
BEN,PWG,11585,0.1486,558,0,11675,12051
AP,LRV,3588,0.1473,10,1545,0,1554
PW,PWG,24704,0.1419,3400,3220,1042,12421
MW,SCH,11584,0.1239,213,1,1766,2015
BEN,MW,11483,0.1012,4589,0,123,4690
LRV,PWG,6437,0.0434,39,0,3571,3580
AE,BOR,77,0.0426,0,7,0,7
GRA,MW,1327,0.0426,207,93,0,293
BOR,SCH,5,0.04,0,0,1,1
GRA,PWG,1269,0.0382,173,1,109,299
BEN,PW,6116,0.0349,106,0,869,965
PWG,PWKVN,3330,0.0308,142,14,29,496
GRA,PW,776,0.0287,29,2,5,44
AP,PWG,8237,0.028,62,3,216,1786
AP90,BOR,5,0.0243,0,2,0,2
BEN,LRV,4400,0.0233,439,0,0,439
LRV,MW,7087,0.0229,936,0,29,963
PWG,SCH,6592,0.0213,144,92,29,785
AP90,PWG,4169,0.0196,39,2,159,1649
AP,MW,12362,0.0168,159,948,5,1108
AP,BOR,6,0.0165,0,2,0,2
BEN,PWKVN,1241,0.0158,0,0,73,73
AP,BEN,3528,0.0156,71,193,0,256
AP90,MW,5674,0.0153,65,750,3,816
BHS,GRA,123,0.0134,4,0,0,4
LRV,PWKVN,963,0.0132,0,0,26,26
LRV,PW,4181,0.011,8,0,154,162
AP,GRA,543,0.0106,0,5,0,13
AP,PW,4699,0.0083,1,6,32,109
BEN,SCH,2403,0.0081,4,0,72,76
LRV,SCH,1785,0.0067,1,0,24,25
AP90,BEN,2637,0.0057,73,37,0,110
BOR,PWG,13,0.0047,0,0,4,4
AP,PWKVN,1182,0.0043,1,0,1,9
BHS,MW,5637,0.0038,96,0,60,156
AP90,PW,2759,0.0037,0,1,14,72
BHS,PWG,4385,0.0023,12,0,131,137
AP,SCH,2026,0.0019,0,2,1,15
AP90,SCH,1285,0.0016,0,3,1,13
BHS,PW,3388,0.0013,6,0,22,28
AP,BHS,912,0.0012,0,8,0,8
BEN,BHS,1413,0.0012,10,0,0,10
BHS,SCH,1941,0.0012,1,0,11,12
AP90,GRA,448,0.0011,0,1,0,1
GRA,PWKVN,255,0.0011,0,0,1,2
AP90,BHS,634,0.001,0,9,0,9
BHS,LRV,1031,0.001,1,0,0,1
AP90,PWKVN,794,0.0009,0,0,1,4
BHS,PWKVN,1410,0.0008,3,0,4,7
GRA,SCH,345,0.0004,1,0,0,1
AE,AP,5,0.0,0,0,0,0
AE,AP90,3,0.0,0,0,0,0
AE,BEN,4,0.0,0,0,0,0
AE,BHS,2,0.0,0,0,0,0
AE,GRA,3,0.0,0,0,0,0
AE,LRV,4,0.0,0,0,0,0
AE,MW,14,0.0,0,0,0,0
AE,PW,3,0.0,0,0,0,0
AE,PWG,13,0.0,0,0,0,0
AE,PWKVN,2,0.0,0,0,0,0
AE,SCH,2,0.0,0,0,0,0
BEN,BOR,5,0.0,0,0,0,0
BEN,GRA,686,0.0,0,0,0,0
BHS,BOR,2,0.0,0,0,0,0
BOR,GRA,6,0.0,0,0,0,0
BOR,LRV,4,0.0,0,0,0,0
BOR,MW,12,0.0,0,0,0,0
BOR,PW,6,0.0,0,0,0,0
BOR,PWKVN,4,0.0,0,0,0,0
GRA,LRV,522,0.0,0,0,0,0
