source,inheritor,source_lang,shared_glossed_lemmas,pearson_loglen,spearman_loglen
PWG,MW,de,68926,0.6567,0.5636
PW,MW,de,92347,0.6425,0.5488
AP,MW,en,38135,0.6308,0.5757
BEN,MW,de,15947,0.3699,0.2592
