vs,is_null,shared_headwords,entries_with_order_signal,mean_citation_order_agreement,pct_identical_order,mean_content_jaccard,apparatus_size_spearman
PWKVN,False,9758,5,0.8667,80.0,0.0991,0.2472
SCH,False,14523,5,0.8667,80.0,,0.2518
PWG,False,94777,3593,0.8107,47.8,0.1017,0.682
PW,False,129003,183,0.7303,46.4,0.1417,0.4861
BEN,True,15970,154,0.677,27.9,0.1791,0.5993
AP,True,38145,8,0.4167,12.5,0.0947,0.5236
