raw_k1,shared_with
dugDavawI,PW
dugDodaDi,PW
dunduBidarpahan,PW
dunduBigrIva,PW
dunduBivimocanIya,PW
durAkroSam,PW
durAvI,PW
durBikzaSamana,PW
durBikzavyasanin,PW
durBogA,PW
durGawaGAtana,PW
duraDIyAna,PW
duradaBna,PW
durantadeva,PW
durantakft,PW
durantaparyanta,PW
duratikramaRIya,PW
duravaDAraRa,PW
duravalepa,PW
durbalI,PW
durbalIBAva,PW
durbali,PW
durdAru,PW
durdagDa,PW
durdyUtadevin,PW
durdyUtavedin,PW
durgAmftarahasya,PW
durgAsAvitrI,PW
durgAstava,PW
durgAvallaBa,PW
durgaGna,PW
durganAga,PW
durganDakAra,PW
durgasaMcAra,PW
durgasaha,PW
durgatariRI,PW
durgavAsa,PW
durgilA,PW
durhfta,PW
durjanamuKamahAcapewikA,PW
durlipi,PW
durmohA,PW
durnizeDa,PW
duruktokta,PW
durupayukta,PW
durvAcika,PW
durvAgBAva,PW
durvAsaupAKyAna,PW
durvAseSvara,PW
durvAsodviSatI,PW
durvala,PW
durvfzala,PW
durvicintita,PW
durvirecya,PW
durvivecana,PW
duryavanam,PW
duryoDanAvaraja,PW
duzkarakArin,PW
duzkarakAritA,PW
duzkarakarman,PW
duzkarasADana,PW
duzpArzRigrAha,PW
duzpezaRa,PW
duzpraboDa,PW
duzprapadana,PW
duzprasU,PW
duzpratyaBijYa,PW
duzwadurjana,PW
duzwahfdaya,PW
dvAMdvika,PW
dvAdaSAhIya,PW
dvAdaSAratni,PW
dvAdaSAvarta,PW
dvAdaSaSatatama,PW
dvAdaSagava,PW
dvAdaSagfhIta,PW
dvAdaSakapAla,PW
dvAdaSamAtra,PW
dvAdaSaniDana,PW
dvAdaSapattra,PW
dvAdaSastotra,PW
dvAdaSodyAma,PW
dvAparacCandas,PW
dvAparastoma,PW
dvArabanDAvaraRa,PW
dvArasTita,PW
dvAratva,PW
dvAravaMSa,PW
dvArvatI,PW
dvAtriMSAra,PW
dvAtriMSadakzara,PW
dvAtriMSadara,PW
dvAtriMSadrAtra,PW
dvAtriMSati,PW
dvAtriMSatikA,PW
dvAtriMSatkA,PW
dvAtriMSatpattra,PW
dvAviMSatirAtra,PW
dvAviMSatyakzara,PW
dvEkulijika,PW
dvEpadaSas,PW
dvEpakzya,PW
dvIpAntaravacA,PW
dvIpaKarjurI,PW
dvIpakarpUraja,PW
dvIparAja,PW
dvaMdvArAma,PW
dvaMdvaBUta,PW
dvaMdvalakzaRavAda,PW
dveDI,PW
dvezwos,PW
dvezyatva,PW
dviBArya,PW
dviBAta,PW
dviBOma,PW
dviKura,PW
dviQa,PW
dviSAKa,PW
dviSAKaka,PW
dviSARya,PW
dviSUla,PW
dviSatottarasAhasra,PW
dviSukla,PW
dvibARI,PW
dvibindu,PW
dvicUqa,PW
dvicandra,PW
dvicatvAriMSika,PW
dvigava,PW
dviguRA,PW
dvihasta,PW
dvihavis,PW
dvijAmbA,PW
dvijadeva,PW
dvijaropaRI,PW
dvikARqa,PW
dvikUbara,PW
dvikapAla,PW
dvikaraRI,PW
dvikrama,PW
dvikulijIna,PW
dvikulija,PW
dvikulijika,PW
dvimArga,PW
dvimAtrA,PW
dvimanTa,PW
dvinArASaMsa,PW
dvinEzkika,PW
dvinayanI,PW
dvinetra,PW
dvipAyya,PW
dvipOruza,PW
dvipaSu,PW
dvipaYcadvayasANgula,PW
dvipadapati,PW
dvipatnIka,PW
dvipendradAna,PW
dviprEza,PW
dvipratizWa,PW
dvipravAcana,PW
dvirAmuzyAyaRa,PW
dviradAsya,PW
dviradarata,PW
dviranugAna,PW
dvirePagaRasaMkulA,PW
dvirozWya,PW
dvisOvarRika,PW
dvisUrya,PW
dvisaMDya,PW
dvisaMsTa,PW
dvisaMsTita,PW
dvisaMvatsarIRa,PW
dvisaptasaMKyAka,PW
dvistanI,PW
dvitIyakulaDAraka,PW
dvitIyatAla,PW
dvitIyatantra,PW
dvitrayastriMSat,PW
dvitri,PW
dvitricatuzpaYcaka,PW
dvitriveRu,PW
dvivastra,PW
dvivedin,PW
dvivfza,PW
dvivivAhin,PW
dviyama,PW
dvizpakva,PW
dvyADAna,PW
dvyASrayakoSavftti,PW
dvyAmuzyAyaRaka,PW
dvyagni,PW
dvyahan,PW
dvyazwasAhasra,PW
dvyudAsa,PW
dyAvAkzAmA,PW
dyUtaPalaka,PW
dyUtavartman,PW
dyujIvA,PW
dyukAma,PW
dyumETuna,PW
dyumnIka,PW
dyupiRqa,PW
dyurASi,PW
dyurAtra,PW
dyurAtravftta,PW
eRIdAha,PW
eRIpadI,PW
eRaSiras,PW
eRajaNGa,PW
ehidvitIyA,PW
ekADyAyin,PW
ekASin,PW
ekAdaSAkzara,PW
ekAdaSAratni,PW
ekAdaSaDA,PW
ekAdaSakapAla,PW
ekAdaSakftvas,PW
ekAdaSarAtra,PW
ekAdaSaviDa,PW
ekAgnika,PW
ekAhAtAna,PW
ekAnekasvarUpa,PW
ekAnnaBojin,PW
ekAnnanaktaBojana,PW
ekAnnapaYcASadrAtra,PW
ekAntagrAhin,PW
ekAntagrahaRa,PW
ekAnugAna,PW
ekArTatva,PW
ekAratni,PW
ekAsya,PW
ekAvarta,PW
ekaBUmika,PW
ekaBUya,PW
ekaBaktika,PW
ekaDABUya,PW
ekaDAtu,PW
ekaDizRya,PW
ekaSIla,PW
ekaSalAkA,PW
ekaSataDA,PW
ekaSataviDa,PW
ekacakzus,PW
ekacitIka,PW
ekaciti,PW
ekacitika,PW
ekadIkza,PW
ekadravya,PW
ekaftu,PW
ekafzi,PW
ekagrAmIya,PW
ekahArya,PW
ekahalya,PW
ekahasta,PW
ekahelA,PW
ekakaRWa,PW
ekakaRwaka,PW
ekakaSata,PW
ekakalpa,PW
ekakfzwa,PW
ekalakzyatA,PW
ekanayana,PW
ekanetraka,PW
ekapAdaka,PW
ekapadika,PW
ekapakzIBAva,PW
ekapatnIka,PW
ekapattra,PW
ekapattrikA,PW
ekapiNgalAcala,PW
ekaprARaBAva,PW
ekaprAdeSa,PW
ekapratihAra,PW
ekarAjYI,PW
ekarAtrIRa,PW
ekasAla,PW
ekasArTaprayAta,PW
ekasPyA,PW
ekasaMvatsara,PW
ekasaptatitama,PW
ekasatI,PW
ekatAlikA,PW
ekatantrI,PW
ekatantrikA,PW
ekatriMSaka,PW
ekatumba,PW
ekavAsa,PW
ekavIrya,PW
ekavaktraka,PW
ekavartman,PW
ekavfka,PW
ekaviBakti,PW
ekaviMSasaMpad,PW
ekaviMSativiDa,PW
ekaviMSinI,PW
ekavyAKyAna,PW
ekayUpa,PW
ekayama,PW
ekendriya,PW
ekezwakA,PW
ekezwaka,PW
ekonnata,PW
ekoti,PW
ekottarikAgama,PW
elAPala,PW
elAganDika,PW
elAna,PW
elvAlu,PW
elvAluka,PW
enomuc,PW
eqikAkzI,PW
eraRqapattraka,PW
ervAruka,PW
etaddA,PW
etaddevatya,PW
evaMdravya,PW
evaMguRajAtIya,PW
evaMjAtIya,PW
evaMkAla,PW
evaMkArya,PW
evaMnyaNga,PW
evaMsaMsTitika,PW
evaMsamfdDa,PW
evaMviSezaRa,PW
evaMvizaya,PW
evamAcAra,PW
evamAkfti,PW
evamaByanUkta,PW
evamarTIya,PW
ezaRAsamiti,PW
ezakA,PW
ezwavE,PW
ezyatkAlIya,PW
fRajya,PW
fRanirmokza,PW
fRasamudDAra,PW
fSyANka,PW
fSyaganDA,PW
fSyajihva,PW
fSyaloBa,PW
fcABa,PW
fgAtmaka,PW
fgaSIti,PW
fgbrAhmaRa,PW
fggaRa,PW
fgvedIya,PW
fgvedin,PW
fgvid,PW
fgvirAma,PW
fgyajuza,PW
fjU,PW
fjizWa,PW
fjubudDi,PW
fjudArumaya,PW
fjudfS,PW
fjuleKA,PW
fjupakza,PW
fjvAliKita,PW
fkRavaha,PW
fksTA,PW
fkzamantra,PW
ftAyus,PW
ftaBuj,PW
ftaMBaraprajYa,PW
ftapAtra,PW
ftasadanI,PW
ftasatya,PW
ftavIrya,PW
ftemUla,PW
fteyajYam,PW
ftuBAga,PW
ftuBAj,PW
ftuhoma,PW
ftumuKin,PW
ftupaSu,PW
ftuprEza,PW
ftusahasra,PW
ftuyAjyA,PW
ftuzWAyajYAyajYIya,PW
ftvikPala,PW
ftvikpaTa,PW
ftviktva,PW
fvarRa,PW
fzaBapUjA,PW
fzaBapaYcASikA,PW
fzimuKa,PW
fzisAhvaya,PW
fzisaMhitA,PW
fzisvADyAya,PW
gANgawaka,PW
gANgeruka,PW
gANgilA,PW
gAQanidra,PW
gARapatyapUrvatApanIyopanizad,PW
gARitika,PW
gARqavyAyanI,PW
gARqivaDara,PW
gAYjIkAya,PW
gAYjIvin,PW
gAbdika,PW
gAlakyaja,PW
gAnDarvaSAstra,PW
gAnDarvaka,PW
gAnmuta,PW
gArDrapattra,PW
gArDrarAjita,PW
gAraka,PW
gArgIbrAhmaRa,PW
gArgIputrAyaRi,PW
gArgIputri,PW
gArgyAyaRaka,PW
gArhapatyAyatana,PW
gArhapatyasTAna,PW
gArhapatyezwakA,PW
gArugi,PW
gAtraBaYjana,PW
gAtraSozaRa,PW
gAtrakampa,PW
gAtrasaMkocanI,PW
gAtravezwana,PW
gAvAmayanika,PW
gAyatrIkAram,PW
gAyatrabArhata,PW
gAyatrakAkuBa,PW
gErIyaka,PW
gErikAYjana,PW
gErikAcala,PW
gErikaDAtu,PW
gIrvARapadamaYjari,PW
gIrvARasenApati,PW
gIrvARavartman,PW
gItArTa,PW
gItapustakasaMgraha,PW
gItisUtra,PW
gORqakirI,PW
gOkakzyAyaRa,PW
gOpa,PW
gOqadeSIya,PW
gOqamAlava,PW
gOqasAraNgI,PW
gOrAwikA,PW
gOrIgAyatrI,PW
gOrIgAyatrikA,PW
gOrIpAzARa,PW
gOrIviti,PW
gOraSAli,PW
gOragrIvi,PW
gOraka,PW
gOrakfzRa,PW
gOralalAma,PW
gOratva,PW
gOravajAta,PW
gOravallI,PW
gOriman,PW
gOrivIta,PW
gOryaSman,PW
gOtamASrama,PW
gOtamapfcCA,PW
gOtamasaras,PW
gUQASaya,PW
gUQArTaratnamAlA,PW
gUQacaturTapAdaprahelikA,PW
gUQamAya,PW
gUQamallikA,PW
gUQapad,PW
gUQavasati,PW
gUka,PW
gaBvara,PW
gaNgADAra,PW
gaNgADaracUrRa,PW
gaNgASoRa,PW
gaNgAmaha,PW
gaNgApattrI,PW
gaNgAsUnu,PW
gaRADipatya,PW
gaRAvarA,PW
gaRaDAtupariBAzA,PW
gaRakAma,PW
gaRapatipUrvatApinI,PW
gaRarUpaka,PW
gaReSagItA,PW
gaReSatApinI,PW
gaReSopapurARa,PW
gaReruka,PW
gaReyu,PW
gaRima,PW
gaRitapASa,PW
gaRqUpadodBava,PW
gaRqagopAlikA,PW
gaRqakarawa,PW
gaRqamAlaka,PW
gaRqilaka,PW
gaRqopaDAnIya,PW
gaRqut,PW
gaYjAjikA,PW
gabdikA,PW
gadAhvaya,PW
gadgadaBAzaRa,PW
gadgadaBAzin,PW
gadgadaSabda,PW
gadgadagala,PW
gadgadavAkya,PW
gadyAlaka,PW
gadyapadyamaya,PW
gagala,PW
gaganADivAsin,PW
gaganAnanda,PW
gaganAyas,PW
gaganAyasa,PW
gaganaBramaRa,PW
gaganacArin,PW
gaganaga,PW
gaganaromanTAyita,PW
gaganasinDu,PW
gajAsuhfd,PW
gajaJampa,PW
gajadEtyaBid,PW
gajalIla,PW
gajamocana,PW
gajanakra,PW
gajanimIlita,PW
gajarAjamuktA,PW
gajavAja,PW
gajavikASI,PW
galAnika,PW
galaSAlUka,PW
galagolI,PW
galagoqI,PW
galagoqikA,PW
galamocikA,PW
galitapradIpikA,PW
gallamasUrI,PW
gallavAdya,PW
gallopaDAnIya,PW
gamAgamakArin,PW
gamBIragati,PW
gamanAbADa,PW
gamanikA,PW
ganDAmBas,PW
ganDaDUmaBava,PW
ganDaSEla,PW
ganDabahala,PW
ganDagrAhaka,PW
ganDagrAhin,PW
ganDaja,PW
ganDamAdanavarza,PW
ganDamaYjarI,PW
ganDamaya,PW
ganDamfgARqajA,PW
ganDamoca,PW
ganDamokza,PW
ganDanAqI,PW
ganDapattra,PW
ganDapattrikA,PW
ganDaratA,PW
ganDarvApsaras,PW
ganDarvahastaka,PW
ganDarvapada,PW
ganDarvezWA,PW
ganDasevaka,PW
ganDatoya,PW
ganDavahaSmaSAna,PW
ganDavajrA,PW
ganDavajrI,PW
ganDavawikA,PW
ganDecCA,PW
ganDotkawa,PW
ganDozRIza,PW
ganDya,PW
ganmut,PW
gantavE,PW
gaqAKya,PW
garAzikA,PW
garBAdi,PW
garBAgArajvara,PW
garBAri,PW
garBAvatAraRa,PW
garBaDfta,PW
garBaSAtana,PW
garBacCidra,PW
garBadvAdaSa,PW
garBagrahArtava,PW
garBakArin,PW
garBamAs,PW
garBanABinAqI,PW
garBaniDAna,PW
garBanizkfti,PW
garBavartman,PW
garBavedana,PW
garBiRItva,PW
garBitatA,PW
garBitatva,PW
garIyastara,PW
garadruma,PW
garagIrRa,PW
garalavrata,PW
gardaBIvidyA,PW
gardaBaraTa,PW
gardaBavallI,PW
gardaBejyA,PW
gardaBila,PW
gardaBilla,PW
gargakula,PW
gargamaya,PW
gargarUpya,PW
gargatara,PW
gargatryaha,PW
garhyARaka,PW
garikA,PW
garjitAsaha,PW
garjitarava,PW
gartAkukkuwa,PW
gartakI,PW
gartapatya,PW
gartodaka,PW
garuqeSa,PW
garuqodBava,PW
garuqodgIrRa,PW
garvizWa,PW
gatADvA,PW
gataSrIka,PW
gataroga,PW
gatvAya,PW
gatvI,PW
gatyAgati,PW
gavAYc,PW
gavAkzin,PW
gavAyus,PW
gavIqA,PW
gayasPAyana,PW
gehAnuprapAdam,PW
gehAnuprapAtam,PW
gehAnupraveSam,PW
gehiRI,PW
gfDradfzwi,PW
gfDrapattra,PW
gfDraputrikA,PW
gfYjina,PW
gfhAjira,PW
gfhAlI,PW
gfhAlikI,PW
gfhApaRa,PW
gfhAramBa,PW
gfhAya,PW
gfhItasAra,PW
gfhaBadraka,PW
gfhagopikA,PW
gfhakarmakara,PW
gfhakzata,PW
gfhakzetrin,PW
gfhameDivrata,PW
gfhamocikA,PW
gfhanadikA,PW
gfhapozaRa,PW
gfhaprakaraRa,PW
gfhasaMroDa,PW
gfhasaMsTa,PW
gfhasvAminI,PW
gfhavAsin,PW
gfhavarman,PW
gfheSUra,PW
gfhyAkarman,PW
gfhyakarman,PW
gfhyasaMgraha,PW
gfhyavivaraRa,PW
gftsatamas,PW
giriSAyikA,PW
giriSiKara,PW
giricakravartin,PW
girijADava,PW
girijApriya,PW
girijvarasamudBava,PW
girikadambaka,PW
girimAlaka,PW
girimAtra,PW
giripara,PW
girisutAkAnta,PW
glOcukAyana,PW
glucukAyani,PW
goAyus,PW
goDAsAman,PW
goDUlikA,PW
goDUmaja,PW
goDUmasaMcayamaya,PW
goKalu,PW
goRASman,PW
goSakawa,PW
goSatin,PW
goaSvIya,PW
goballava,PW
gocAraRa,PW
gocarAntaragata,PW
gocaragata,PW
gocaraprakaraRa,PW
gocaratva,PW
gociti,PW
godama,PW
godantamaRi,PW
godattra,PW
gogaRa,PW
gogati,PW
goharaRa,PW
gohilla,PW
gohiraRya,PW
gojikAya,PW
gojika,PW
gokarRaSiTila,PW
gokarReSaliNga,PW
gokarman,PW
gokuYjara,PW
gokuleSa,PW
gokzveqa,PW
golAsana,PW
golAvalI,PW
golIgulaparivartana,PW
golagola,PW
golapuYja,PW
golava,PW
goloman,PW
gomUtrajAti,PW
gomUtrin,PW
gomayacCattra,PW
gomayamaya,PW
gombu,PW
gomfgendra,PW
gomuKyA,PW
gonASana,PW
gonAda,PW
gonAga,PW
gonAmika,PW
gopAdri,PW
gopAlakelicandrikA,PW
gopAlasahasranAmaBUzaRA,PW
gopAlatApinI,PW
gopInATasaptaSatI,PW
gopaGaRqA,PW
gopaGaRwa,PW
gopakanyakA,PW
gopreraka,PW
gopucCAkfti,PW
gorakzakalpa,PW
gosAdi,PW
gostanIsava,PW
gotarpaRa,PW
gotrABiDAyam,PW
gotraBAj,PW
gotradevatA,PW
gotramaya,PW
gotrasTiti,PW
gotravrata,PW
gotulya,PW
gotvac,PW
govAlin,PW
govatsAri,PW
goveza,PW
govindArcanasuDA,PW
govindinI,PW
gozUkta,PW
gozWISAlA,PW
gozWISrAdDa,PW
gozWIbanDa,PW
gozWacara,PW
gozWagocara,PW
gozWakarman,PW
gozWakukkuwa,PW
gozadaka,PW
gozatama,PW
gozpadatrirAtravrata,PW
grAhakakfkara,PW
grAhakavihaMga,PW
grAhyagir,PW
grAmADyayana,PW
grAmAkzapawalika,PW
grAmAraRya,PW
grAmIna,PW
grAmaKaRqa,PW
grAmacara,PW
grAmacawaka,PW
grAmagfhyaka,PW
grAmajA,PW
grAmajAlin,PW
grAmakanda,PW
grAmakola,PW
grAmapizwa,PW
grAmapuruza,PW
grAmasImA,PW
grAmasUkara,PW
grAmavfdDa,PW
grAmegeya,PW
grAmiputra,PW
grAmyagaja,PW
grAmyakAma,PW
grAmyakoSAtakI,PW
grAmyakola,PW
grAmyakroqa,PW
grAmyasUkara,PW
grAmyatva,PW
grAsAmbu,PW
grAsI,PW
grAsikA,PW
grAvastotriyA,PW
grIvacCinna,PW
grIvadaGna,PW
graTanIya,PW
graTila,PW
graTitavya,PW
graTya,PW
grahADipati,PW
grahADizWApana,PW
grahAgama,PW
grahAgresara,PW
grahApahA,PW
grahAvarta,PW
grahaDAra,PW
grahaRIgada,PW
grahaRIkapAwa,PW
grahaRIrogin,PW
grahaRagata,PW
grahacaritavid,PW
grahakzetrin,PW
grahamuz,PW
grahasvara,PW
grahavarman,PW
grahezwaka,PW
granTaparRI,PW
granTibanDam,PW
granTiparRamaya,PW
granTivIsarpa,PW
granTivIsarpin,PW
grastatva,PW
guRADAna,PW
guRADizWAna,PW
guRAQyaka,PW
guRAnvaya,PW
guRAvaha,PW
guRIkaraRa,PW
guRWanA,PW
guRaBAj,PW
guRaBinna,PW
guRaSataSAlin,PW
guRaSila,PW
guRabadDa,PW
guRadozIkaraRa,PW
guRahAni,PW
guRakAraka,PW
guRakftya,PW
guRakirI,PW
guRakrI,PW
guRardDa,PW
guRasaMskAra,PW
guRavedin,PW
guRottara,PW
guRqra,PW
guYjaka,PW
guYjin,PW
gucCabuDnA,PW
gucCala,PW
gucCapattra,PW
gucCavaDrA,PW
gucCin,PW
gudaniHsaraRa,PW
gudanirgama,PW
gudavadanA,PW
gudavadana,PW
gudayoni,PW
guggulAkza,PW
gugguludru,PW
guhAgarI,PW
guhAkAram,PW
guhAvAsitIrTa,PW
guhahata,PW
guhaka,PW
guhavAhana,PW
guhavaktra,PW
guhyabIja,PW
guhyapattra,PW
guhyapattraka,PW
gulPadvayasa,PW
gulPinI,PW
gulUguDA,PW
gulmakAlAnanarasa,PW
gulucCakanda,PW
gulugulita,PW
gundraPalA,PW
guptAryaka,PW
guptaSIla,PW
guptagfha,PW
guptamaRi,PW
guptamati,PW
guptarajasvalA,PW
guptasveda,PW
guptibanDam,PW
guptyaDikfta,PW
guqAzwaka,PW
guqUcikA,PW
guqabIja,PW
guqakzIramaya,PW
guqakzoda,PW
guqaparpawaka,PW
guqodana,PW
gurU,PW
gurewaka,PW
gurgaRa,PW
guruBArika,PW
gurudarSana,PW
gurudevasvAmin,PW
gurudevata,PW
gurudivasa,PW
gurugavI,PW
gurukaRWa,PW
gurukratu,PW
gurukzepa,PW
gurumeru,PW
gurupattra,PW
gurupattraka,PW
guruprasAdanIya,PW
guruprasUta,PW
gurusaKI,PW
gurusaMniDi,PW
gurusamavAya,PW
gurustrIgamanIya,PW
gurutalpABigamana,PW
gurutalparata,PW
guruvaMSa,PW
gurvAvali,PW
hAMsa,PW
hAhava,PW
hAikAra,PW
hAlasaptaSataka,PW
hAmPa,PW
hAmbIrI,PW
hAqikA,PW
hArItaDarmaSAstra,PW
hAramuktA,PW
hAriRASvA,PW
hAriRaka,PW
hAridrameha,PW
hAridramehin,PW
hAryojana,PW
hAsaBUta,PW
hAukAra,PW
hAvanIya,PW
hAwakIya,PW
hEmaSEla,PW
hEmacarci,PW
hEmahA,PW
hEmaviBramasUtra,PW
hILa,PW
hIlaka,PW
hInADikANga,PW
hInADika,PW
hInAtiriktANga,PW
hInadInAnukampaka,PW
hInavarga,PW
hIrakArya,PW
hOmIya,PW
hOzya,PW
hUmPa,PW
haMsagamanA,PW
haMsalIla,PW
haMsapowwalI,PW
haMsapraboDA,PW
haMsaroman,PW
haRqa,PW
haWAtkAra,PW
haWin,PW
hacipura,PW
hahAhA,PW
hakkApraDAnA,PW
halABiyoga,PW
halakin,PW
halarada,PW
halavaMSa,PW
halha,PW
hallIsaka,PW
hambIrA,PW
hananIyaka,PW
hantavE,PW
hantave,PW
hanti,PW
hanusaMhanana,PW
hanusaMhati,PW
hanuzkamBa,PW
harASaya,PW
harAkza,PW
harArDa,PW
haraSUra,PW
haraSfNgArA,PW
haradattIya,PW
harahAra,PW
harameKalin,PW
haramukuwamAhAtmya,PW
hareSvara,PW
hariDUmra,PW
hariRADipa,PW
hariRAkrIqita,PW
hariRalAYCana,PW
hariRalakzman,PW
hariRanayanA,PW
hariRapfRAkA,PW
hariReSa,PW
hariSarmArya,PW
haribala,PW
hariboDa,PW
hariddantAvala,PW
hariharaBAzya,PW
hariharapadDati,PW
harihayAnuja,PW
hariloman,PW
harimIqe,PW
harimaDyA,PW
harinAmAmfta,PW
harinArAyaRIya,PW
haripaRqitIya,PW
haripraBa,PW
haripura,PW
harisidDi,PW
haristava,PW
haritASmaka,PW
haritagarBa,PW
haritapattramaya,PW
haritatva,PW
harivAhanadiS,PW
harivaMSacatuzka,PW
harivaMSakfzRalIlA,PW
harivaMSapurARa,PW
harivarmadeva,PW
harmyAgra,PW
harmyasTala,PW
harodBeda,PW
hartAlikAvratanirRaya,PW
hartavE,PW
hartave,PW
haryAnanda,PW
haryAta,PW
haryamara,PW
harzaBAj,PW
harzaRatA,PW
harzadAna,PW
harzakft,PW
hastAhastikA,PW
hastAlambana,PW
hastAliNganaka,PW
hastAmalakaBAzya,PW
hastAmalakawIkA,PW
hastArUQa,PW
hastAvApin,PW
hastakavapra,PW
hastaleKa,PW
hastasUtraka,PW
hastasvastika,PW
hastatalagata,PW
hastavezya,PW
hastiSikzaka,PW
hastidantavastramaya,PW
hastijAgarika,PW
hastikaraYjaka,PW
hastimeha,PW
hastimehin,PW
hastimfqitA,PW
hastinizadana,PW
hastiraTa,PW
hastivaktra,PW
hastyaSvArohabanDaka,PW
hataDI,PW
hatacetas,PW
hatamAnasa,PW
hatamati,PW
hatatviwka,PW
hatvAya,PW
haviHsaMsTA,PW
havirAtaYcana,PW
havirBUta,PW
havirnirvapaRa,PW
haviryajYakARqa,PW
haviryajYasaMsTA,PW
haviryajYaviDa,PW
havizwva,PW
havyakavyASa,PW
havyakavyavaha,PW
hawaka,PW
hayAnanA,PW
hayAsyaka,PW
hayagrIvaripu,PW
hayakanTarikA,PW
hayalAlA,PW
hayavAhanaSaMkara,PW
heLa,PW
heLana,PW
hemAdriprAyaScitta,PW
hemAlaMkArin,PW
hemAmbu,PW
hemaBadrika,PW
hemaDarman,PW
hemaSfNgin,PW
hemacUlin,PW
hemakalaSa,PW
hemakirIwamAlin,PW
hemakuRqya,PW
hemalambaka,PW
hemamAkzika,PW
hemamAlikA,PW
hemantapratyavarohaRa,PW
hemavat,PW
hemaviBramasUtra,PW
hemavizARin,PW
hfdGawana,PW
hfdayAmbuja,PW
hfdayaSETilya,PW
hfdayacora,PW
hfdayadeSa,PW
hfdayadrava,PW
hfdayagrAhaka,PW
hfdayagraha,PW
hfdayajvara,PW
hfdayakzoBa,PW
hfdayalehya,PW
hfdayapuruza,PW
hfdayarajju,PW
hfdayasTAyin,PW
hfdayasaMsarga,PW
hfdayaviroDa,PW
hfdayavyaTA,PW
hfdayonmAdinI,PW
hfdayopakartin,PW
hfdayopalepa,PW
hfdayopasaraRa,PW
hfddyotaBezaja,PW
hfdgama,PW
hfdvaktrAvartin,PW
hfdvartin,PW
hfdvidAha,PW
hfdvraRa,PW
hfdvyaTA,PW
hfllAsikA,PW
hfllakAlola,PW
hftkamala,PW
hftsPowa,PW
hftsPowam,PW
hfzwatuzwa,PW
hfzyakA,PW
hiMsitavya,PW
hiMsitos,PW
hiNguSivAwikA,PW
hiNguluka,PW
hiNgupattrI,PW
hiNgurAta,PW
hika,PW
hikkita,PW
hikvA,PW
himANka,PW
himApaha,PW
himAri,PW
himAvila,PW
himaBAnu,PW
himaJawi,PW
himaKaRqa,PW
himaSiKarin,PW
himaSraTana,PW
himaSuBra,PW
himagfha,PW
himagfhaka,PW
himagirisutA,PW
himagirisutAkAnta,PW
himaraSmija,PW
himasaMKAta,PW
himasrut,PW
himavAluka,PW
himavanmeKalA,PW
himayukta,PW
himeru,PW
himodaki,PW
himottarIya,PW
hinviDenAman,PW
hiraRyAkzahara,PW
hiraRyAkzaripu,PW
hiraRyaSakla,PW
hiraRyadakziRa,PW
hiraRyagadA,PW
hiraRyagarBavatI,PW
hiraRyakaSipucCedin,PW
hiraRyakaSipudAraRa,PW
hiraRyakfzRala,PW
hiraRyakubja,PW
hiraRyamAlin,PW
hiraRyanikAzam,PW
hiraRyaretasa,PW
hiraRyasTAla,PW
hiraRyasaMkASa,PW
hiraRyatuza,PW
hiraRyavfzaBa,PW
hiraRyayazwi,PW
hiraRyayoni,PW
hiraRyazWIvin,PW
hiramya,PW
hitASva,PW
hitAhitIya,PW
hizkA,PW
hlAdukAvatI,PW
hmAla,PW
hoiqa,PW
homArjunI,PW
homadarpaRaviDi,PW
homadarvI,PW
homadravya,PW
hosiNgakfzRa,PW
hotADvaryU,PW
hotAyakza,PW
hotaryaja,PW
hotfcamasIya,PW
hotfzAman,PW
hotos,PW
hotrAcamasa,PW
howA,PW
hrAdunihata,PW
hrasvEraRqa,PW
hrasvakarzaRa,PW
hrasvamUlaka,PW
hrasvataRqula,PW
huRqaneSa,PW
huYjikA,PW
hugalI,PW
hugga,PW
hugulI,PW
huguli,PW
hulAgrakA,PW
hulla,PW
huqaromASrayaPalA,PW
hutASavftti,PW
hutAhuta,PW
hutaBakza,PW
hutaSizwASana,PW
hyaHkfta,PW
iBakesara,PW
iDmasaMnahana,PW
iNgitADyAsita,PW
iNk,PW
iNkfta,PW
iRqalI,PW
iRqarI,PW
iYjanA,PW
icCAmaraRa,PW
idDatejas,PW
ihakAra,PW
ikzuBaYjam,PW
ikzuSalAkA,PW
ikzuparRI,PW
ikzupattra,PW
illisa,PW
ilvalAri,PW
ilya,PW
indrANka,PW
indrARISAka,PW
indrARIkarman,PW
indrARIsAman,PW
indrAditya,PW
indrAhva,PW
indrAyatana,PW
indrAyuDamaya,PW
indraBAjana,PW
indraPala,PW
indrabIja,PW
indrajAlapuruza,PW
indraja,PW
indramArgA,PW
indramantrin,PW
indrapuzpa,PW
indrarAjan,PW
indrasAhva,PW
indrasTAna,PW
indrasuparRa,PW
indravErin,PW
indreRata,PW
indriyEzyA,PW
indriyaGAta,PW
indriyakfta,PW
indriyamocana,PW
indriyaprasaNga,PW
indriyasaMyama,PW
indriyatva,PW
indriyavizaya,PW
induPala,PW
induSakalA,PW
indudina,PW
indukesarin,PW
indunandana,PW
indusUnu,PW
indusuta,PW
induvadana,PW
inodaya,PW
invagA,PW
iqAcamasa,PW
iqAjAta,PW
iqAnta,PW
iqApAtrI,PW
iqApAtra,PW
iqAprASitra,PW
iqAprajas,PW
iraMmad,PW
irgalIya,PW
irgalya,PW
itaHpradAna,PW
itaretarapratyaya,PW
itihari,PW
itikAra,PW
itikaraRa,PW
itinAman,PW
