raw_k1,shared_with
AvIracUrRa,PW
AvIsUtra,PW
AvadAnika,PW
AvalIkanda,PW
AvalikA,PW
Avandana,PW
AvirmUla,PW
Avyaktika,PW
AwImeda,PW
AwwasTalIka,PW
AyaHsTURa,PW
Ayasamaya,PW
AyattamUla,PW
Ayattatva,PW
Ayavan,PW
Ayavas,PW
AyuDasAhvaya,PW
AyuDasahAya,PW
AyuHzwoma,PW
Ayuktin,PW
AyupatnI,PW
Ayurhft,PW
AyurmahodaDi,PW
AyuzkAraRa,PW
Ayuzmatpuruzaka,PW
AzAQAdripura,PW
BAHsatya,PW
BAMkfta,PW
BARqAragfha,PW
BARqaraYjakamfttikA,PW
BAdrabAhavI,PW
BAgApavAhana,PW
BAgIraTInATa,PW
BAgIraTIvallaBa,PW
BAgIraTatIrTa,PW
BAgavatatAtparyanirRaya,PW
BAgurAyaRa,PW
BAgyapaYca,PW
BAgyarkza,PW
BAgyasaMkzaya,PW
BAgyasamfdDi,PW
BAgyaviparyaya,PW
BAgyaviplava,PW
BAjA,PW
BAlacandrAcArya,PW
BAlaviBUzaRa,PW
BAnuSaktirAja,PW
BAnudattaka,PW
BAnutA,PW
BArIwa,PW
BAraSfNga,PW
BAradaRqa,PW
BAraga,PW
BArama,PW
BAratItIrTIya,PW
BArataSravaRaviDi,PW
BAratamaYjarI,PW
BAratanirvacana,PW
BAratapadaprakASa,PW
BAratasUci,PW
BAratasUtra,PW
BAratatAtparyasaMgraha,PW
BAratavyAKyA,PW
BAravAhaka,PW
BArgavaBUmi,PW
BArgavaka,PW
BArgavarAGavIya,PW
BAryApati,PW
BAryAsOSruta,PW
BAsvaravarRa,PW
BAsvatIvivaraRa,PW
BAsyasUtra,PW
BAvAdiprABfta,PW
BAvArTacaraRa,PW
BAvaSabda,PW
BAvacezwita,PW
BAvaneri,PW
BAvaprakASaka,PW
BAvasAra,PW
BAvataraMgiRI,PW
BAvatriBaNgI,PW
BAwwaSabdaparicCeda,PW
BAwwadinakarIya,PW
BAwwasArakArikA,PW
BAzAcitraka,PW
BAzAvfttyarTavftti,PW
BAzyakEyawIya,PW
BAzyapradIpavivaraRa,PW
BERqaka,PW
BEqaka,PW
BEravIyapaYcasaMDi,PW
BEravadIpana,PW
BEzajyaguruvEqUryapraBA,PW
BEzajyayajYa,PW
BImaBavA,PW
BImagu,PW
BImajA,PW
BImajananI,PW
BImeSvaratIrTa,PW
BIruBIru,PW
BItagAyana,PW
BIzmamuktipradAyaka,PW
BIzugati,PW
BOliNgika,PW
BOlikiviDa,PW
BOrikika,PW
BOrikiviDa,PW
BUBU,PW
BUCAya,PW
BUDarADISa,PW
BUDarAtmaka,PW
BUDarayantra,PW
BUdivasa,PW
BUganDapati,PW
BUgolavfttAnta,PW
BUkASyapa,PW
BUmISayya,PW
BUmIkurabaka,PW
BUmakatftIyA,PW
BUmavidyA,PW
BUmiBUta,PW
BUmicCattra,PW
BUmijambU,PW
BUmijambukA,PW
BUmijozaRa,PW
BUmikapAla,PW
BUminanda,PW
BUmiparidfMhaRa,PW
BUmiprApta,PW
BUmiraTika,PW
BUmisAmrAjya,PW
BUmitanaya,PW
BUmivalli,PW
BUnAyaka,PW
BUpAlaloka,PW
BUpAlastotra,PW
BUpAta,PW
BUpativeSman,PW
BUpiWarI,PW
BUrBUra,PW
BUrBUva,PW
BUramaRa,PW
BUriPalI,PW
BUriSrezWaka,PW
BUrikftrimamARikyamaya,PW
BUriniDana,PW
BUriputra,PW
BUrirAma,PW
BUrivetasa,PW
BUtABizaNga,PW
BUtArabDa,PW
BUtaBAzAmaya,PW
BUtabAlagrahonmAda,PW
BUtacEtanika,PW
BUtacEtanya,PW
BUtadAhIya,PW
BUtadattA,PW
BUtagaRADipa,PW
BUtagfhya,PW
BUtahAsa,PW
BUtalasTAna,PW
BUtasamAgama,PW
BUtigOrI,PW
BUtivarDana,PW
BUtopasarga,PW
BUvah,PW
BUyaHstana,PW
BUyokzara,PW
BUyomAtra,PW
BUyonAgamana,PW
BUzApewI,PW
BUzaRapewikA,PW
BUzaRasAra,PW
BaBrama,PW
BaNgIka,PW
BaNgivikAra,PW
BaNguraka,PW
BaRati,PW
BaYjam,PW
BadantaGozaka,PW
Badantagopadatta,PW
BadrOdanI,PW
BadraBawa,PW
Badrahrada,PW
BadrajAtika,PW
BadrakAlIpurARa,PW
BadralatA,PW
BadrarAja,PW
Badrasvapna,PW
BadrayAnIya,PW
BagANkita,PW
BagAnAmnI,PW
BagAsya,PW
BagIraTakanyA,PW
BagaDeya,PW
BagadAraRa,PW
BagadEvatamAsa,PW
Bagama,PW
BagavadBAskara,PW
BagavadBaktitaraMgiRI,PW
BagavatIsUtra,PW
BaginIsuta,PW
BagnaSakti,PW
BagnasaMDi,PW
BagnotsAhakriyAtman,PW
BajanavArika,PW
Bakkuqa,PW
Bakkura,PW
BaktAkANkzA,PW
BaktAruci,PW
BaktamImAMsA,PW
Baktamayastotra,PW
BaktapAtra,PW
Baktatva,PW
BaktavilAsa,PW
BaktipravaRa,PW
BakzabIja,PW
Bakzajapa,PW
Bakzamantra,PW
BakzapattrI,PW
BakzyabIja,PW
BakzyakAraka,PW
BalUwa,PW
BallAwanagara,PW
Ballu,PW
BalvAwa,PW
BanDuka,PW
BapraSasta,PW
BarBarA,PW
BarUja,PW
BaraRisena,PW
BaradvAjaDanvantari,PW
BaradvAjaSikzA,PW
BaradvAjagArgapariRayapratizeDavAdArTa,PW
BarahapAla,PW
BaraheSvaravftti,PW
BaratafzaBa,PW
BaratapAla,PW
Bartfjaya,PW
BartfprAptivrata,PW
BartfvallaBatA,PW
Bartfvyatikrama,PW
BartrISvara,PW
BasamUha,PW
BasmaSudDikara,PW
BasmabARa,PW
BasmagAtra,PW
Basmakft,PW
BasmalalAwikA,PW
BasmapraharaRa,PW
BasmarASi,PW
BasmasUtakaraRa,PW
BasmodDUlitavigraha,PW
BavANgaRa,PW
BavASarvIya,PW
BavAbDinAvinavika,PW
BavAmbuDi,PW
BavAmburASi,PW
BavAnIkAnta,PW
BavAnIsaKa,PW
BavAnIsahasranAmastotra,PW
BavAnItAta,PW
BavAnandIya,PW
BavAsara,PW
BavaBAva,PW
BavaBoga,PW
BavaSeKara,PW
BavabanDeSa,PW
Bavadantya,PW
BavakAntAra,PW
Bavamanyu,PW
Bavamocana,PW
BavanasTAna,PW
BavaneSa,PW
BavanibanDavinASin,PW
BavanigaqanibanDacCedana,PW
Bavarasa,PW
BavasAyujya,PW
BavasaMSoDana,PW
BavasaMtati,PW
BavasaNgin,PW
BavasinDu,PW
BavavAriniDi,PW
BavavrataDara,PW
Bavizyadanadyatana,PW
BavizyapurARIya,PW
BavottAraka,PW
BavyAkfti,PW
BavyarUpa,PW
BawadIpikA,PW
BawaprakASa,PW
BawaprakASikA,PW
BawwArakAyatana,PW
BawwArakamaWa,PW
BawwaBAskarIya,PW
BawwaPalguna,PW
BawwojiBawwa,PW
BayAnanA,PW
BayAtIsAra,PW
BayaDana,PW
BayacOrya,PW
BayadAna,PW
BeRqItaka,PW
BedABedavAdin,PW
BerIBAMkArIya,PW
BetAla,PW
BettavE,PW
BfNgAru,PW
BfNgarIwa,PW
BfNgarIwi,PW
BfNgirIwi,PW
BfSapattrikA,PW
BfguBavA,PW
Bfgudevata,PW
BfguharItakI,PW
BfgukacCatIrTa,PW
Bfgupatana,PW
BfgurAja,PW
BfkuMsaka,PW
BfkuwiDara,PW
BiRqaka,PW
BikzAcaryacaraRa,PW
BikzukIparAka,PW
BikzukasatI,PW
Billin,PW
Bindura,PW
BinnAYjanavarRa,PW
BinnaSakft,PW
BinnadalA,PW
Binnahfti,PW
BinnajAtIya,PW
BinnajAti,PW
Binnakalpa,PW
BinnakarIndrakumBamuktAmaya,PW
BinnaliNgaka,PW
BinnamaryAdin,PW
Binnatantra,PW
Bitra,PW
BizAyakapura,PW
BizagvatI,PW
Bizaja,PW
BizmizwA,PW
BogIndranandana,PW
BogIndratanaya,PW
BoganiDi,PW
Boginandana,PW
BogyArha,PW
BojanIyamfta,PW
Bojanagfha,PW
Bojanaka,PW
BojaniDi,PW
Bojanottara,PW
BojarAjaprabanDa,PW
Bojasmfti,PW
BoktfSakti,PW
Bokzyaka,PW
BrAjaBfzwi,PW
BrAntidarSana,PW
BrAtfBARqa,PW
BrAtfvyajanman,PW
BrAtfvyaloka,PW
BrAtfvyaparARutti,PW
BrAtfvyasahana,PW
BrAtfvyayajYa,PW
BrUkzepaRa,PW
BrUsaMgataka,PW
BrUviBeda,PW
BrUvikzepam,PW
Braja,PW
BramakuwI,PW
BrukuwIkft,PW
BugnadfS,PW
Bugnanetra,PW
BujAGAta,PW
BujANka,PW
BujAlatA,PW
BujaMgaBogin,PW
BujaMgamamaya,PW
BujaMgaprayAtAzwaka,PW
BujadaRqaka,PW
BujagalatA,PW
BuktaBogya,PW
BuktaviBukta,PW
BusuKa,PW
Busuka,PW
Busura,PW
Buvanacarita,PW
Buvanadviz,PW
Bva,PW
CAgIkzIranASa,PW
CAgaSatru,PW
CAgaka,PW
CAgakarRa,PW
CAgalAnta,PW
CAgamitrika,PW
CAganASana,PW
CAndasatA,PW
CAttranilaya,PW
CAyAgrAha,PW
CAyAnawwa,PW
CAyApiNga,PW
CAyAtoqI,PW
CAyAvyavahAra,PW
CUrikApattrI,PW
Cadmagati,PW
CadmasTita,PW
CadmavallaBa,PW
Cadmavezin,PW
CalAkzarasUtra,PW
CaladyUta,PW
CalitasvAmin,PW
CambawkAra,PW
CampaRa,PW
CandAnuvartin,PW
CandAnuvftta,PW
CandaHkalpa,PW
CandaHpuruza,PW
CandaScit,PW
CandacArin,PW
Candamftyu,PW
CandasikA,PW
Candaska,PW
Candastva,PW
CandoBAzya,PW
CandobadDa,PW
CandogaSAKA,PW
CandogaSrAdDatattvapramARa,PW
CandogaSruti,PW
Candogavfzotsargatattva,PW
CandomadaSarAtra,PW
CandomapavamAnatrirAtra,PW
Candomatrikakud,PW
CandomavatparAka,PW
CandonAma,PW
CandorUpa,PW
CandovatI,PW
CardanIya,PW
Cardayitavya,PW
CardyAyanI,PW
CardyAyanikA,PW
CattraDAnya,PW
CattragrAhiRI,PW
CattraparRa,PW
Cekala,PW
CidrAMSa,PW
CidrapippalI,PW
Cidrodara,PW
Cidrodarin,PW
Ciduretara,PW
CinnAntra,PW
Cinnahasta,PW
CinnavezikA,PW
Cismaka,PW
Cowi,PW
DARikI,PW
DAmArga,PW
DAnaSrI,PW
DAnasI,PW
DAnin,PW
DAnyABra,PW
DAnyABraka,PW
DAnyabIja,PW
DAnyacArin,PW
DAnyagava,PW
DAnyamAna,PW
DAnyamiSrA,PW
DAnyapAtra,PW
DAnyapata,PW
DAnyatA,PW
DAnyeya,PW
DAqunftya,PW
DArADarAgama,PW
DArADarAtyaya,PW
DArADarodyAna,PW
DArAGoza,PW
DArAgraha,PW
DArAmBas,PW
DArAnuyAja,PW
DArApayas,PW
DArAvAsa,PW
DArAvarta,PW
DArAyAja,PW
DArmikatva,PW
DArmuka,PW
DArormi,PW
DArtarAjYaka,PW
DArzwadyumni,PW
DArzwaka,PW
DAtakIzaRqa,PW
DAtakitIrTa,PW
DAtfkA,PW
DAtrIDara,PW
DAtrImodaka,PW
DAtucUrRa,PW
DAtugarBakumBa,PW
DAtula,PW
DAtupArAyaRIya,PW
DAtupArAyaRavftti,PW
DAtupradIpikA,PW
DAturatnamaYjari,PW
DAtustUpa,PW
DAtutaraMgiRI,PW
DAtuviza,PW
DAtvavaropaRa,PW
DAyin,PW
DEryaDara,PW
DEryapAramitA,PW
DIraSAnta,PW
DItarasa,PW
DIviBrama,PW
DOtAYjalI,PW
DOtakoSaja,PW
DOtakuzWa,PW
DOteya,PW
DOzya,PW
DUlIjaNGa,PW
DUlIvarza,PW
DUmAvatImantra,PW
DUmAvatImanu,PW
DUmalava,PW
DUmanirgamana,PW
DUmapallava,PW
DUmraSUla,PW
DUmralalAma,PW
DUmravarRAmanu,PW
DUmravfttaPalA,PW
DUpANgada,PW
DUpakawacCuka,PW
DUpatfRa,PW
DUpavfkzaka,PW
DUpayitavya,PW
DUrgfhIta,PW
DUrtamaRqala,PW
DUrtatva,PW
DUruzad,PW
DUtapApaka,PW
DUtapApatIrTa,PW
DUtapApeSvaratIrTa,PW
DUtkAra,PW
DagadDagiti,PW
Damitra,PW
DanAnvita,PW
DanApti,PW
DanArGa,PW
DanaDarman,PW
DanadAvAsa,PW
DanadatIrTa,PW
DanadeSvaratIrTa,PW
Danagiri,PW
Danapara,PW
DanarUpa,PW
DanasADana,PW
DanasTAnADikArin,PW
DanasaMcayana,PW
DanasaMcayin,PW
DaneS,PW
DanikatA,PW
DanuHsaMsTa,PW
DanuSreRI,PW
DanurASi,PW
Danuryantra,PW
DanuryogyA,PW
DanuzKAtA,PW
DanuzKaRqa,PW
Danvaga,PW
DanvayAsaka,PW
DanvayavAsaka,PW
DanyatiTi,PW
Daqieva,PW
DarADava,PW
DarAbanDa,PW
DaraRIbanDa,PW
DaraRiBuj,PW
DaraRigrAma,PW
DaraRitalatEtila,PW
DaritrIputra,PW
DaritrIsutrAman,PW
DarmABimuKa,PW
DarmAdeSaka,PW
DarmAhfta,PW
DarmAnala,PW
DarmAnusmfti,PW
DarmArTayukta,PW
DarmAyana,PW
DarmaBIru,PW
DarmaDenu,PW
DarmaDurya,PW
DarmaGoza,PW
DarmaMdada,PW
DarmacCala,PW
Darmacara,PW
Darmacintin,PW
DarmadarSin,PW
DarmadogDrI,PW
DarmadvAra,PW
DarmahIna,PW
DarmakARqa,PW
DarmakAla,PW
DarmakfcCra,PW
DarmameGaDyAna,PW
Darmamfj,PW
DarmanASA,PW
Darmanitya,PW
DarmapUta,PW
DarmapaYcaviMSatikA,PW
DarmaparIkzA,PW
DarmapuraskAra,PW
DarmarAjadIkzita,PW
DarmaraTABirUQa,PW
DarmarasAyana,PW
DarmasAMkaTya,PW
DarmasAvarRika,PW
DarmasTURArAja,PW
DarmasaMkaTA,PW
Darmasatyavrata,PW
DarmasmAraka,PW
DarmavARijaka,PW
Darmavasuprada,PW
DarmaviDarman,PW
DarmavicAraSAstra,PW
DarmavivekavAkya,PW
Darmavyatikrama,PW
Darmayoni,PW
DarmeSvaraliNga,PW
DarmeSvaratIrTa,PW
DarmitAvacCeda,PW
DarmitAvacCedakapratyAsatti,PW
DarmitAvacCedakatAvAdArTa,PW
DarmitAvacCedakatAvAda,PW
DarmitAvacCedakavAda,PW
DarmottarIya,PW
DavaletarataRqula,PW
DayantikA,PW
DenuBavyA,PW
Denugoduha,PW
DenukaDvaMsin,PW
Denutva,PW
DftArcis,PW
DftagarBA,PW
Dftahavya,PW
DftakleSa,PW
DftarAzwrAnuja,PW
Dftiyoga,PW
Dikka,PW
DizRyADipati,PW
DizRyahoma,PW
DizRyapa,PW
Doritaka,PW
DrOpada,PW
DrupadAKyanftya,PW
DruvAkzara,PW
DruvAqaka,PW
DruvadevI,PW
DruvagItanftya,PW
DruvamaRqala,PW
Druvanftya,PW
DruvarAhu,PW
DruvarAja,PW
DruvasTAlI,PW
Druvatva,PW
DukkA,PW
DuryavAha,PW
Duryetara,PW
DvANkzanASanI,PW
DvANkzatIrTa,PW
DvajAkAra,PW
Dvajahfta,PW
DvajanavamI,PW
DvajapatAkin,PW
DvajasamucCraya,PW
DvajinIpAla,PW
DvajinIpati,PW
Dvajonnati,PW
DvanyAlocana,PW
DyAnASrayawIkA,PW
DyAnAlaMkAra,PW
DyAnaDIra,PW
DyAnacakzus,PW
DyAnadIpikA,PW
DyAnadfzwi,PW
DyAnapuzwa,PW
DyAnayogin,PW
DyAtamAtropagAmin,PW
ERikIya,PW
EkAhya,PW
EkaSabdya,PW
EkakAlya,PW
Ekakarmya,PW
EkarAtrika,PW
Elamfqa,PW
EndrAgnakulAya,PW
EndrAjAgata,PW
EndrAyaRaka,PW
EnduSeKara,PW
Endumateya,PW
Envaka,PW
EtikAyanIya,PW
GAnya,PW
GAtakfcCra,PW
GOzasTalaka,PW
GaRwAbIja,PW
GaRwAkarReSvara,PW
GaRwAmuKa,PW
GaRwikoRa,PW
GaRwinIbIja,PW
GanArava,PW
GanAsaha,PW
GanaBitti,PW
GanaSfNgI,PW
Ganapattra,PW
GanapriyA,PW
GanasAraBAva,PW
GanasikTa,PW
Ganatvac,PW
GanavAri,PW
GaneSvarI,PW
Ganetara,PW
Ganottara,PW
GarGaraDvani,PW
GarGarya,PW
GarawwikA,PW
GarmaSiras,PW
Garmabindu,PW
Garmada,PW
Garmaga,PW
Garmarocana,PW
GarmasUkta,PW
GarmatanU,PW
Garmatanu,PW
Garmatva,PW
GarmetarAMSu,PW
GawABiDA,PW
GawAhvayA,PW
GawAlAbu,PW
GawImAla,PW
GawIyantraka,PW
GawaGAtinI,PW
Gawajanman,PW
GawakarkawatAla,PW
Gawakarparakulakavftti,PW
GawapucCa,PW
GawikAlavaRa,PW
GawikAmaRqala,PW
Gawitatva,PW
GawwakuwIpraBAtAyita,PW
GfRAcakzus,PW
GftAbDi,PW
GftAcala,PW
GftAhvaya,PW
GftAnvakta,PW
Gftahetu,PW
Gftahoma,PW
Gftamaya,PW
GftaniDAyam,PW
GftapAka,PW
GftapAtrastanavatI,PW
GftapUrRa,PW
Gftapakva,PW
GftaparRa,PW
Gftasto,PW
Gftastoka,PW
GftastomIya,PW
Gftastuti,PW
Gftavatsa,PW
Gfzwinetra,PW
GoRAntaBedana,PW
GoRaka,PW
GoRwAPala,PW
GoRwI,PW
GolikA,PW
GorAtiGora,PW
Gowagala,PW
GozAdI,PW
GozasTalI,PW
GozavfdDa,PW
GrARabila,PW
GrARapuwaka,PW
GuGukft,PW
GuGulArava,PW
GuRajarjara,PW
Guka,PW
GumaGumAkAra,PW
GumaGumArava,PW
GurGuratA,PW
GurGuruka,PW
GuraGurAGoza,PW
GuraGurArAva,PW
GurikA,PW
GuruGurAGoza,PW
Guwwi,PW
ISAnabali,PW
ISAnakalpa,PW
ISasaMsTa,PW
ISvarasena,PW
Ijitum,PW
IpsuyajYa,PW
IrayaDyE,PW
IryatA,PW
IrzyABirati,PW
IrzyArati,PW
IrzyAzaRQa,PW
Irzyita,PW
IzadDAsya,PW
IzadasamApta,PW
IzadasamApti,PW
IzadupadAna,PW
IzadvIrya,PW
Izanmarza,PW
IzanmarzaRa,PW
JArJarika,PW
JAvU,PW
JAvuka,PW
JAwali,PW
JaRqI,PW
JaRqU,PW
JaRqUka,PW
JaRquka,PW
JaRwI,PW
JampAnftya,PW
JampAtAla,PW
Jampaqa,PW
JaraRodaka,PW
JarasI,PW
JaravAhalA,PW
JazaSrezWa,PW
Jazapitta,PW
JazarAja,PW
JiRwikA,PW
JiYJirIwA,PW
JiYJiriwA,PW
Jombaka,PW
JumbarI,PW
KARqaka,PW
KARqaparaSava,PW
KARqavarAga,PW
KARqikeya,PW
KARqikyajanaka,PW
KASika,PW
KAdas,PW
KAdatavamatA,PW
KAdoarRa,PW
KAgikA,PW
KAnina,PW
KAnizwa,PW
KAnula,PW
KAqaRqaka,PW
KAqika,PW
KArKowa,PW
KArasahasrika,PW
KAriMDaya,PW
KArjUlAyana,PW
KArjUrakarRa,PW
KAsyalipi,PW
KAtamUla,PW
KAwvareya,PW
KAwvika,PW
KaKolkAditya,PW
KaNgAha,PW
KaRa,PW
KaRqAmra,PW
KaRqIka,PW
KaRqaKAqaka,PW
KaRqakanda,PW
KaRqaleKaka,PW
KaRqapAka,PW
KaRqapattra,PW
KaRqaprastAra,PW
KaRqasAra,PW
KaRqikopADyAya,PW
KaRqodBUta,PW
KaRqodBava,PW
KaRqozWa,PW
KaSabdANkuraja,PW
KaSera,PW
KaYjatva,PW
KadirAzwaka,PW
KadiraBU,PW
Kadiraja,PW
KadirapattrikA,PW
Kadirarasa,PW
KadiravAri,PW
KadiravarRapakza,PW
KadiravarRaparRa,PW
Kadirodaka,PW
