typo_form,nearest_real,n_real_neighbours,df_typo,n_dicts,dicts,n_dicts_with_both
aM,a,27,2,2,PD SKD,2
aMSay,aMSa,1,2,2,PW PWG,2
aMSI,aMSa,4,2,2,PW SKD,2
aMsay,aMsa,1,2,2,PW PWG,2
aMsia,aMsa,2,2,2,GRA PW,2
akaM,aka,1,2,2,AP90 SKD,2
akalkala,akalkana,1,2,2,MW PWG,2
akAca,akAla,6,2,2,BHS PD,2
akARqA,akARqa,1,2,2,LRV PD,2
akAraRe,akAraRa,1,2,2,AP MW,2
akAlatas,akAmatas,1,2,2,MW PD,2
akiMcanam,akiMcana,1,2,2,AP PD,2
akupyat,akupya,1,2,2,MW PD,2
akUpArA,akUpAra,1,2,2,MW PD,2
akftArGa,akftArTa,1,2,2,PD PW,2
akfzwapacyA,akfzwapacya,1,2,2,AP PD,2
akri,atri,11,2,2,PD PWG,2
akzatatftIyA,akzayatftIyA,1,2,2,IEG PD,2
akzatam,akzata,1,2,2,AP PD,2
akzapAd,akzapAda,1,2,2,PD PWG,2
akzamatva,akzayatva,1,2,2,SHS WIL,2
akzamAla,akzamAlA,1,2,2,PD PWG,2
akzayyam,akzayya,1,2,2,MW PD,2
akzayyA,akzayya,1,2,2,LRV PD,2
akzaraRa,akaraRa,2,2,2,PD SCH,2
akziRvat,akzaRvat,1,2,2,MW PD,2
akzimat,akzipat,1,2,2,MW PD,2
akzoByA,akzoBya,1,2,2,MW PD,2
akzola,akzowa,3,2,2,PD SCH,2
aKaRqam,aKaRqa,1,2,2,AP PD,2
aKaRqA,aKaRqa,1,2,2,LRV PD,2
agaH,aga,1,2,2,AP SKD,2
agarha,anarha,1,2,2,PD SCH,2
agastia,agastya,2,2,2,GRA PW,2
agAtf,adAtf,2,2,2,MW PD,2
agABa,agADa,3,2,2,PD SCH,2
agohia,agohya,1,2,2,GRA PW,2
agnijit,agnicit,1,2,2,AP PD,2
agniDamanI,agnidamanI,1,2,2,PD PW,2
agniDra,agnIDra,1,2,2,PD PUI,2
agniyUpa,agnirUpa,1,2,2,PD PW,2
agnivarRA,agnivarRa,1,2,2,AP PD,2
agnizRut,agnizwut,1,2,2,PD PUI,2
agnihotram,agnihotra,1,2,2,AP PUI,2
agnIDrI,agnIDra,1,2,2,PD PWG,2
agnIzomya,agnIzoma,2,2,2,GST PD,2
agnyAhiti,agnyAhita,1,2,2,GST PD,2
agrajAta,agrajAti,1,2,2,PD VCP,2
agrahaRIya,grahaRIya,1,2,2,SHS WIL,2
agrAhyA,agrAhya,1,2,2,AP PD,2
aGaRwa,GaRwa,1,2,2,INM MW,2
aGanizWa,akanizWa,1,2,2,BHS PD,2
aGay,aGa,1,2,2,PW PWG,2
aGnia,aGnya,1,2,2,GRA PW,2
aN,a,27,2,2,MD PD,2
aNkasTa,aNkasa,1,2,2,CAE PD,2
aNkAra,aNgAra,6,2,2,MW MW72,2
aNkUrita,aNkurita,1,2,2,AP PD,2
aNkri,aNGri,2,2,2,MW PD,2
aNgaH,aNga,1,2,2,AP SKD,2
aNgaBAga,aNgarAga,1,2,2,PD PW,2
