dict_a,dict_b,shared_anomalies,shared_doublets,shared_exclusive_df2,per_1k_smaller,size_a,size_b,year_a,year_b,both_in_L0
MW,PW,12113,11506,1872,80.034,194084,151349,1899,1879,True
PW,PWG,9451,8685,792,89.091,151349,106083,1879,1855,True
MW,PWG,8195,7714,106,77.251,194084,106083,1899,1855,True
MW,MW72,5335,4992,723,104.283,194084,51159,1899,1872,True
MW72,PWG,2977,2647,86,58.191,51159,106083,1872,1855,True
MW72,PW,2787,2485,7,54.477,51159,151349,1872,1879,True
AP,MW,3466,2302,526,39.09,88667,194084,1957,1899,True
LRV,MW,1595,1412,159,33.051,48259,194084,1889,1899,True
MW,VCP,1618,1365,60,33.268,194084,48636,1899,1873,True
CAE,PW,1674,1304,26,43.499,38484,151349,1891,1879,True
SHS,WIL,2169,1270,78,49.364,46730,43939,1900,1832,True
MW,STC,1809,1242,198,75.419,194084,23986,1899,1932,True
CAE,MW,1440,1133,54,37.418,38484,194084,1891,1899,True
AP,AP90,6998,1119,1642,204.16,88667,34277,1957,1890,True
PWG,VCP,1145,966,27,23.542,106083,48636,1855,1873,True
PW,VCP,1165,966,18,23.953,151349,48636,1879,1873,True
WIL,YAT,1822,865,136,41.467,43939,44720,1832,1846,True
CCS,PW,1186,858,26,41.251,28751,151349,1887,1879,True
SHS,YAT,1624,799,55,36.315,46730,44720,1900,1846,True
CAE,PWG,1028,796,2,26.712,38484,106083,1891,1855,True
AP,LRV,1148,730,133,23.788,88667,48259,1957,1889,True
CAE,CCS,957,670,23,33.286,38484,28751,1891,1887,True
VCP,WIL,1108,660,11,25.217,48636,43939,1873,1832,True
PW,STC,961,655,22,40.065,151349,23986,1879,1932,True
AP,MW72,975,650,7,19.058,88667,51159,1957,1872,True
PW,SCH,2000,590,19,70.286,151349,28455,1879,1928,True
MW72,STC,865,588,5,36.063,51159,23986,1872,1932,True
AP90,MW,900,574,0,26.257,34277,194084,1890,1899,True
MD,MW,849,522,58,42.233,20103,194084,1893,1899,True
MW,PD,690,516,105,6.574,194084,104959,1899,1976,False
CCS,MW,724,514,7,25.182,28751,194084,1887,1899,True
GRA,PW,733,493,309,65.988,11108,151349,1873,1879,True
CCS,PWG,693,485,1,24.104,28751,106083,1887,1855,True
MW72,VCP,610,483,10,12.542,51159,48636,1872,1873,True
MW,SHS,578,480,3,12.369,194084,46730,1899,1900,True
SKD,VCP,1087,476,85,26.631,40817,48636,1886,1873,True
MW72,SHS,584,471,11,12.497,51159,46730,1872,1900,True
AP90,MW72,702,471,1,20.48,34277,51159,1890,1872,True
MD,PW,750,459,25,37.308,20103,151349,1893,1879,True
LRV,PW,547,442,5,11.335,48259,151349,1889,1879,True
AP,PW,774,441,11,8.729,88667,151349,1957,1879,True
MW72,WIL,537,437,2,12.221,51159,43939,1872,1832,True
SHS,VCP,861,437,30,18.425,46730,48636,1900,1873,True
PD,PW,725,412,111,6.907,104959,151349,1976,1879,False
MW,YAT,501,412,9,11.203,194084,44720,1899,1846,True
MW,WIL,484,398,1,11.015,194084,43939,1899,1832,True
MW,SCH,1262,379,60,44.351,194084,28455,1899,1928,True
LRV,PWG,468,368,5,9.698,48259,106083,1889,1855,True
SKD,WIL,691,360,5,16.929,40817,43939,1886,1832,True
PWG,STC,510,350,1,21.262,106083,23986,1855,1932,True
PW,PWKVN,1848,340,88,123.241,151349,14995,1879,n/a,False
AP,PWG,511,314,8,5.763,88667,106083,1957,1855,True
MW72,YAT,391,307,10,8.743,51159,44720,1872,1846,True
MW,PUI,560,301,78,47.741,194084,11730,1899,1951,True
AP,STC,619,291,7,25.807,88667,23986,1957,1932,True
PWKVN,SCH,1716,288,1,114.438,14995,28455,n/a,1928,False
LRV,VCP,418,280,64,8.662,48259,48636,1889,1873,True
GRA,MW,511,276,54,46.003,11108,194084,1873,1899,True
MW,SKD,1476,276,279,36.161,194084,40817,1899,1886,True
