from,to,unit,layer,count
<,o,punctuation,git,7
6,0,digit,git,7
L,R,consonant,git,7
E,A,vowel,git,7
n,o,consonant,git,7
>,r,punctuation,git,7
h,s,consonant,git,7
g,S,consonant,git,7
g,k,consonant,git,7
/,p,punctuation,git,7
g,v,consonant,git,7
g,i,consonant,git,7
/,I,punctuation,git,7
n,f,consonant,git,7
<,L,punctuation,git,7
y,d,consonant,git,7
x,y,consonant,git,7
°,p,punctuation,git,7
 ,d,whitespace,git,7
¦,),punctuation,git,7
6,9,digit,git,7
),4,punctuation,git,7
a,व,vowel,git,7
a,न,vowel,git,7
̄,प,diacritic,git,7
A,H,vowel,git,7
i,̄,diacritic,form,6
p,̣,diacritic,form,6
̇,v,diacritic,form,6
g,t,consonant,form,6
l,d,consonant,form,6
s,f,consonant,form,6
e,v,vowel,form,6
"""",b,punctuation,form,6
d,l,consonant,form,6
W,̣,diacritic,form,6
2,1,digit,form,6
m,a,consonant,form,6
h,l,consonant,form,6
a,g,vowel,form,6
C,h,consonant,form,6
K,h,consonant,form,6
v,a,consonant,form,6
g,k,consonant,form,6
Q,q,case,form,6
q,Q,case,form,6
 ,-,whitespace,form,6
t,v,consonant,form,6
̣,b,diacritic,form,6
k,g,consonant,form,6
c,̄,diacritic,form,6
h,C,consonant,form,6
̣,o,diacritic,form,6
.,s,punctuation,form,6
 ,.,whitespace,form,6
p, ,consonant,form,6
e,n,vowel,form,6
2,p,digit,form,6
̇,p,diacritic,form,6
3,e,digit,form,6
7,g,digit,form,6
7,a,digit,form,6
0,r,digit,form,6
n,p,consonant,form,6
8,g,digit,form,6
.,p,punctuation,form,6
s,h,consonant,form,6
&,7,punctuation,form,6
‹,B,punctuation,form,6
c,2,consonant,form,6
‹,),punctuation,form,6
r,K,consonant,form,6
",",t,punctuation,form,6
a,1,vowel,form,6
 ,l,whitespace,form,6
̣,P,diacritic,form,6
¯,C,punctuation,form,6
C,2,consonant,form,6
̇,›,diacritic,form,6
.,i,punctuation,form,6
t,g,consonant,form,6
.,o,punctuation,form,6
3,5,digit,form,6
4,0,digit,form,6
—,-,punctuation,git,6
m,i,consonant,git,6
a,v,vowel,git,6
u,r,vowel,git,6
A,M,vowel,git,6
y,m,consonant,git,6
/,o,punctuation,git,6
T,W,consonant,git,6
d,a,consonant,git,6
n,e,consonant,git,6
c,h,consonant,git,6
r,",",consonant,git,6
r,e,consonant,git,6
k,l,consonant,git,6
a,E,vowel,git,6
r,i,consonant,git,6
p,P,case,git,6
 ,p,whitespace,git,6
c,t,consonant,git,6
 ,e,whitespace,git,6
q,w,consonant,git,6
i,p,vowel,git,6
 ,r,whitespace,git,6
},f,punctuation,git,6
A,o,vowel,git,6
?,m,punctuation,git,6
?,n,punctuation,git,6
?,A,punctuation,git,6
H,A,consonant,git,6
 ,4,whitespace,git,6
r,o,consonant,git,6
?,˘,punctuation,git,6
},¯,punctuation,git,6
},˘,punctuation,git,6
g,d,consonant,git,6
b,/,consonant,git,6
N,"""",consonant,git,6
D,/,consonant,git,6
m,k,consonant,git,6
},<,punctuation,git,6
5,s,digit,git,6
i,3,vowel,git,6
^,~,punctuation,git,6
l,1,consonant,git,6
t,̣,diacritic,git,6
L,l,case,git,6
+,†,punctuation,git,6
",",/,punctuation,git,6
",",3,punctuation,git,6
A,e,vowel,git,6
r,>,consonant,git,6
a,4,vowel,git,6
a,2,vowel,git,6
h,<,consonant,git,6
/,<,punctuation,git,6
l,o,consonant,git,6
2,9,digit,git,6
<,/,punctuation,git,6
v,c,consonant,git,6
̣,ł,diacritic,git,6
l,w,consonant,git,6
/,8,punctuation,git,6
<,e,punctuation,git,6
a,0,vowel,git,6
>,π,punctuation,git,6
>,ο,punctuation,git,6
<,a,punctuation,git,6
<,r,punctuation,git,6
>,t,punctuation,git,6
v,d,consonant,git,6
k, ,consonant,git,6
̓,̔,diacritic,git,6
̇,́,diacritic,git,6
f,n,consonant,git,6
t,w,consonant,git,6
ψ,υ,latin,git,6
t,y,consonant,git,6
U,L,vowel,git,6
R,A,consonant,git,6
8,0,digit,git,6
o,n,vowel,git,6
r,u,consonant,git,6
t,p,consonant,git,6
त,क,latin,git,6
र,ल,latin,git,6
/,k,punctuation,git,6
.,2,punctuation,git,6
h,>,consonant,git,6
g,z,consonant,git,6
n,:,consonant,git,6
f,u,consonant,git,6
a,y,vowel,git,6
0,s,digit,git,6
l,"""",consonant,git,6
1,a,digit,git,6
v,a,consonant,git,6
f,.,consonant,git,6
y, ,consonant,git,6
B,2,consonant,git,6
v,i,consonant,git,6
q,N,consonant,git,6
"""",2,punctuation,git,6
H,R,consonant,git,6
R,V,consonant,git,6
j,c,consonant,git,6
l,ल,consonant,git,6
h,ह,consonant,git,6
o,ो,vowel,git,6
o,भ,vowel,git,6
j,ो,consonant,git,6
a,ज,vowel,git,6
i,त,vowel,git,6
a,च,vowel,git,6
a,त,vowel,git,6
s,ि,consonant,git,6
a,ु,vowel,git,6
h,c,consonant,git,6
s,k,consonant,form,5
r,p,consonant,form,5
i,g,vowel,form,5
b,h,consonant,form,5
o,d,vowel,form,5
1,3,digit,form,5
-, ,punctuation,form,5
o,c,vowel,form,5
y,e,consonant,form,5
́,t,diacritic,form,5
d,c,consonant,form,5
s,p,consonant,form,5
k,s,consonant,form,5
o, ,vowel,form,5
k,d,consonant,form,5
f,t,consonant,form,5
g,o,consonant,form,5
p,o,consonant,form,5
x,̣,diacritic,form,5
l,̄,diacritic,form,5
j,Y,consonant,form,5
c,́,diacritic,form,5
̄,m,diacritic,form,5
t,o,consonant,form,5
̄,̈,diacritic,form,5
u,d,vowel,form,5
X,x,case,form,5
y,u,consonant,form,5
n,c,consonant,form,5
f,x,consonant,form,5
C,̣,diacritic,form,5
l,k,consonant,form,5
",", ,punctuation,form,5
p,h,consonant,form,5
v, ,consonant,form,5
i,h,vowel,form,5
p,e,consonant,form,5
o,h,vowel,form,5
1,e,digit,form,5
c,u,consonant,form,5
a,2,vowel,form,5
4,1,digit,form,5
B,a,consonant,form,5
7, ,digit,form,5
5,a,digit,form,5
…,e,punctuation,form,5
6,p,digit,form,5
9,n,digit,form,5
B,p,consonant,form,5
̄,g,diacritic,form,5
1,p,digit,form,5
2,g,digit,form,5
|,e,punctuation,form,5
|,n,punctuation,form,5
.,g,punctuation,form,5
i,p,vowel,form,5
3,2,digit,form,5
j,O,consonant,form,5
.,2,punctuation,form,5
̣,̃,diacritic,form,5
C,̄,diacritic,form,5
 ,P,whitespace,form,5
L,̣,diacritic,form,5
 ,",",whitespace,form,5
.,-,punctuation,form,5
V,C,consonant,form,5
a,k,vowel,form,5
…, ,punctuation,form,5
Z,́,diacritic,form,5
h,o,consonant,form,5
l,h,consonant,form,5
́,a,diacritic,form,5
k,l,consonant,form,5
4,',digit,form,5
I,̄,diacritic,form,5
́,̀,diacritic,form,5
n,",",consonant,git,5
b, ,consonant,git,5
M,N,consonant,git,5
>,g,punctuation,git,5
u,l,vowel,git,5
x,c,consonant,git,5
y,g,consonant,git,5
h,t,consonant,git,5
9,6,digit,git,5
K,C,consonant,git,5
r,d,consonant,git,5
h,i,consonant,git,5
c,z,consonant,git,5
d,e,consonant,git,5
x,f,consonant,git,5
c,v,consonant,git,5
 ,b,whitespace,git,5
",",-,punctuation,git,5
i,h,vowel,git,5
i,y,vowel,git,5
c,́,diacritic,git,5
r,c,consonant,git,5
e,y,vowel,git,5
},-,punctuation,git,5
},t,punctuation,git,5
},e,punctuation,git,5
p,b,consonant,git,5
v,t,consonant,git,5
w,s,consonant,git,5
 ,c,whitespace,git,5
d,c,consonant,git,5
j,y,consonant,git,5
L,a,consonant,git,5
k,r,consonant,git,5
g,e,consonant,git,5
n,1,consonant,git,5
7,s,digit,git,5
B, ,consonant,git,5
8,s,digit,git,5
O,u,vowel,git,5
%,l,punctuation,git,5
",",{,punctuation,git,5
1,7,digit,git,5
i,/,vowel,git,5
9,>,digit,git,5
",",1,punctuation,git,5
v,s,consonant,git,5
v,̣,diacritic,git,5
",",8,punctuation,git,5
y,r,consonant,git,5
.,1,punctuation,git,5
r,<,consonant,git,5
°,a,punctuation,git,5
<,i,punctuation,git,5
A,m,vowel,git,5
<,A,punctuation,git,5
.,d,punctuation,git,5
w,a,consonant,git,5
I,l,vowel,git,5
 ,h,whitespace,git,5
n,/,consonant,git,5
[,"""",punctuation,git,5
[,<,punctuation,git,5
g,/,consonant,git,5
{,s,punctuation,git,5
>,ι,punctuation,git,5
>,θ,punctuation,git,5
>,γ,punctuation,git,5
>,λ,punctuation,git,5
6,"""",digit,git,5
b,t,consonant,git,5
w,i,consonant,git,5
U,V,vowel,git,5
k,̄,diacritic,git,5
w,c,consonant,git,5
¦,r,punctuation,git,5
 ,(,whitespace,git,5
>,x,punctuation,git,5
),",",punctuation,git,5
m,r,consonant,git,5
e,<,vowel,git,5
>,A,punctuation,git,5
},",",punctuation,git,5
1,i,digit,git,5
W,h,consonant,git,5
w,̣,diacritic,git,5
/,z,punctuation,git,5
/,d,punctuation,git,5
.,<,punctuation,git,5
͂,́,diacritic,git,5
ν,υ,latin,git,5
l,S,consonant,git,5
6,8,digit,git,5
7,9,digit,git,5
g, ,consonant,git,5
f,h,consonant,git,5
́,̄,diacritic,git,5
r,/,consonant,git,5
"""",<,punctuation,git,5
4, ,digit,git,5
R,O,consonant,git,5
N,E,consonant,git,5
E,P,vowel,git,5
C,O,consonant,git,5
L,T,consonant,git,5
5,1,digit,git,5
A,R,vowel,git,5
I,L,vowel,git,5
N,T,consonant,git,5
E,l,vowel,git,5
S,t,consonant,git,5
m,>,consonant,git,5
्,प,diacritic,git,5
ी,ं,other,git,5
i,M,vowel,git,5
.,6,punctuation,git,5
",",a,punctuation,git,5
t,A,consonant,git,5
<,n,punctuation,git,5
g,t,consonant,git,5
l,p,consonant,git,5
h,p,consonant,git,5
/,R,punctuation,git,5
n,j,consonant,git,5
/,U,punctuation,git,5
i,x,vowel,git,5
3,.,digit,git,5
8,l,digit,git,5
8,4,digit,git,5
3,7,digit,git,5
d,"""",consonant,git,5
q,d,consonant,git,5
"""",7,punctuation,git,5
°,s,punctuation,git,5
A,/,vowel,git,5
f,m,consonant,git,5
0,e,digit,git,5
 ,L,whitespace,git,5
1,"""",digit,git,5
l,2,consonant,git,5
a,L,vowel,git,5
 ,{,whitespace,git,5
a,श,vowel,git,5
i,ि,vowel,git,5
̄,र,diacritic,git,5
̣,्,diacritic,git,5
p,्,diacritic,git,5
̄,ि,diacritic,git,5
̣,ष,diacritic,git,5
n,ा,consonant,git,5
d,ण,consonant,git,5
a,े,vowel,git,5
̄,श,diacritic,git,5
a,प,vowel,git,5
T, ,consonant,git,5
N,A,consonant,git,5
o,t,vowel,form,4
x,b,consonant,form,4
a,d,vowel,form,4
̇,G,diacritic,form,4
u,s,vowel,form,4
e,",",vowel,form,4
b,r,consonant,form,4
̄,d,diacritic,form,4
p,m,consonant,form,4
v,e,consonant,form,4
f,̣,diacritic,form,4
n,B,consonant,form,4
r,y,consonant,form,4
B,n,consonant,form,4
k,j,consonant,form,4
t,j,consonant,form,4
q,w,consonant,form,4
p,a,consonant,form,4
̇,K,diacritic,form,4
j,n,consonant,form,4
v,́,diacritic,form,4
T,̣,diacritic,form,4
g,̣,diacritic,form,4
k,a,consonant,form,4
d,́,diacritic,form,4
1,b,digit,form,4
a,p,vowel,form,4
a,x,vowel,form,4
d,k,consonant,form,4
n,y,consonant,form,4
u,̄,diacritic,form,4
u, ,vowel,form,4
m,Y,consonant,form,4
v,d,consonant,form,4
e,f,vowel,form,4
̂,̀,diacritic,form,4
s,u,consonant,form,4
T,t,case,form,4
l,c,consonant,form,4
̄,p,diacritic,form,4
.,d,punctuation,form,4
f,e,consonant,form,4
n,̄,diacritic,form,4
h,i,consonant,form,4
m,i,consonant,form,4
6,r,digit,form,4
5,n,digit,form,4
3,n,digit,form,4
0,p,digit,form,4
̇,a,diacritic,form,4
E,r,vowel,form,4
E,n,vowel,form,4
l,p,consonant,form,4
3,g,digit,form,4
0,e,digit,form,4
6,h,digit,form,4
K, ,consonant,form,4
6,g,digit,form,4
7,h,digit,form,4
9,c,digit,form,4
C,p,consonant,form,4
8,e,digit,form,4
j,̣,diacritic,form,4
8,7,digit,form,4
r,u,consonant,form,4
̄,›,diacritic,form,4
C,n,consonant,form,4
2,̇,diacritic,form,4
›,n,punctuation,form,4
B,r,consonant,form,4
2,̄,diacritic,form,4
K,E,consonant,form,4
̣,i,diacritic,form,4
3,E,digit,form,4
3,4,digit,form,4
¯,P,punctuation,form,4
t,",",consonant,form,4
P,V,consonant,form,4
2,.,digit,form,4
̣,7,diacritic,form,4
•,¯,punctuation,form,4
̣,V,diacritic,form,4
E,›,vowel,form,4
g,4,consonant,form,4
O,‹,vowel,form,4
¯,%,punctuation,form,4
̣,2,diacritic,form,4
o,.,vowel,form,4
̄,́,diacritic,form,4
Y,̃,diacritic,form,4
g,s,consonant,form,4
p,t,consonant,form,4
k, ,consonant,form,4
y,n,consonant,form,4
/,̣,diacritic,form,4
h,|,consonant,form,4
 ,`,whitespace,form,4
c,o,consonant,form,4
 ,m,whitespace,form,4
",",;,punctuation,form,4
̀,̂,diacritic,form,4
 ,b,whitespace,form,4
5,.,digit,git,4
a,3,vowel,git,4
g,c,consonant,git,4
.,/,punctuation,git,4
p,t,consonant,git,4
m,p,consonant,git,4
a,α,vowel,git,4
n,B,consonant,git,4
̄,́,diacritic,git,4
j,g,consonant,git,4
c,n,consonant,git,4
e,g,vowel,git,4
C,h,consonant,git,4
o,v,vowel,git,4
p,o,consonant,git,4
E,F,vowel,git,4
e,l,vowel,git,4
@,#,punctuation,git,4
r,R,case,git,4
h,f,consonant,git,4
f,e,consonant,git,4
{,",",punctuation,git,4
d,b,consonant,git,4
m, ,consonant,git,4
.,y,punctuation,git,4
u,v,vowel,git,4
Y,n,consonant,git,4
b,l,consonant,git,4
s,-,consonant,git,4
c,a,consonant,git,4
?,d,punctuation,git,4
z,p,consonant,git,4
?,g,punctuation,git,4
K,g,consonant,git,4
M, ,consonant,git,4
},u,punctuation,git,4
m,t,consonant,git,4
N,M,consonant,git,4
},H,punctuation,git,4
y,c,consonant,git,4
 ,6,whitespace,git,4
?,¯,punctuation,git,4
<,1,punctuation,git,4
-,{,punctuation,git,4
N,H,consonant,git,4
y,.,consonant,git,4
3,l,digit,git,4
b,d,consonant,git,4
M,a,consonant,git,4
.,i,punctuation,git,4
̣,̇,diacritic,git,4
%,g,punctuation,git,4
{,1,punctuation,git,4
 ,},whitespace,git,4
",",2,punctuation,git,4
l,-,consonant,git,4
1,<,digit,git,4
9,3,digit,git,4
6,3,digit,git,4
},1,punctuation,git,4
 ,0,whitespace,git,4
a,k,vowel,git,4
—,h,punctuation,git,4
0,6,digit,git,4
p,/,consonant,git,4
<,p,punctuation,git,4
?,>,punctuation,git,4
",",),punctuation,git,4
l,v,consonant,git,4
M,e,consonant,git,4
T,G,consonant,git,4
%,m,punctuation,git,4
m,̣,diacritic,git,4
%,c,punctuation,git,4
>,),punctuation,git,4
̂,̄,diacritic,git,4
v,z,consonant,git,4
a,h,vowel,git,4
p,l,consonant,git,4
t,°,consonant,git,4
w,%,consonant,git,4
l,R,consonant,git,4
>,η,punctuation,git,4
>,χ,punctuation,git,4
>,κ,punctuation,git,4
>,ε,punctuation,git,4
g,α,consonant,git,4
 ,7,whitespace,git,4
p,r,consonant,git,4
B,t,consonant,git,4
),¦,punctuation,git,4
°,l,punctuation,git,4
A,.,vowel,git,4
t,.,consonant,git,4
A,<,vowel,git,4
.,e,punctuation,git,4
R,T,consonant,git,4
-,A,punctuation,git,4
r,N,consonant,git,4
M,ꞏ,consonant,git,4
7,.,digit,git,4
@,%,punctuation,git,4
a,{,vowel,git,4
k,a,consonant,git,4
῾,̔,diacritic,git,4
̄,A,diacritic,git,4
/,u,punctuation,git,4
A,h,vowel,git,4
2,a,digit,git,4
ν,η,latin,git,4
6,>,digit,git,4
I,/,vowel,git,4
%,>,punctuation,git,4
s,E,consonant,git,4
γ,λ,latin,git,4
ρ,τ,latin,git,4
 ,#,whitespace,git,4
e,A,vowel,git,4
6, ,digit,git,4
b,e,consonant,git,4
9,5,digit,git,4
l,u,consonant,git,4
D,A,consonant,git,4
O,L,vowel,git,4
9,1,digit,git,4
0,4,digit,git,4
e,3,vowel,git,4
T,N,consonant,git,4
1,8,digit,git,4
3,9,digit,git,4
̣,́,diacritic,git,4
N,L,consonant,git,4
G, ,consonant,git,4
 ,¦,whitespace,git,4
1,d,digit,git,4
C,E,consonant,git,4
/,f,punctuation,git,4
ं,्,diacritic,git,4
t,R,consonant,git,4
र,ु,latin,git,4
/,-,punctuation,git,4
>,b,punctuation,git,4
/,S,punctuation,git,4
o,D,vowel,git,4
n,I,consonant,git,4
n,—,consonant,git,4
g,D,consonant,git,4
o,R,vowel,git,4
n,S,consonant,git,4
B,A,consonant,git,4
m,a,consonant,git,4
",",¦,punctuation,git,4
e,"""",vowel,git,4
8,6,digit,git,4
3,<,digit,git,4
o,",",vowel,git,4
"""",l,punctuation,git,4
3,6,digit,git,4
t,"""",consonant,git,4
y,f,consonant,git,4
"""",a,punctuation,git,4
e,.,vowel,git,4
l,=,consonant,git,4
°,n,punctuation,git,4
o,l,vowel,git,4
°,d,punctuation,git,4
i,c,vowel,git,4
"""",4,punctuation,git,4
f,y,consonant,git,4
r,S,consonant,git,4
b,x,consonant,git,4
n,x,consonant,git,4
>,¦,punctuation,git,4
=,r,punctuation,git,4
.,n,punctuation,git,4
c,i,consonant,git,4
=,3,punctuation,git,4
I,H,vowel,git,4
D,H,consonant,git,4
2,"""",digit,git,4
b,f,consonant,git,4
i,v,vowel,git,4
2,8,digit,git,4
x,X,case,git,4
2,i,digit,git,4
S,G,consonant,git,4
"""",3,punctuation,git,4
 ,R,whitespace,git,4
B,̣,diacritic,git,4
l,k,consonant,git,4
r,D,consonant,git,4
V,व,consonant,git,4
m,म,consonant,git,4
̄,ू,diacritic,git,4
˚,॰,punctuation,git,4
a,ष,vowel,git,4
̄,्,diacritic,git,4
k,ा,consonant,git,4
n,स,consonant,git,4
s,ा,consonant,git,4
i,व,vowel,git,4
u,्,diacritic,git,4
H,s,consonant,git,4
Q, ,consonant,git,4
U,W,vowel,git,4
I,D,vowel,git,4
M,E,consonant,git,4
K,W,consonant,git,4
u,̣,diacritic,form,3
o,u,vowel,form,3
u,t,vowel,form,3
m,l,consonant,form,3
 ,g,whitespace,form,3
i,<,vowel,form,3
t,f,consonant,form,3
$,ه,punctuation,form,3
a,A,case,form,3
p,d,consonant,form,3
b,̣,diacritic,form,3
7,2,digit,form,3
̇, ,diacritic,form,3
k,e,consonant,form,3
s,',consonant,form,3
i,1,vowel,form,3
c,f,consonant,form,3
n,b,consonant,form,3
s,w,consonant,form,3
",",s,punctuation,form,3
́, ,diacritic,form,3
i,k,vowel,form,3
̄,s,diacritic,form,3
v,.,consonant,form,3
",",5,punctuation,form,3
f,h,consonant,form,3
B,t,consonant,form,3
e,w,vowel,form,3
2,s,digit,form,3
3, ,digit,form,3
#,%,punctuation,form,3
p,c,consonant,form,3
f,w,consonant,form,3
v,i,consonant,form,3
t,̣,diacritic,form,3
b,́,diacritic,form,3
Y,n,consonant,form,3
v,̇,diacritic,form,3
́,v,diacritic,form,3
̣,d,diacritic,form,3
w,v,consonant,form,3
a,y,vowel,form,3
u,O,vowel,form,3
b,y,consonant,form,3
J,̃,diacritic,form,3
E,o,vowel,form,3
y,d,consonant,form,3
́,r,diacritic,form,3
̈, ,diacritic,form,3
o,l,vowel,form,3
r,1,consonant,form,3
u,y,vowel,form,3
a,/,vowel,form,3
o,1,vowel,form,3
“,r,punctuation,form,3
P,h,consonant,form,3
v,g,consonant,form,3
b,p,consonant,form,3
i,E,vowel,form,3
f,m,consonant,form,3
:,;,punctuation,form,3
e,.,vowel,form,3
e,m,vowel,form,3
̄,f,diacritic,form,3
g, ,consonant,form,3
j,y,consonant,form,3
g,a,consonant,form,3
r,w,consonant,form,3
",",f,punctuation,form,3
.,y,punctuation,form,3
r,b,consonant,form,3
e,k,vowel,form,3
),d,punctuation,form,3
;,e,punctuation,form,3
K,g,consonant,form,3
¯, ,punctuation,form,3
B,c,consonant,form,3
8,c,digit,form,3
3,c,digit,form,3
K,e,consonant,form,3
P,n,consonant,form,3
|,r,punctuation,form,3
),r,punctuation,form,3
k,p,consonant,form,3
3,r,digit,form,3
1,c,digit,form,3
8,n,digit,form,3
0,h,digit,form,3
O,e,vowel,form,3
],g,punctuation,form,3
7,n,digit,form,3
V, ,consonant,form,3
 ,V,whitespace,form,3
k,̄,diacritic,form,3
̃,K,diacritic,form,3
Z,s,consonant,form,3
 ,k,whitespace,form,3
‹, ,punctuation,form,3
‹,̇,diacritic,form,3
÷,/,punctuation,form,3
̇,C,diacritic,form,3
t,2,consonant,form,3
",",7,punctuation,form,3
.,4,punctuation,form,3
̃,̄,diacritic,form,3
E,̄,diacritic,form,3
Z,̣,diacritic,form,3
2,7,digit,form,3
h,u,consonant,form,3
D,¯,consonant,form,3
›,h,punctuation,form,3
K,̄,diacritic,form,3
E,b,vowel,form,3
̄,2,diacritic,form,3
.,̇,diacritic,form,3
7,̄,diacritic,form,3
 ,̇,diacritic,form,3
r,B,consonant,form,3
W,Q,consonant,form,3
0,̈,diacritic,form,3
E,s,vowel,form,3
̄,%,diacritic,form,3
1,̈,diacritic,form,3
T,¯,consonant,form,3
›,s,punctuation,form,3
a,K,vowel,form,3
1,̄,diacritic,form,3
d,̄,diacritic,form,3
~,̣,diacritic,form,3
a,а,vowel,form,3
1,i,digit,form,3
S,s,case,form,3
.,l,punctuation,form,3
L,o,consonant,form,3
h,̇,diacritic,form,3
g,p,consonant,form,3
j,a,consonant,form,3
s,g,consonant,form,3
D,G,consonant,form,3
̂,́,diacritic,form,3
g,y,consonant,form,3
s,",",consonant,form,3
i,b,vowel,form,3
m,M,case,form,3
k,o,consonant,form,3
́,̧,diacritic,form,3
 ,v,whitespace,form,3
v,s,consonant,form,3
<,h,punctuation,git,3
A,t,vowel,git,3
s,v,consonant,git,3
y,p,consonant,git,3
A,k,vowel,git,3
t,h,consonant,git,3
C,K,consonant,git,3
l,g,consonant,git,3
h,y,consonant,git,3
b,y,consonant,git,3
j,J,case,git,3
g,q,consonant,git,3
e,u,vowel,git,3
i,j,vowel,git,3
-,",",punctuation,git,3
v,w,consonant,git,3
",",e,punctuation,git,3
d,f,consonant,git,3
",",m,punctuation,git,3
7,5,digit,git,3
d,n,consonant,git,3
f,p,consonant,git,3
e,k,vowel,git,3
-,s,punctuation,git,3
K,k,case,git,3
v,<,consonant,git,3
I,<,vowel,git,3
y,s,consonant,git,3
?,i,punctuation,git,3
{,d,punctuation,git,3
?,k,punctuation,git,3
m,g,consonant,git,3
},b,punctuation,git,3
s,p,consonant,git,3
?,y,punctuation,git,3
},r,punctuation,git,3
},o,punctuation,git,3
.,A,punctuation,git,3
S,v,consonant,git,3
p,k,consonant,git,3
d,y,consonant,git,3
f,J,consonant,git,3
s,y,consonant,git,3
4,},digit,git,3
1,},digit,git,3
2,},digit,git,3
-,¯,punctuation,git,3
{,-,punctuation,git,3
#,-,punctuation,git,3
-,#,punctuation,git,3
N,i,consonant,git,3
L,h,consonant,git,3
h,D,consonant,git,3
2,.,digit,git,3
4,s,digit,git,3
3,s,digit,git,3
 ,v,whitespace,git,3
H,h,case,git,3
G,C,consonant,git,3
d,g,consonant,git,3
̣,>,diacritic,git,3
1,e,digit,git,3
1,o,digit,git,3
0,o,digit,git,3
π,ρ,latin,git,3
s,ς,consonant,git,3
i,8,vowel,git,3
i,2,vowel,git,3
 ,),whitespace,git,3
T,t,case,git,3
@,>,punctuation,git,3
M,>,consonant,git,3
 ,u,whitespace,git,3
t,1,consonant,git,3
b,2,consonant,git,3
́,/,diacritic,git,3
m,u,consonant,git,3
(,l,punctuation,git,3
O,A,vowel,git,3
6,.,digit,git,3
7,l,digit,git,3
 ,S,whitespace,git,3
 ,I,whitespace,git,3
 ,"""",whitespace,git,3
8,2,digit,git,3
>,7,punctuation,git,3
e,b,vowel,git,3
„,",",punctuation,git,3
k,v,consonant,git,3
%,-,punctuation,git,3
h,|,consonant,git,3
J,j,case,git,3
{,b,punctuation,git,3
@,b,punctuation,git,3
h,w,consonant,git,3
a,W,vowel,git,3
C,a,consonant,git,3
#,%,punctuation,git,3
.,t,punctuation,git,3
%,h,punctuation,git,3
/,#,punctuation,git,3
u,.,vowel,git,3
a,5,vowel,git,3
t,T,case,git,3
t,",",consonant,git,3
n,ν,consonant,git,3
r,ρ,consonant,git,3
k,n,consonant,git,3
>,%,punctuation,git,3
>,ρ,punctuation,git,3
o,—,vowel,git,3
"""",",",punctuation,git,3
—,/,punctuation,git,3
>,h,punctuation,git,3
r,.,consonant,git,3
v,o,consonant,git,3
>,v,punctuation,git,3
p,1,consonant,git,3
w,<,consonant,git,3
K,V,consonant,git,3
i,̄,diacritic,git,3
P,R,consonant,git,3
",",d,punctuation,git,3
w,q,consonant,git,3
m,<,consonant,git,3
:,1,punctuation,git,3
/,b,punctuation,git,3
d,w,consonant,git,3
x,>,consonant,git,3
o,m,vowel,git,3
d,A,consonant,git,3
A,d,vowel,git,3
<,v,punctuation,git,3
f,/,consonant,git,3
<,u,punctuation,git,3
3,p,digit,git,3
o,%,vowel,git,3
i,́,diacritic,git,3
s,%,consonant,git,3
%,a,punctuation,git,3
%,",",punctuation,git,3
̀,́,diacritic,git,3
B,h,consonant,git,3
́,̓,diacritic,git,3
^,p,punctuation,git,3
A,s,vowel,git,3
5,>,digit,git,3
g,%,consonant,git,3
Ι,і,latin,git,3
a,а,vowel,git,3
τ,π,latin,git,3
b,o,consonant,git,3
r,(,consonant,git,3
u,b,vowel,git,3
g,r,consonant,git,3
j,k,consonant,git,3
.,;,punctuation,git,3
a,x,vowel,git,3
G,n,consonant,git,3
c,j,consonant,git,3
0,f,digit,git,3
c,3,consonant,git,3
C,R,consonant,git,3
T,A,consonant,git,3
A,T,vowel,git,3
T,K,consonant,git,3
T,E,consonant,git,3
 ,U,whitespace,git,3
R,L,consonant,git,3
7,4,digit,git,3
N,K,consonant,git,3
E,O,vowel,git,3
s,0,consonant,git,3
e,K,vowel,git,3
.,R,punctuation,git,3
9,7,digit,git,3
N,I,consonant,git,3
D,T,consonant,git,3
5,9,digit,git,3
v,p,consonant,git,3
o,t,vowel,git,3
u,<,vowel,git,3
b,i,consonant,git,3
9,.,digit,git,3
प,्,diacritic,git,3
ं,ी,other,git,3
s,°,consonant,git,3
म,न,latin,git,3
.,5,punctuation,git,3
.,8,punctuation,git,3
f,o,consonant,git,3
m,f,consonant,git,3
<,z,punctuation,git,3
n,D,consonant,git,3
/,j,punctuation,git,3
<,>,punctuation,git,3
/,Y,punctuation,git,3
n,°,consonant,git,3
l,°,consonant,git,3
h,u,consonant,git,3
°,i,punctuation,git,3
>,w,punctuation,git,3
), ,punctuation,git,3
U,a,vowel,git,3
c,<,consonant,git,3
y,t,consonant,git,3
.,h,punctuation,git,3
l,8,consonant,git,3
x,1,consonant,git,3
8,5,digit,git,3
a,=,vowel,git,3
h,v,consonant,git,3
P,̄,diacritic,git,3
x,9,consonant,git,3
n,9,consonant,git,3
A,n,vowel,git,3
z,a,consonant,git,3
w,n,consonant,git,3
<,y,punctuation,git,3
°,t,punctuation,git,3
f, ,consonant,git,3
d,m,consonant,git,3
.,o,punctuation,git,3
s,u,consonant,git,3
i,{,vowel,git,3
m,1,consonant,git,3
f,3,consonant,git,3
m,2,consonant,git,3
:,0,punctuation,git,3
p,"""",consonant,git,3
°,v,punctuation,git,3
=,a,punctuation,git,3
c,x,consonant,git,3
",",:,punctuation,git,3
:,u,punctuation,git,3
n,2,consonant,git,3
