from,to,unit,layer,count
n,m,consonant,git,49
n,a,consonant,git,49
a,},vowel,git,48
a,r,vowel,form,47
-, ,punctuation,git,47
l,t,consonant,git,47
v,n,consonant,form,46
i,e,vowel,git,46
t,w,consonant,form,45
., ,punctuation,form,45
̄,a,diacritic,form,45
u,U,case,git,45
u,n,vowel,git,45
l,i,consonant,git,45
s,z,consonant,git,45
3,1,digit,git,45
v,K,consonant,form,44
S,̣,diacritic,form,44
q,d,consonant,form,44
s,t,consonant,git,44
h,n,consonant,git,44
̣,c,diacritic,form,43
 ,̣,diacritic,form,43
},>,punctuation,git,43
¯,",",punctuation,form,42
r,t,consonant,form,41
d,q,consonant,form,41
",",a,punctuation,form,41
̣,̄,diacritic,form,41
.,›,punctuation,form,41
C,̇,diacritic,form,41
I,i,case,git,41
t,n,consonant,form,40
n,t,consonant,form,40
̣,K,diacritic,form,40
i,l,vowel,git,40
>,.,punctuation,git,40
.,>,punctuation,git,40
̣, ,diacritic,form,39
t,s,consonant,git,39
),.,punctuation,git,39
s,t,consonant,form,38
",",.,punctuation,form,38
0,1,digit,git,38
s,S,case,git,38
},̣,diacritic,git,38
a,n,vowel,git,38
̄,r,diacritic,form,37
s,o,consonant,git,37
n,N,case,git,37
d,a,consonant,form,36
̣,a,diacritic,form,36
A,̄,diacritic,form,36
t,d,consonant,form,36
s,n,consonant,form,36
c,j,consonant,form,36
n,R,consonant,git,36
 ,<,whitespace,git,36
e,a,vowel,form,35
a, ,vowel,form,35
<, ,punctuation,git,35
l, ,consonant,git,35
^,>,punctuation,git,35
t,r,consonant,form,34
̣,h,diacritic,form,34
N,̣,diacritic,form,34
l,.,consonant,git,34
O,h,vowel,form,33
4,7,digit,form,33
̄,7,diacritic,form,33
s,e,consonant,git,33
R,n,consonant,git,33
1,t,digit,git,33
h,r,consonant,form,32
̄,U,diacritic,form,32
a,f,vowel,git,32
3,4,digit,git,32
a,s,vowel,git,32
a,c,vowel,git,32
œ,e,latin,git,32
%,́,diacritic,git,32
u,=,vowel,git,32
a,̣,diacritic,form,31
t,l,consonant,git,31
