dict,events,entries,per_1k_entries,top_component,form,git
pw,13662,170556,80.1,unattributed,11776,1886
mw,9638,286560,33.63,sense,1397,8241
pwg,3771,123366,30.57,citation,150,3621
ap90,2539,34882,72.79,sense,415,2124
ap,2407,90654,26.55,sense,495,1912
ccs,2289,30010,76.27,headword,2229,60
bur,1807,19776,91.37,sense,693,1114
cae,1696,40069,42.33,headword,1298,398
pd,1375,0,,unattributed,1375,0
ben,1220,17310,70.48,sense,463,757
wil,1207,44577,27.08,headword,1133,74
md,1124,20749,54.17,sense,13,1111
pui,980,17512,55.96,headword,644,336
vcp,904,50135,18.03,sense,393,511
gra,717,12785,56.08,sense,380,337
shs,680,47326,14.37,sense,161,519
skd,558,42531,13.12,sense,325,233
yat,551,45206,12.19,sense,208,343
sch,529,29125,18.16,markup,73,456
acc,458,49822,9.19,sense,155,303
bop,408,8961,45.53,sense,30,378
mw72,365,55388,6.59,sense,116,249
bhs,328,17839,18.39,sense,19,309
gst,308,6780,45.43,markup,7,301
bor,299,24609,12.15,sense,7,292
lrv,287,53441,5.37,sense,0,287
stc,264,24574,10.74,sense,76,188
ae,260,11359,22.89,sense,19,241
ieg,232,7907,29.34,sense,43,189
vei,222,3834,57.9,markup,42,180
lan,210,4944,42.48,markup,0,210
mci,196,2643,74.16,sense,10,186
inm,179,12647,14.15,sense,73,106
mwe,145,32378,4.48,sense,55,90
pwkvn,139,24976,5.57,markup,0,139
fri,93,8155,11.4,meta,0,93
pe,86,8799,9.77,sense,37,49
abch,85,1965,43.26,sense,0,85
krm,78,2061,37.85,markup,9,69
pgn,78,485,160.82,sense,0,78
apes,72,0,,unattributed,72,0
pwg2013,50,0,,unattributed,50,0
snp,2,453,4.42,sense,0,2
