year,commits,correctors,lead,lead_share,corrections,imports,other
2019,34,2,funderburkjim,0.6471,9,0,25
2020,269,1,funderburkjim,1.0,105,1,163
2021,362,3,funderburkjim,0.7762,248,1,113
2022,152,3,funderburkjim,0.8553,135,0,17
2023,161,3,funderburkjim,0.8137,138,0,23
2024,207,4,funderburkjim,0.8116,175,0,32
2025,253,3,funderburkjim,0.6403,212,0,41
2026,411,4,drdhaval2785,0.854,221,0,190
