dict,records,k1_present,k1_distinct
abch,1965,0,0
acc,49833,49833,32584
acph,163,0,0
acsj,240,0,0
ae,11359,11359,11343
ap,90843,90843,88869
ap90,34882,34882,34277
armh,7907,7907,6673
ben,17310,17310,17035
bhs,17839,17839,17777
bop,8961,8961,8505
bor,24609,24609,22006
bur,19776,19776,19146
cae,40069,40069,38484
ccs,30010,30010,28751
fri,8155,8155,7775
gra,12785,12785,11108
gst,6780,6780,6761
ieg,7932,7932,7568
inm,12647,12647,9454
krm,2061,2061,1698
lan,4944,4944,4726
lrv,53441,53441,48259
mci,2643,2643,2325
md,20749,20749,20102
mw,286525,286525,194082
mw72,55390,55390,51159
mwe,32378,32378,28231
nmmb,506,0,0
pe,8799,8799,6623
pgn,485,485,470
pui,17512,17512,11730
pw,170556,170556,151344
pwg,123366,123366,106079
pwkvn,24976,24976,14995
sch,29125,29125,28455
shs,47326,47326,46733
skd,42531,42531,40814
snp,453,453,448
stc,24574,24574,23986
vcp,50135,50135,48636
vei,3834,3834,3704
wil,44577,44577,43938
yat,45206,45206,44720
