date,year,magnitude,category,dicts,desc
2014-09-05,2014,0,other,AE|SKD|VCP,"Sep 5, 2014 Correct missing text for AE July 2014 Correct 'dbika' to 'dvika' in SKD. Correct 'db' to 'dv' for SKD headwords July 2014 Begin correcting SKD headwords based on alphabetization misorderin"
2014-09-16,2014,0,other,AP90,"Sep 16, 2014 Correct missing text for AP90"
2014-09-23,2014,0,other,AP,"Sep 23, 2014 Correct missing text for AP"
2014-09-26,2014,0,other,SKD,"Sep 26, 2014 Correct missing text for SKD."
2014-09-30,2014,0,other,BEN,"Sep 30, 2014 Correct missing text for BEN"
2014-10-06,2014,0,other,BOR,"Oct 6, 2014 Correct missing text for BOR"
2014-10-09,2014,0,other,MWE,"Oct 9, 2014 Correct missing text for MWE"
2014-10-15,2014,0,other,MW|PW,"Oct 15, 2014 Corrections to current PW from prior edition. PW headword corrections by comparison to MW Oct 5,2014 MW headword corrections by comaprison between dictionaries See https://github.com/sans"
2014-10-16,2014,0,other,MW72,"Oct 16, 2014 Correct missing text for MW72"
2014-10-17,2014,0,other,MW,"Oct 17, 2014 MW errors found by comparing with Vacaspatyam. See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/21"
2014-10-18,2014,0,other,PWG,"Oct 18, 2014 PWG/ahlborn.txt summarizes PWG headword changes from 2011 through current"
2014-10-18,2014,0,other,CCS|PW|PWG,"Oct 18, 2014 In PWG, Patterns of the form (vowel)M(accent) were changed to (vowel)(accent)M. And similarly, (vowel)H(accent) -> (vowel)H(accent) 6479 lines of pwg.txt affected by this change. For disc"
2014-11-03,2014,0,other,AE,"Nov 3, 2014 Headword corrections for AE See https://github.com/sanskrit-lexicon/ApteES/issues/5"
2014-11-06,2014,0,other,PWG,"Nov 6, 2014 PWG converted to SLP1 See https://github.com/sanskrit-lexicon/PWG/issues/11"
2014-11-11,2014,0,other,MW72,"Nov 11, 2014 Missing arabic provided for MW72. See dictionaries/MW72/MW72_history.txt for details."
2014-11-16,2014,0,other,,"Nov 16, 2014 Hiatus corrections finished. Several dictionaries converted to SLP1. See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/10"
2014-11-18,2014,0,other,MW|VCP,"Nov 18, 2014 MW corrections by comparison with VCP See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/21"
2014-11-19,2014,0,other,SKD,"Nov 19, 2014 SKD headword corrections based on alphabetical errors. See https://github.com/sanskrit-lexicon/SKD/issues/2."
2014-11-20,2014,0,other,MW|VCP,"Nov 20, 2014 VCP headword corrections via faultfinder comparison to MW See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/32"
2014-11-21,2014,0,other,PW|VCP,"Nov 21, 2014 VCP headword corrections via faultfinder comparison to PW(K) See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/36"
2014-11-22,2014,0,other,MW|SKD,"Nov 22, 2014 SKD headword corrections via faultfinder comparison to MW See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/38"
2014-11-26,2014,0,other,CAE|MW,"Nov 26, 2014 CAE headword corrections via faultfinder comparison to MW See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/39"
2014-12-03,2014,0,other,CAE,"Dec 3, 2014 CAE headword corrections See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/42"
2014-12-04,2014,0,hyphen-markup,,"Dec 4, 2014 sanhw1 list added to this repository. It contains a unified list of Sanskrit headwords from all dictionaries."
2014-12-08,2014,0,other,SHS,"Dec 8, 2014 SHS headword corrections. See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/47"
2014-12-09,2014,0,other,AP90,"Dec 9, 2014 AP90 headword corrections. See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/48"
2014-12-18,2014,0,other,PW,"Dec 18, 2014 PW headword corrections. See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/50"
2014-12-18,2014,0,other,PWG,"Dec 18, 2014 PWG headword corrections. See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/49"
2014-12-19,2014,0,other,SCH,"Dec 19, 2014 SCH headword corrections. See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/51"
2014-12-25,2014,0,other,WIL,"Dec 25, 2014 WIL headword corrections See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/58"
2014-12-29,2014,0,other,WIL,"Dec 29, 2014 WIL headword corrections See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/61"
2014-12-29,2014,0,other,WIL,"Dec 29, 2014 Initialize factual_corrections.txt for WIL See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/58"
2014-12-29,2014,0,other,WIL,"Dec 29, 2014 WIL headword corrections See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/60"
2015-01-03,2015,0,other,WIL,"Jan 3, 2015 WIL headword corrections (from 2011 Wiltab work) See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/62"
2015-01-09,2015,0,other,WIL,"Jan 9, 2015 WIL headword corrections (alphabetical) See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/63 See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/64 See https://github.com/s"
2015-01-14,2015,0,other,VCP,"Jan 14, 2015 VCP headword corrections based on alphabetical ordering See https://github.com/sanskrit-lexicon/CORRECTIONS/idictionaries/VCP/VCP_history.txt for details."
2015-01-16,2015,0,other,YAT,"Jan 16, 2015 YAT headword corrections See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/68"
2015-01-16,2015,0,other,MD,"Jan 16, 2015 MD headword corrections See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/69"
2015-01-17,2015,0,other,BEN,"Jan 17, 2015 BEN headword corrections (based on faultfinder cases) See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/70"
2015-01-20,2015,0,other,MW,"Jan 20, 2015 Arabic text in MW See https://github.com/sanskrit-lexicon/ArabicInSanskrit/issues/1 and 2"
2015-01-20,2015,0,other,AP,"Jan 20, 2015 AP headword corrections (based on faultfinder cases) Work by Sampada, no Github issue."
2015-01-26,2015,0,other,PWG,"Jan 26, 2015 PWG added russian text See https://github.com/sanskrit-lexicon/PWG/issues/14"
2015-01-26,2015,0,other,MW72,"Jan 26, 2015 MW72 corrections See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/71, 73"
2015-01-28,2015,0,other,BHS,"Jan 28, 2015 BHS corrections See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/75"
2015-01-31,2015,0,other,GRA,"Jan 31, 2015 GRA corrections based on alphabetical ordering See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/76"
2015-02-02,2015,0,other,GRA,"Feb 2, 2015 GRA corrections based on faultfinder See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/77"
2015-02-06,2015,0,other,BUR,"Feb 6, 2015 BUR corrections based on faultfinder See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/78 79,80,81"
2015-02-07,2015,0,other,PWG,"Feb 7, 2015 PWG corrections to missing data. 390 cases. Thanks to Sampada for corrections. See dictionaries/PWG/missing folder for completed working papers: https://github.com/sanskrit-lexicon/CORRECT"
2015-02-18,2015,0,other,PW,"Feb 18, 2015 PW corrections to missing data. 39 cases. Correction from ejf/sampada See https://github.com/sanskrit-lexicon/CORRECTIONS/blob/master/dictionaries/PW/missing_0001-0099.txt for working doc"
2015-02-20,2015,0,hyphen-markup,MW,"Feb 20, 2015 Corrections to Wilson headwords and MW markup for some verbs. These changes not documented in correctionform.txt. See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/87"
2015-02-21,2015,0,other,YAT,"Feb 21, 2015 Begin corrections_factual.txt for YAT."
2015-03-10,2015,0,other,WIL|YAT,"Mar 10, 2015 Corrections to WIL (400 corrections) and YAT (800 corrections), based on comparisons of headwords in the two dictionaries. See https://github.com/sanskrit-lexicon/Wil-YAT/tree/master"
2015-03-24,2015,0,other,PWG,"Mar 24, 2015 In PWG, removed the <NV>...</NV> lines. See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/12"
2015-03-24,2015,0,iast-encoding,PWG,"Mar 24, 2015 In slp1 conversion of PWG, convert MM (candrabindu in HK) to ~ (formerly, it was changed to M~, which is incorrect SLP1). See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/12"
2015-03-25,2015,0,other,VEI,"Mar 25, 2015 Correction of missing data in VEI See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/93"
2015-03-25,2015,0,other,AP|AP90|PW|SKD|VCP,"Mar 25, 2015 Back-corrected SLP1 coding for candrabindu in SKD, AP, AP90, PW, VCP See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/12"
2015-03-27,2015,0,iast-encoding,AE|MWE,"Mar 27, 2015 Conversion of MWE, AE to SLP1 See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/7"
2015-03-28,2015,0,iast-encoding,PD,"Mar 28, 2015 Conversion of PD to SLP1 See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/7"
2015-03-30,2015,0,iast-encoding,BOP,"Mar 30, 2015 Conversion of BOP to SLP1 See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/7"
2015-04-01,2015,0,iast-encoding,PGN,"Apr 1, 2015 conversion of PGN to SLP1 See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/7"
2015-04-01,2015,0,iast-encoding,KRM,"Apr 1, 2015 conversion of KRM to SLP1 See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/7"
2015-04-07,2015,0,other,PWG,"Apr 7, 2015 Arabic text in PWG (118 cases) See https://github.com/sanskrit-lexicon/ArabicInSanskrit/issues/4 and 5"
2015-04-16,2015,0,other,INM,"Apr 16, 2015 INM corrections based on faultfinder See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/95"
2015-04-18,2015,0,other,PW,"Apr 18, 2015 Arabic text in PW (47 cases) and Russian (1 case) See https://github.com/sanskrit-lexicon/ArabicInSanskrit/issues/7 See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/91"
2015-04-19,2015,0,other,VEI,"Apr 19, 2015 VEI corrections based on faultfinder (8 cases) See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/98"
2015-04-19,2015,0,other,MWE,"Apr 19, 2015 Resolve remaining 'MISSING' data cases for MWE (17 cases) See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/94"
2015-04-22,2015,0,other,PW,"Apr 22, 2015 PW Greek text (167 cases) See https://github.com/sanskrit-lexicon/GreekInSanskrit/issues/4 ,5 ,6"
2015-05-04,2015,0,other,PUI,"May 4, 2015 PUI corrections based on faultfinder (520+ cases) See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/101"
2015-05-05,2015,0,other,PGN,"May 5, 2015 PGN corrections based on faultfinder (2 cases) See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/103"
2015-05-07,2015,0,other,IEG,"May 7, 2015 IEG corrections based on faultfinder (35+ cases) See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/104"
2015-05-10,2015,0,other,PD,"May 10, 2015 PD corrections based on faultfinder (80 cases) See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/106"
2015-05-13,2015,0,other,ACC,"May 13, 2015 ACC corrections based on faultfinder (76 cases) See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/109"
2015-05-14,2015,0,other,MCI,"May 14, 2015 MCI corrections based on faultfinder (6 cases) See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/110"
2015-05-16,2015,0,other,SNP,"May 16, 2015 SNP corrections based on faultfinder (0 cases) See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/113"
2015-05-16,2015,0,other,KRM,"May 16, 2015 KRM corrections based on faultfinder (0 cases) See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/112"
2015-05-16,2015,0,other,PE,"May 16, 2015 PE corrections based on faultfinder (22 cases) See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/111"
2015-05-19,2015,20,other,MW|PW|VCP,"May 19, 2015 Misc corrections for MW (20), VCP (2), PW (1)"
2015-05-31,2015,0,other,PWG,"May 31, 2015 Greek text in PWG (400 cases) See https://github.com/sanskrit-lexicon/GreekInSanskrit/issues/7 and 9,11,13"
2015-06-25,2015,0,other,MW,"Jun 25, 2015 Artificial homophones assigned to MW records. (10,913 cases) See https://github.com/sanskrit-lexicon/MWS/issues/22 and https://github.com/sanskrit-lexicon/MWS/blob/master/homophone/readme"
2015-07-14,2015,170,other,MW,"Jul 14, 2015 HxA corrections to MW (about 170 cases) See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/121"
2015-09-09,2015,0,other,PW,"Sep 9, 2015 PW Anusvara headwords corrected (19 cases) See https://github.com/sanskrit-lexicon/CORRECTIONS/issues/124"
2015-09-19,2015,0,correction-form,,"Sep 19, 2015 Correction form corrections brought up to date."
2015-09-28,2015,0,correction-form,MW,"Sep 28, 2015 Correction form corrections brought up to date. For MW, see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/125"
2015-10-06,2015,0,correction-form,MW|PW,"Oct 6, 2015 Correction form corrections brought up to date. (MW 7, PW 1) For MW, see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/127"
2015-10-21,2015,21,other,MW,"Oct 21, 2015 Corrections to MW (21). see https://github.com/sanskrit-lexicon/CORRECTIONS/issues/127"
