ls_code,title,status,vedic,citations,pages,volunteer,finished,public_link,scan_dir
Spr. vol.1 (1st ed.),Indische Sprüche V.1,done,no,10494,345,@Azanuka2412,2025-02-01,,boesp1
Spr. vol.2 (1st ed.),Indische Sprüche V.2,done,no,,377,@sofia28000,2025-02-07,,boesp1
Spr. vol.3 (1st ed.),Indische Sprüche V.3,done,no,,420,@angalinde,2025-01-31,,boesp1
YĀJÑ.,YĀJÑAVALKYA'S Gesetzbuch,done,no,3794,316,@OFar0101,2025-02-13,,yajnavalkya
RAGH.,RAGHUVAM̃SA 1832 Stenzler ed.,done,no,8752,385,@grigoriyt1,2025-01-30,,raghuvamsa
SĀH. D.,SĀHITYADARPAṆA,done,no,3860,497,@Azanuka2412,2025-02-23,,sahityadarpana
N.,NALOPĀKHYĀNA in B. Ch.,done,no,3446,459,@angalinde,2025-02-10,,bchrest1
VID.,(Same book as 9 above) Geschichte des VIDŪṢAKA in B. Ch.,done,no,1127,,@angalinde,2025-02-12,,bchrest1
DAŚ.,(Same book as 9 above) DAŚARATHA'S Tod in B. Ch.,done,no,413,,@angalinde,2025-02-12,,bchrest1
VIŚV.,(Same book as 9 above) VIŚVĀMITRA'S Kampf in B. Ch.,done,no,370,,@angalinde,2025-02-12,,bchrest1
VOP.,"VOPADEVA'S Grammatik, Bohtlingk",done,no,5149,489,@angalinde,2025-02-28,,mugdhabodha
H.,HEMACANDRA'S ABHIDHĀNACINTĀMAṆI : Bohtlingk,done,no,16148,465,@IrinaKonstant,2025-02-25,,abch2
H. ś.,(Same book as 13 above) die Śeṣa zu HEMACANDRA'S ABHIDHĀNACINTĀMAṆI,done,no,1301,,@IrinaKonstant,2025-02-26,,abch2
MED.,MEDINĪKOṢA 1807 Calc. ed.,done,no,12990,601,@OFar0101,2025-02-26,,medini
TRIK.,(Same book as 16 above) TRIKĀṆḌAŚEṢA 1807 ed. Calc.,done,no,8426,,@OFar0101,2025-02-27,,medini
HĀR.,(Same book as 16 above) HĀRĀVALĪ 1807 Calc. ed.,done,no,1865,,@OFar0101,2025-02-26,,medini
HALĀY.,HALĀYUDHA,done,no,5159,417,@angalinde,2025-03-09,,armh2
VARĀH. BṚH. S.,BRIHATSAMHITA,done,no,9174,673,@OFar0101,2025-02-07,,brihatsam
MĀRK. P.,MĀRKĀṆḌEYAPURĀṆA,done,no,5436,693,@OFar0101,2025-03-10,,markandeyapurana
H. an.,HEMACANDRA'S ANEKĀRTHASAM̃GRAHA 1807 Calc. ed.,done,no,9781,377,@IrinaKonstant,2025-03-09,,anekarthasamgraha
an.,(Same book as 15a above) name in short-form,nr-alt-name,no,1797,,@IrinaKonstant,2025-03-09,,anekarthasamgraha
ŚĀK.,ŚĀKUNTALA Bohtlingk ed.,done,no,5500,427,@grigoriyt1,2025-03-21,,shakuntala
