dict,records,distinct_headwords,note
abch,1965,0,
acc,49833,32584,
ae,11359,11343,
ap,90843,88869,
ap90,34882,34277,
apes,,,no csl-orig v02 source
ben,17310,17035,
bhs,17839,17777,
bop,8961,8505,
bor,24609,22012,
bur,19776,19146,
cae,40069,38484,
ccs,30010,28751,
fri,8155,7775,
gra,12785,11108,
gst,6780,6761,
ieg,7932,7567,
inm,12647,9454,
krm,2061,1698,
lan,4944,4726,
lrv,53441,48259,
mci,2643,2325,
md,20749,20103,
mw,286525,194082,
mw72,55390,51159,
mwe,32378,28238,
pd,,,no csl-orig v02 source
pe,8799,6623,
pgn,485,470,
pui,17512,11730,
pw,170556,151347,
pwg,123366,106082,
pwg2013,,,no csl-orig v02 source
pwkvn,24976,14995,
sch,29125,28455,
shs,47326,46733,
skd,42531,40817,
snp,453,448,
stc,24574,23986,
vcp,50135,48636,
vei,3834,3704,
wil,44577,43938,
yat,45206,44720,
