dict,era,correctors,s_observed,record_count,pair_a,pair_b,pair_n1,pair_n2,pair_m,pair_n_hat,pair_ci_low,pair_ci_high,pairs_estimable,chao2_q1,chao2_q2,chao2_n_hat,chao2_ci_low,chao2_ci_high,chao2_stable,capped,two_era_n_hat,two_era_m,two_era_capped
mw,git,4,5575,286525,funderburkjim,drdhaval2785,5147,472,85,28313,22976,33650,1,5484,89,132292,107897,162503,1,0,60997,131,0
pw,form,7,4731,170556,funderburkjim,drdhaval2785,4417,253,113,9843,8524,11161,3,4577,149,64987,55538,76193,1,0,67866,196,0
ccs,form,4,2171,30010,,,,,,,,,0,2167,4,30010,30010,30010,0,1,,,
pwg,git,2,1918,123366,funderburkjim,drdhaval2785,1676,278,36,12644,8941,16348,1,1882,36,26515,19484,36360,1,0,,,
ap90,git,2,1467,34882,,,,,,,,,0,1464,3,34882,34882,34882,0,1,,,
pd,form,2,1369,,,,,,,,,,0,1369,0,469567,,,0,0,,,
pw,git,2,1368,170556,,,,,,,,,0,1365,3,156637,55416,170556,0,1,67866,196,0
cae,form,3,1263,40069,,,,,,,,,0,1258,4,40069,40069,40069,0,1,40069,13,1
wil,form,2,1115,44577,,,,,,,,,0,1115,0,44577,,,0,1,,,
ap,git,2,1104,90843,,,,,,,,,0,1098,6,51338,24193,90843,0,1,,,
mw,form,12,1083,286525,,,,,,,,,0,1069,14,38495,23153,64501,1,0,60997,131,0
md,git,2,940,20749,,,,,,,,,0,939,1,20749,20749,20749,0,1,,,
bur,git,2,883,19776,funderburkjim,drdhaval2785,830,63,10,4834,2361,7307,1,873,10,19776,11150,19776,1,1,17247,44,0
bur,form,4,681,19776,,,,,,,,,0,680,1,19776,19776,19776,0,1,17247,44,0
ben,git,2,600,17310,,,,,,,,,0,599,1,17310,17310,17310,0,1,,,
pui,form,3,554,17512,,,,,,,,,0,553,1,17512,17512,17512,0,1,,,
ben,form,2,456,17310,,,,,,,,,0,456,0,17310,,,0,1,,,
shs,git,2,430,47326,,,,,,,,,0,429,1,46440,9379,47326,0,1,,,
ap,form,2,364,90843,,,,,,,,,0,364,0,33397,,,0,0,,,
cae,git,2,339,40069,,,,,,,,,0,334,5,5917,2700,13517,0,0,40069,13,1
skd,form,3,306,42531,,,,,,,,,0,306,0,31416,,,0,0,,,
acc,git,2,283,49833,,,,,,,,,0,282,1,20164,4139,49833,0,1,,,
vcp,form,3,276,50135,,,,,,,,,0,275,1,25484,5164,50135,0,1,,,
lrv,git,2,253,53441,,,,,,,,,0,253,0,16192,,,0,0,,,
yat,git,2,250,45206,,,,,,,,,0,250,0,15812,,,0,0,,,
bor,git,2,243,24609,,,,,,,,,0,242,1,14884,3079,24609,0,1,,,
bop,git,2,237,8961,,,,,,,,,0,235,2,7140,2184,8961,0,1,,,
vcp,git,2,237,50135,,,,,,,,,0,237,0,14220,,,0,0,,,
gra,git,3,235,12785,,,,,,,,,0,229,6,3148,1536,6761,0,0,,,
yat,form,2,206,45206,,,,,,,,,0,206,0,10764,,,0,0,,,
pui,git,2,204,17512,,,,,,,,,0,202,2,5304,1639,17512,0,1,,,
ae,git,2,196,11359,,,,,,,,,0,188,8,1300,730,2479,0,0,,,
gra,form,2,183,12785,,,,,,,,,0,183,0,8510,,,0,0,,,
lan,git,2,174,4944,,,,,,,,,0,173,1,4944,1618,4944,0,1,,,
stc,git,2,160,24574,,,,,,,,,0,159,1,6480,1378,24574,0,1,,,
shs,form,2,158,47326,,,,,,,,,0,158,0,6360,,,0,0,,,
ieg,git,2,157,7932,,,,,,,,,0,157,0,6280,,,0,0,,,
pwg,form,5,138,123366,,,,,,,,,0,137,1,7646,1581,39185,0,0,,,
acc,form,2,129,49833,,,,,,,,,0,129,0,4257,,,0,0,,,
ap90,form,5,127,34882,,,,,,,,,0,127,0,6528,,,0,0,,,
skd,git,2,124,42531,,,,,,,,,0,124,0,3937,,,0,0,,,
mw72,form,3,97,55390,,,,,,,,,0,96,1,3169,683,16190,0,0,,,
fri,git,2,86,8155,,,,,,,,,0,86,0,1914,,,0,0,,,
gst,git,2,86,6780,,,,,,,,,0,85,1,1892,430,6780,0,1,,,
mwe,git,2,79,32378,,,,,,,,,0,79,0,1620,,,0,0,,,
stc,form,3,68,24574,,,,,,,,,0,68,0,1587,,,0,0,,,
inm,form,2,63,12647,,,,,,,,,0,63,0,1040,,,0,0,,,
wil,git,2,63,44577,,,,,,,,,0,63,0,1040,,,0,0,,,
ccs,git,2,44,30010,,,,,,,,,0,44,0,517,,,0,0,,,
ieg,form,2,43,7932,,,,,,,,,0,43,0,494,,,0,0,,,
vei,form,2,38,3834,,,,,,,,,0,38,0,390,,,0,0,,,
pe,form,2,35,8799,,,,,,,,,0,35,0,332,,,0,0,,,
pe,git,2,29,8799,,,,,,,,,0,27,2,120,52,397,0,0,,,
pgn,git,2,25,485,,,,,,,,,0,24,1,169,51,485,0,1,,,
pwg2013,form,2,25,,,,,,,,,,0,25,0,175,,,0,0,,,
bhs,form,2,14,17839,,,,,,,,,0,14,0,60,,,0,0,,,
