year,kind,n_closed,median_days,p25,p75,p90
2014,issue,65,6,1,31,98
2015,issue,169,13,4,53,200
2016,issue,140,12,3,26,53
2017,issue,130,11,7,49,947
2018,issue,30,2,1,10,99
2019,issue,147,1,0,11,508
2020,issue,498,4,0,513,1837
2021,issue,491,1,0,12,276
2022,issue,386,0,0,1,34
2023,issue,545,1,0,2,251
2024,issue,390,2,0,6,756
2025,issue,216,124,9,154,165
2026,issue,1447,349,28,349,450
2019,PR,3,0,0,0,0
2020,PR,1,20,20,20,20
2021,PR,10,0,0,0,13
2022,PR,3,3,0,81,81
2023,PR,8,117,1,117,168
2024,PR,9,1,0,1,5
2025,PR,2,0,0,0,0
2026,PR,669,0,0,0,4
