login,contributions,repos,role,real_name,affiliation,orcid,status
funderburkjim,4890,59,maintainer,Jim Funderburk,Cologne Digital Sanskrit Dictionaries,,needs-orcid
drdhaval2785,3780,41,core,Dhaval Patel,Cologne Digital Sanskrit Dictionaries,,needs-orcid
gasyoun,2556,77,lead,Mārcis Gasūns,Cologne Digital Sanskrit Dictionaries,,needs-orcid
AnnaRybakovaT,82,11,occasional,Anna Rybakova,,,needs-orcid
Andhrabharati,63,3,core,Nagabhushana Rao,Andhrabharati,,needs-orcid
aumsanskrit,17,1,contributor,Scott Rhodes,,,needs-orcid
shenyileirob,8,1,,,,,needs-name-and-orcid
DmitriSKT,3,1,occasional,,,,needs-name-and-orcid
vvasuki,2,2,,,,,needs-name-and-orcid
YevgenJohn,2,2,occasional,,,,needs-name-and-orcid
Haqob,2,1,occasional,,,,needs-name-and-orcid
sanskritisampada,1,1,occasional,,,,needs-name-and-orcid
maltenth,1,1,core,Thomas Malten,University of Cologne,,needs-orcid
sumanthegde,1,1,,,,,needs-name-and-orcid
adminlip,1,1,,,,,needs-name-and-orcid
vlastavesely,1,1,,,,,needs-name-and-orcid
dependabot[bot],180,75,,,,,bot
github-actions[bot],116,3,bot,GitHub Actions (bot),,,bot
actions-user,57,4,bot,GitHub Actions (bot),,,bot
