dict,n1_form,n2_git,m_overlap,s_observed,record_count,chapman_raw,correction_factor,n_hat_corrected,band_low,band_high,capped,remaining_hat
ccs,3404,44,2,3446,30010,51074,0.6863,30010,26255,30010,1,26564
pwg,197,1918,1,2114,123366,189980,0.5214,123366,123366,123366,1,121252
ap90,304,1468,6,1766,34882,64005,0.8815,34882,34882,34882,1,33116
ap,476,1105,4,1577,90843,105511,0.8221,90843,54394,90843,1,89266
ben,561,600,6,1155,17310,48251,0.8815,17310,17310,17310,1,16155
pui,755,204,4,955,17512,30995,0.8221,17512,15979,17512,1,16557
skd,502,124,2,624,42531,20957,0.6863,30536,10773,42531,0,29912
gra,351,235,6,580,12785,11866,0.8815,12785,7578,12785,1,12205
stc,90,160,5,245,24574,2441,0.8421,2898,1478,4630,0,2653
ae,17,196,2,211,11359,1181,0.6863,1721,607,3210,0,1510
mwe,75,79,1,153,32378,3039,0.5214,5828,2698,11678,0,5675
inm,80,43,2,121,12647,1187,0.6863,1730,610,3227,0,1609
