dict,rule,n1_form,n2_git,m_overlap,estimable,links,links_identical,links_true,links_false,links_undetermined,false_match_rate,lcode_stability,false_examples
acc,exact,147,283,0,0,0,0,0,0,0,,0.0649,
acc,normalised,147,283,0,0,0,0,0,0,0,,0.0649,
acc,scheme_repair,147,283,0,0,0,0,0,0,0,,0.0649,
acc,fold,147,283,0,0,0,0,0,0,0,,0.0649,
acc,fold_ed1,147,283,1,0,1,0,1,0,0,0.0,0.0649,
acc,lcode,148,293,1,0,1,,,,,0.9351,0.0649,
acc,anchored,9,283,0,0,0,,5,0,,0.0,0.0649,
ae,exact,16,196,1,0,1,1,0,0,0,,0.2778,
ae,normalised,16,196,1,0,1,1,0,0,0,,0.2778,
ae,scheme_repair,16,196,1,0,1,1,0,0,0,,0.2778,
ae,fold,16,196,1,0,1,1,0,0,0,,0.2778,
ae,fold_ed1,16,196,5,0,5,1,2,2,0,0.5,0.2778,ask = as | ride = ṛire
ae,lcode,16,197,1,0,1,,,,,0.7222,0.2778,
ae,anchored,10,196,1,0,1,,2,0,,0.0,0.2778,
ap,exact,437,1109,1,0,1,1,0,0,0,,0.0121,
ap,normalised,437,1109,3,0,3,2,1,0,0,0.0,0.0121,
ap,scheme_repair,437,1109,2,0,2,2,0,0,0,,0.0121,
ap,fold,437,1109,5,0,5,2,3,0,0,0.0,0.0121,
ap,fold_ed1,437,1109,61,1,139,2,93,44,0,0.3212,0.0121,Adi = ādiḥ | Ama = mā | Kalli = kalla | Ku = ka | Ku = lū
ap,lcode,494,1123,9,0,9,,,,,0.9879,0.0121,
ap,anchored,81,1100,5,0,5,,2,46,,0.9583,0.0121,
ap90,exact,269,1468,3,0,3,3,0,0,0,,0.1158,
ap90,normalised,269,1468,3,0,3,3,0,0,0,,0.1158,
ap90,scheme_repair,269,1468,3,0,3,3,0,0,0,,0.1158,
ap90,fold,269,1468,6,0,6,3,2,1,0,0.3333,0.1158,varī = vārī
ap90,fold_ed1,269,1468,77,1,170,3,85,82,0,0.491,0.1158,Am = a | Am = ah | Am = au | Am = aṃh | Am = aṃj
ap90,lcode,278,1470,17,1,17,,,,,0.8842,0.1158,
ap90,anchored,78,1437,4,0,4,,3,27,,0.9,0.1158,
ben,exact,463,600,4,0,4,4,0,0,0,,0.1688,
ben,normalised,463,600,4,0,4,4,0,0,0,,0.1688,
ben,scheme_repair,463,600,4,0,4,4,0,0,0,,0.1688,
ben,fold,463,600,11,1,11,4,6,1,0,0.1429,0.1688,caritra = cāritra
