signal_type,subject,metric,value,url,tier,fetched_at,note
stars_forks,sanskrit-lexicon org (76 repos),total_stars,103,https://github.com/sanskrit-lexicon,measured,2026-07-03,49/76 repos have zero stars
stars_forks,sanskrit-lexicon org (76 repos),total_forks,57,https://github.com/sanskrit-lexicon,measured,2026-07-03,
traffic,csl-orig,clones_14d,2413,https://github.com/sanskrit-lexicon/csl-orig,measured,2026-07-03,527 unique cloners; 362 views/50 unique (14-day window)
traffic,cologne-stardict,clones_14d,1148,https://github.com/sanskrit-lexicon/cologne-stardict,measured,2026-07-03,329 unique cloners; 45 views/11 unique (14-day window)
traffic,csl-observatory,clones_14d,709,https://github.com/sanskrit-lexicon/csl-observatory,measured,2026-07-03,224 unique cloners; 30 views/10 unique (14-day window)
traffic,MWS,clones_14d,492,https://github.com/sanskrit-lexicon/MWS,measured,2026-07-03,87 unique cloners; 157 views/99 unique (14-day window)
traffic,csl-pywork,clones_14d,481,https://github.com/sanskrit-lexicon/csl-pywork,measured,2026-07-03,95 unique cloners; 52 views/12 unique (14-day window)
traffic,csl-atlas,clones_14d,393,https://github.com/sanskrit-lexicon/csl-atlas,measured,2026-07-03,147 unique cloners; 12 views/5 unique (14-day window)
traffic,csl-apidev,clones_14d,365,https://github.com/sanskrit-lexicon/csl-apidev,measured,2026-07-03,89 unique cloners; 10 views/6 unique (14-day window)
traffic,ApteES,clones_14d,216,https://github.com/sanskrit-lexicon/ApteES,measured,2026-07-03,68 unique cloners; 6 views/2 unique (14-day window)
traffic,csl-websanlexicon,clones_14d,181,https://github.com/sanskrit-lexicon/csl-websanlexicon,measured,2026-07-03,55 unique cloners; 9 views/7 unique (14-day window)
traffic,GRA,clones_14d,171,https://github.com/sanskrit-lexicon/GRA,measured,2026-07-03,54 unique cloners; 2 views/2 unique (14-day window)
traffic,PWK,clones_14d,154,https://github.com/sanskrit-lexicon/PWK,measured,2026-07-03,44 unique cloners; 21 views/17 unique (14-day window)
traffic,COLOGNE,clones_14d,113,https://github.com/sanskrit-lexicon/COLOGNE,measured,2026-07-03,50 unique cloners; 46 views/30 unique (14-day window)
traffic,CORRECTIONS,clones_14d,47,https://github.com/sanskrit-lexicon/CORRECTIONS,measured,2026-07-03,24 unique cloners; 20 views/7 unique (14-day window)
