dict,gamma,n_hat,remaining,above_record_count,inside_published_ci
pw,0.5,33926,22997,0,0
pw,0.6,40711,29782,0,0
pw,0.75,50889,39960,0,0
pw,0.9,61067,50138,0,1
pw,1.0,67852,56923,0,1
pw,1.1,74638,63709,0,1
pw,1.25,84816,73887,0,0
pw,1.5,101779,90850,0,0
pw,2.0,135705,124776,0,0
mw,0.5,30498,23611,0,0
mw,0.6,36598,29711,0,0
mw,0.75,45748,38861,0,0
mw,0.9,54897,48010,0,1
mw,1.0,60997,54110,0,1
mw,1.1,67097,60210,0,1
mw,1.25,76247,69360,0,0
mw,1.5,91496,84609,0,0
mw,2.0,121995,115108,0,0
cae,0.5,22160,20010,0,0
cae,0.6,26592,24442,0,1
cae,0.75,33240,31090,0,1
cae,0.9,39888,37738,0,1
cae,1.0,44320,42170,1,0
cae,1.1,48753,46603,1,0
cae,1.25,55401,53251,1,0
cae,1.5,66481,64331,1,0
cae,2.0,88642,86492,1,0
bur,0.5,8623,6907,0,0
bur,0.6,10348,8632,0,0
bur,0.75,12935,11219,0,1
bur,0.9,15522,13806,0,1
bur,1.0,17247,15531,0,1
bur,1.1,18972,17256,0,1
bur,1.25,21559,19843,1,1
bur,1.5,25871,24155,1,0
bur,2.0,34495,32779,1,0
