repo,issues,open,closed,median_days_to_close,p90_days_to_close,open_median_age_days,silent_open
ACC,19,9,10,,,3333,0
AMAR,3,2,1,,,28,1
AP,35,11,24,11,93,120,2
AP90,32,15,17,,,1932,3
ApteES,17,2,15,,,837,0
ArabicInSanskrit,16,0,16,,,,0
BEN,28,5,23,4,1207,47,1
BHS,8,4,4,,,1099,1
BOP,9,1,8,,,1574,0
BOR,4,3,1,,,1439,0
BUR,6,1,5,,,2327,0
CAE,4,3,1,,,1855,2
CCS,3,2,1,,,1745,1
COLOGNE,460,178,282,178,2338,2143,31
CORRECTIONS,443,83,360,12,508,3863,11
DCS,4,4,0,,,4601,2
FRI,11,3,8,,,169,0
GRA,40,10,30,43,1202,772,4
GreekInSanskrit,44,1,43,62,1950,4137,0
INM,11,3,8,,,1566,0
KNA,1,1,0,,,183,1
KOW,1,1,0,,,183,1
KRM,4,3,1,,,2336,0
LRV,32,3,29,3,112,102,1
MCI,2,1,1,,,4349,0
MD,16,6,10,,,1109,1
MW72,6,1,5,,,88,0
MWS,219,37,182,57,2248,781,7
MWinflect,50,48,2,,,2845,1
PUI,4,2,2,,,140,1
PWG,198,31,167,32,1656,515,8
PWK,117,39,78,9,1601,3632,3
SCH,12,4,8,,,1799,1
SHS,4,3,1,,,90,1
SKD,20,12,8,,,2285,1
STC,3,2,1,,,1264,0
VCP,32,19,13,,,1986,2
VEI,2,1,1,,,583,1
WIL,19,13,6,,,2344,6
Wil-YAT,6,0,6,,,,0
alternateheadwords,25,18,7,,,3602,1
avlinks,1,1,0,,,1962,0
cologne-stardict,48,3,45,0,985,143,2
csl-apidev,64,17,47,0,1365,2015,2
csl-app,42,1,41,0,16,25,1
csl-corrections,325,35,290,6,266,20,29
csl-devanagari,43,13,30,10,893,1812,3
csl-doc,6,2,4,,,2480,0
csl-homepage,21,1,20,8,918,202,0
csl-inflect,20,12,8,,,2242,0
csl-json,9,0,9,,,,0
csl-kale,2,1,1,,,1327,1
csl-ldev,9,7,2,,,1647,0
csl-lnum,4,1,3,,,1783,0
csl-lslink,2,2,0,,,63,2
csl-newsletter,4,2,2,,,578,0
csl-observatory,56,16,40,0,0,79,16
csl-orig,2813,30,2783,2,349,683,3
csl-pywork,57,4,53,38,1963,85,2
csl-sqlite,1,1,0,,,93,0
csl-websanlexicon,68,14,54,20,1292,1235,5
csl-westergaard,1,1,0,,,370,1
hwnorm1,21,17,4,,,3446,3
hwnorm2,5,4,1,,,2387,0
literarysource,3,3,0,,,1648,1
mw-dev,23,17,6,,,1290,7
rvlinks,2,1,1,,,2133,0
temp_corrections_ap90,2,1,1,,,1895,0
temp_corrections_mw,2,1,1,,,1894,0
