login,n_repos,total_commits,shannon_entropy,max_entropy,normalized_entropy,top_repo,top_repo_commits,top_repo_share,dominant_family,dominant_family_commits,dominant_family_share
funderburkjim,58,4850,4.04,5.858,0.69,csl-orig,1223,0.252,Tooling,3166,0.653
drdhaval2785,39,3200,4.129,5.285,0.781,csl-orig,648,0.203,Tooling,2502,0.782
gasyoun,77,551,5.69,6.267,0.908,PWG,40,0.073,Tooling,272,0.494
AnnaRybakovaT,11,82,2.649,3.459,0.766,MD,36,0.439,Sanskrit-English,44,0.537
Andhrabharati,3,63,1.268,1.585,0.8,MWS,39,0.619,Unknown,39,0.619
actions-user,3,36,1.561,1.585,0.985,hwnorm1,14,0.389,Tooling,36,1.0
aumsanskrit,1,17,-0.0,0,0,csl-orig,17,1.0,Tooling,17,1.0
shenyileirob,1,8,-0.0,0,0,csl-orig,8,1.0,Tooling,8,1.0
DmitriSKT,1,3,-0.0,0,0,COLOGNE,3,1.0,Tooling,3,1.0
vvasuki,2,2,1.0,1.0,1.0,csl-ldev,1,0.5,Tooling,2,1.0
YevgenJohn,2,2,1.0,1.0,1.0,csl-orig,1,0.5,Tooling,2,1.0
Haqob,1,2,-0.0,0,0,rvlinks,2,1.0,Tooling,2,1.0
sanskritisampada,1,1,-0.0,0,0,CAE,1,1.0,Sanskrit-English,1,1.0
sumanthegde,1,1,-0.0,0,0,csl-ldev,1,1.0,Tooling,1,1.0
adminlip,1,1,-0.0,0,0,csl-orig,1,1.0,Tooling,1,1.0
vlastavesely,1,1,-0.0,0,0,csl-websanlexicon,1,1.0,Tooling,1,1.0
maltenth,1,1,-0.0,0,0,PWK,1,1.0,Unknown,1,1.0
