sheet_row_no	ls_code	ls_code_raw	in_pwgbib	status	tracker_value	source_key	source_match	source_value	citation_count_safe	provenance	delta	confidence	canonical_value	canonical_denominator	drift_since_source	evidence
1	Spr. vol.1 (1st ed.)	Spr. vol.1 (1st ed.)	Spr.	done	10494	Spr.	verbatim	10494	10494	exact	0	certain	12850	799500	2356	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
2	Spr. vol.2 (1st ed.)	Spr. vol.2 (1st ed.)	Spr.	done		Spr.	verbatim	10494		inherited-family		certain	12850	799500	2356	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
3	Spr. vol.3 (1st ed.)	Spr. vol.3 (1st ed.)	Spr.	done		Spr.	verbatim	10494		inherited-family		certain	12850	799500	2356	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
4	YĀJÑ.	YĀJÑ.	YĀJÑ.	done	3794	YĀJÑ.	verbatim	3794	3794	exact	0	certain	4038	799500	244	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
5	RAGH.	RAGH.	RAGH.	done	8752	RAGH.	verbatim	8752	8752	exact	0	certain	9742	799500	990	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
6	SĀH. D.	SĀH. D.	SĀH. D.	done	3860	SĀH. D.	verbatim	3860	3860	exact	0	certain	4630	799500	770	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
7	N.	N.	N.	done	3446	N.	verbatim	3446	3446	exact	0	certain	2819	799500	-627	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
8	VID.	VID.	VID.	done	1127	VID.	verbatim	1127	1127	exact	0	certain	1395	799500	268	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
9	DAŚ.	DAŚ.	DAŚ.	done	413	DAŚ.	verbatim	413	413	exact	0	certain	453	799500	40	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
10	VIŚV.	VIŚV.	VIŚV.	done	370	VIŚV.	verbatim	370	370	exact	0	certain	402	799500	32	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
11	VOP.	VOP.	VOP.	done	5149	VOP.	verbatim	5149	5149	exact	0	certain	5951	799500	802	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
12	H.	H.	H.	done	16148	H.	verbatim	16148	16148	exact	0	certain	16681	799500	533	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
13	H. ś.	H. ś.	H. Ś.	done	1301	H. ś.	verbatim	1301	1301	exact	0	certain	1320	799500	19	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
14	MED.	MED.	MED.	done	12990	MED.	verbatim	12990	12990	exact	0	certain	13177	799500	187	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
15	TRIK.	TRIK.	TRIK.	done	8426	TRIK.	verbatim	8426	8426	exact	0	certain	8866	799500	440	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
16	HĀR.	HĀR.	HĀR.	done	1865	HĀR.	verbatim	1865	1865	exact	0	certain	1874	799500	9	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
17	HALĀY.	HALĀY.	HALĀY.	done	5159	HALĀY.	verbatim	5159	5159	exact	0	certain	5475	799500	316	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
18	VARĀH. BṚH. S.	VARĀH. BṚH. S.	VARĀH. BṚH. S.	done	9174	VARĀH. BṚH. S.	verbatim	9174	9174	exact	0	certain	14312	799500	5138	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
19	MĀRK. P.	MĀRK. P.	MĀRK. P.	done	5436	MĀRK. P.	verbatim	5436	5436	exact	0	certain	6487	799500	1051	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
20	H. an.	H. an.	H. an.	done	9781	H. an.	verbatim	9781	9781	exact	0	certain	11856	799500	2075	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
21	an.	an.	an.	nr-alt-name	1797	an.	verbatim	1797	1797	exact	0	certain	1	799500	-1796	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
22	ŚĀK.	ŚĀK.	ŚĀK.	done	5500	ŚĀK.	verbatim	5500	5500	exact	0	certain	6588	799500	1088	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
23	BHAG.	BHAG.	BHAG.	done	2275	BHAG.	verbatim	2275	2275	exact	0	certain	2603	799500	328	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
24	R. (Bomb.)	R. (Bomb.) vol.1	R.	done		R.	verbatim	37762		inherited-family		certain	39395	799500	1633	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
25	R. (Bomb.)	R. (Bomb.) vol.2	R.	done		R.	verbatim	37762		inherited-family		certain	39395	799500	1633	https://github.com/sanskrit-lexicon/csl-observatory/blob/main/data/pwg_scan_index_tracker/ls_counts/pwg_ls_counts_2024-09-11.tsv
