,WIL,YAT,GST,BEN,MW72,LRV,AP90,CAE,MD,MW,SHS,AP,BOR,AE,BUR,STC,PWG,GRA,PW,CCS,SCH,BOP,VCP,SKD,INM,VEI,PUI,BHS,FRI,ACC,KRM,MCI
WIL,0.0000,0.3344,0.2549,0.4079,0.3147,0.3719,0.3772,0.4020,0.2203,0.4793,0.1134,0.3641,0.6056,0.4541,0.3161,0.4935,0.5113,0.4930,0.4909,0.3676,0.4800,0.2403,0.3202,0.5265,0.2805,0.4738,0.5217,0.5436,0.3890,0.3753,0.4880,0.3707
YAT,0.3344,0.0000,0.4383,0.4828,0.3716,0.2562,0.4601,0.4282,0.1857,0.4189,0.2739,0.5687,0.3088,0.2825,0.3365,0.2085,0.5754,0.3085,0.4622,0.3568,0.4083,0.3716,0.2897,0.5443,0.3113,0.5334,0.3556,0.6685,0.6569,0.2497,0.4467,0.3290
GST,0.2549,0.4383,0.0000,0.4581,0.3562,0.5870,0.4207,0.4082,0.3197,0.4140,0.2162,0.3002,0.5522,0.5618,0.3186,0.5582,0.3913,0.4839,0.4672,0.4114,0.4992,0.2105,0.3478,0.6097,0.2312,0.4971,0.3739,0.5909,0.4188,0.5238,0.4121,0.3534
BEN,0.4079,0.4828,0.4581,0.0000,0.2673,0.4371,0.5297,0.2144,0.2877,0.3797,0.3302,0.4086,0.6642,0.5059,0.2180,0.4265,0.3587,0.3560,0.3666,0.2588,0.3485,0.2804,0.4896,0.6870,0.3782,0.2847,0.5887,0.3335,0.3948,0.4750,0.5840,0.4886
MW72,0.3147,0.3716,0.3562,0.2673,0.0000,0.4714,0.4866,0.4282,0.2607,0.2945,0.2784,0.2775,0.7017,0.5480,0.1415,0.4768,0.5376,0.3091,0.5126,0.3938,0.4839,0.1363,0.3901,0.6320,0.3106,0.2827,0.5076,0.5629,0.4115,0.4588,0.5381,0.4529
LRV,0.3719,0.2562,0.5870,0.4371,0.4714,0.0000,0.3817,0.4485,0.3167,0.4807,0.3647,0.6216,0.3737,0.2250,0.4560,0.3709,0.5291,0.4903,0.4559,0.3585,0.3879,0.4898,0.4173,0.5161,0.3764,0.6556,0.5082,0.5000,0.5338,0.2790,0.4240,0.4610
AP90,0.3772,0.4601,0.4207,0.5297,0.4866,0.3817,0.0000,0.5580,0.3990,0.5343,0.3300,0.2953,0.6090,0.3284,0.4789,0.5639,0.6605,0.5105,0.5954,0.5582,0.6304,0.4719,0.4969,0.6529,0.4567,0.6163,0.7505,0.4831,0.5972,0.4471,0.6247,0.6099
CAE,0.4020,0.4282,0.4082,0.2144,0.4282,0.4485,0.5580,0.0000,0.2413,0.5423,0.3268,0.5349,0.4789,0.4493,0.3421,0.3368,0.2075,0.5177,0.2459,0.1483,0.2542,0.4403,0.3335,0.5256,0.2928,0.3926,0.4337,0.5263,0.3979,0.3751,0.3954,0.4272
MD,0.2203,0.1857,0.3197,0.2877,0.2607,0.3167,0.3990,0.2413,0.0000,0.4273,0.1416,0.4134,0.4295,0.2859,0.1929,0.3021,0.4215,0.3038,0.2730,0.2426,0.2813,0.2626,0.2133,0.5054,0.1558,0.3092,0.3478,0.5755,0.4779,0.1866,0.3469,0.2644
MW,0.4793,0.4189,0.4140,0.3797,0.2945,0.4807,0.5343,0.5423,0.4273,0.0000,0.4300,0.4255,0.7106,0.6572,0.3351,0.4495,0.4873,0.2241,0.4702,0.5070,0.5409,0.2654,0.5550,0.7714,0.3479,0.3937,0.5759,0.4118,0.5385,0.5611,0.7206,0.4728
SHS,0.1134,0.2739,0.2162,0.3302,0.2784,0.3647,0.3300,0.3268,0.1416,0.4300,0.0000,0.3556,0.6056,0.4541,0.2097,0.4523,0.5061,0.3836,0.4152,0.3272,0.4365,0.2037,0.3321,0.5866,0.2104,0.4324,0.4892,0.5034,0.3387,0.3741,0.5163,0.3695
AP,0.3641,0.5687,0.3002,0.4086,0.2775,0.6216,0.2953,0.5349,0.4134,0.4255,0.3556,0.0000,0.7737,0.5462,0.3400,0.6132,0.5687,0.5142,0.6100,0.5372,0.5853,0.3025,0.4974,0.6252,0.5333,0.5241,0.6868,0.5266,0.4347,0.5771,0.6172,0.6116
BOR,0.6056,0.3088,0.5522,0.6642,0.7017,0.3737,0.6090,0.4789,0.4295,0.7106,0.6056,0.7737,0.0000,0.3899,0.6482,0.3281,0.5477,0.5226,0.5506,0.4243,0.5152,0.6590,0.4625,0.4625,0.5142,0.6345,0.3258,0.5384,0.6907,0.3412,0.3396,0.3710
AE,0.4541,0.2825,0.5618,0.5059,0.5480,0.2250,0.3284,0.4493,0.2859,0.6572,0.4541,0.5462,0.3899,0.0000,0.5623,0.2999,0.4949,0.5818,0.3764,0.3330,0.2258,0.6124,0.3047,0.3047,0.4673,0.6891,0.4708,0.6526,0.7051,0.1244,0.2955,0.4876
BUR,0.3161,0.3365,0.3186,0.2180,0.1415,0.4560,0.4789,0.3421,0.1929,0.3351,0.2097,0.3400,0.6482,0.5623,0.0000,0.5032,0.4900,0.2358,0.4672,0.3801,0.4912,0.1367,0.3171,0.6216,0.2391,0.3008,0.4688,0.5305,0.3490,0.4393,0.4967,0.4327
STC,0.4935,0.2085,0.5582,0.4265,0.4768,0.3709,0.5639,0.3368,0.3021,0.4495,0.4523,0.6132,0.3281,0.2999,0.5032,0.0000,0.4894,0.4647,0.3952,0.3065,0.3127,0.5350,0.4438,0.5549,0.4484,0.4935,0.3905,0.5300,0.6395,0.2226,0.4592,0.3570
PWG,0.5113,0.5754,0.3913,0.3587,0.5376,0.5291,0.6605,0.2075,0.4215,0.4873,0.5061,0.5687,0.5477,0.4949,0.4900,0.4894,0.0000,0.5994,0.1456,0.2126,0.1721,0.4871,0.5108,0.6588,0.3484,0.4575,0.4109,0.5200,0.5331,0.5651,0.4879,0.3913
