,WIL,YAT,GST,BEN,MW72,LRV,AP90,CAE,MD,MW,SHS,AP,BOR,AE,BUR,STC,PWG,GRA,PW,CCS,SCH,BOP,VCP,SKD,INM,VEI,PUI,BHS,FRI,ACC,KRM,MCI
WIL,0.0000,0.5958,0.3955,0.7182,0.5048,0.6946,0.5910,0.6933,0.4626,0.6639,0.2159,0.4950,0.8552,0.7463,0.6009,0.7325,0.7432,0.7887,0.7612,0.6433,0.7319,0.4116,0.5524,0.6494,0.5248,0.7753,0.7620,0.6966,0.5920,0.6123,0.6707,0.6103
YAT,0.5958,0.0000,0.6975,0.7663,0.6079,0.5374,0.6995,0.7087,0.4025,0.5613,0.5107,0.7688,0.5947,0.5744,0.6094,0.3041,0.8302,0.4890,0.6927,0.6084,0.6079,0.6309,0.5110,0.6890,0.5435,0.7605,0.5071,0.8075,0.8741,0.4750,0.6343,0.4640
GST,0.3955,0.6975,0.0000,0.7868,0.5943,0.8567,0.6103,0.7328,0.6209,0.6010,0.3974,0.3636,0.7066,0.7686,0.6680,0.8213,0.6128,0.7921,0.6964,0.7124,0.7300,0.4119,0.6113,0.7699,0.4483,0.7225,0.5460,0.7318,0.6015,0.7697,0.6269,0.5643
BEN,0.7182,0.7663,0.7868,0.0000,0.4431,0.6607,0.7736,0.3859,0.5695,0.4931,0.5887,0.6476,0.8155,0.8101,0.3885,0.6519,0.6002,0.5834,0.6455,0.4402,0.6057,0.4740,0.7909,0.8642,0.6549,0.4700,0.8719,0.4237,0.5768,0.7418,0.8392,0.7649
MW72,0.5048,0.6079,0.5943,0.4431,0.0000,0.7305,0.6779,0.7045,0.5053,0.4166,0.5141,0.3987,0.9074,0.8182,0.2983,0.7312,0.7514,0.5267,0.7698,0.6569,0.7529,0.2169,0.6698,0.7948,0.5657,0.3815,0.7729,0.7424,0.6219,0.6913,0.7976,0.6912
LRV,0.6946,0.5374,0.8567,0.6607,0.7305,0.0000,0.6037,0.7430,0.6179,0.6252,0.6713,0.8342,0.5517,0.4735,0.7602,0.5919,0.8295,0.7827,0.7559,0.6310,0.6536,0.7875,0.7032,0.7350,0.6721,0.9007,0.7280,0.5758,0.5863,0.5074,0.5808,0.6786
AP90,0.5910,0.6995,0.6103,0.7736,0.6779,0.6037,0.0000,0.7739,0.6563,0.7614,0.5164,0.3703,0.7297,0.4686,0.7416,0.7600,0.8202,0.7601,0.7512,0.7879,0.7755,0.7263,0.7313,0.7394,0.7016,0.7459,0.8958,0.5707,0.6950,0.6415,0.8261,0.8094
CAE,0.6933,0.7087,0.7328,0.3859,0.7045,0.7430,0.7739,0.0000,0.4989,0.7547,0.5650,0.7813,0.7005,0.7440,0.6386,0.5949,0.3775,0.8210,0.4144,0.2702,0.4398,0.7535,0.5563,0.7127,0.5427,0.6926,0.7711,0.6898,0.5418,0.6490,0.5763,0.6943
MD,0.4626,0.4025,0.6209,0.5695,0.5053,0.6179,0.6563,0.4989,0.0000,0.6922,0.2808,0.6806,0.7050,0.5512,0.4222,0.5531,0.7499,0.5821,0.4891,0.5051,0.5083,0.5279,0.4460,0.6990,0.2855,0.5583,0.6020,0.7961,0.7123,0.3826,0.5778,0.4988
MW,0.6639,0.5613,0.6010,0.4931,0.4166,0.6252,0.7614,0.7547,0.6922,0.0000,0.6863,0.6110,0.8426,0.9164,0.5137,0.6196,0.6331,0.3660,0.6376,0.7166,0.7609,0.3725,0.7976,0.8835,0.5428,0.5029,0.7436,0.5525,0.6842,0.8036,0.8929,0.6651
