pair_a,pair_b,best_source,best_inheritor,containment_best,containment_reverse,source_year,inheritor_year,temporal_plausible,conv_gower,conv_pctile,joint_pass_bottom_quartile
CAE,CCS,CCS,CAE,0.9396,,1887,1891,True,0.1111,0.008,True
SHS,WIL,WIL,SHS,0.9525,0.896,1832,1900,True,0.1667,0.02,True
PW,PWG,PWG,PW,0.9375,,1855,1879,True,0.2222,0.048,True
MD,PW,MD,PW,0.8872,,1893,1879,False,0.2222,0.048,True
SHS,YAT,YAT,SHS,0.8941,0.856,1846,1900,True,0.2778,0.137,True
GRA,MW,GRA,MW,0.8779,,1873,1899,True,0.2941,0.171,True
CCS,PW,CCS,PW,0.9452,,1887,1879,False,0.3333,0.234,True
CAE,PW,CAE,PW,0.8873,,1891,1879,False,0.3333,0.234,True
BOP,MW,BOP,MW,0.94,,1847,1899,True,0.3889,0.367,False
BEN,MW,BEN,MW,0.9374,,1866,1899,True,0.3889,0.367,False
MW,MW72,MW72,MW,0.8963,,1872,1899,True,0.3889,0.367,False
MW,VEI,VEI,MW,0.8553,,1912,1899,False,0.3889,0.367,False
MW,PWG,PWG,MW,0.8934,,1855,1899,True,0.4211,0.48,False
WIL,YAT,WIL,YAT,0.9264,0.910,1832,1846,True,0.4444,0.488,False
MW,PW,PW,MW,0.8523,,1879,1899,True,0.4444,0.488,False
GRA,PW,GRA,PW,0.8683,,1873,1879,True,0.4706,0.542,False
BEN,PWG,BEN,PWG,0.8919,,1866,1855,False,0.5,0.611,False
BEN,PW,BEN,PW,0.8892,,1866,1879,True,0.5,0.611,False
MW,STC,STC,MW,0.8813,,1932,1899,False,0.5294,0.661,False
CCS,MW,CCS,MW,0.9004,,1887,1899,True,0.5556,0.736,False
MD,MW,MD,MW,0.9271,,1893,1899,True,0.6111,0.853,False
CAE,MW,CAE,MW,0.911,,1891,1899,True,0.6111,0.853,False
